category,original_name,original_path,moved_path,size_bytes,modified_utc,status
round1/logs,round1_attn_gated_spade_remote_fast_sync_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_remote_fast_sync_20260610.stderr.log,,1902,2026-06-10T12:13:55.634655+00:00,locked_skip
round1/logs,round1_attn_gated_spade_remote_fast_sync_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_remote_fast_sync_20260610.stdout.log,,51695,2026-06-10T18:44:29.324875+00:00,locked_skip
round1/csv,round1_attn_gated_spade_runtime_curve.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_runtime_curve.csv,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\csv\round1_attn_gated_spade_runtime_curve.csv,6754,2026-06-10T07:56:56.204995+00:00,moved
round1/jsonl,round1_attn_gated_spade_runtime_samples.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_runtime_samples.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\jsonl\round1_attn_gated_spade_runtime_samples.jsonl,41850,2026-06-10T10:04:07.993016+00:00,moved
round1/json,round1_attn_gated_spade_runtime_summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_runtime_summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\json\round1_attn_gated_spade_runtime_summary.json,5627,2026-06-10T10:04:07.995511+00:00,moved
round1/logs,round1_attn_gated_spade_runtime_watch_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_runtime_watch_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gated_spade_runtime_watch_20260610.stderr.log,0,2026-06-10T06:20:11.343011+00:00,moved
round1/logs,round1_attn_gated_spade_runtime_watch_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_runtime_watch_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gated_spade_runtime_watch_20260610.stdout.log,13969,2026-06-10T10:07:07.996894+00:00,moved
round1/logs,round1_attn_gated_spade_stageclose_deferred_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_stageclose_deferred_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gated_spade_stageclose_deferred_20260610.stderr.log,0,2026-06-10T06:16:14.887671+00:00,moved
round1/logs,round1_attn_gated_spade_stageclose_deferred_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_stageclose_deferred_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gated_spade_stageclose_deferred_20260610.stdout.log,19768,2026-06-10T09:01:15.214806+00:00,moved
round1/json,round1_attn_gated_spade_switch_smoke_latest.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gated_spade_switch_smoke_latest.json,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\json\round1_attn_gated_spade_switch_smoke_latest.json,1071,2026-06-10T16:30:24.367052+00:00,moved
round1/logs,round1_attn_gw_ot_fast_eval_deferred_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_fast_eval_deferred_20260610.stderr.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gw_ot_fast_eval_deferred_20260610.stderr.log,0,2026-06-10T03:28:58.296211+00:00,moved
round1/logs,round1_attn_gw_ot_fast_eval_deferred_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_fast_eval_deferred_20260610.stdout.log,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\logs\round1_attn_gw_ot_fast_eval_deferred_20260610.stdout.log,28126,2026-06-10T06:11:33.569384+00:00,moved
round1/jsonl,round1_attn_gw_ot_runtime_samples.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\round1_attn_gw_ot_runtime_samples.jsonl,G:\GitHub\Latent_Style\SchrodingerBridge\aaai2027\results_snapshot_20260611\round1\jsonl\round1_attn_gw_ot_runtime_samples.jsonl,2461,2026-06-10T05:23:00.079910+00:00,moved
