epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,gram,gram_w,moment,stroke_gram,color_moment,push,delta_tv,style_spatial_tv,nce,semigroup,idt,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_semigroup_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,1.0812026977539062,0.3119579124450684,0.021027498245239258,0.42952468872070315,0.9877381134033203,0.0,0.0,0.0,0.01711011290550232,0.5133032608032226,0.039708688259124755,0.0,0.0,0.1786466979980469,0.15185454368591308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,46.93990468978882
2,0.6484413146972656,0.48353797912597657,0.013449394702911377,0.5515218734741211,1.3618562316894531,0.0,0.0,0.0,0.0056183809041976925,0.16855148315429688,0.007178140282630921,0.0,0.0,0.1588290786743164,0.30639400482177737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019986980580168453,37.423240423202515
3,0.5392248916625977,0.4742533111572266,0.01154388189315796,0.7597611999511719,1.3367724609375,0.0,0.0,0.0,0.004189965724945069,0.12569900512695312,0.004953713119029999,0.0,0.0,0.12680509567260742,0.37428783416748046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019947958005998598,37.41572332382202
4,0.45815162658691405,0.47198814392089844,0.011199462413787841,1.021277542114258,1.3812178039550782,0.0,0.0,0.0,0.00348207026720047,0.10446206092834473,0.004127139747142791,0.0,0.0,0.08972078323364258,0.41218971252441405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019883039235653812,37.388747215270996
5,0.387716178894043,0.4740642166137695,0.011153734922409057,1.3094073486328126,1.4645198059082032,0.0,0.0,0.0,0.0031031069159507753,0.09309318542480469,0.0037023642659187316,0.0,0.0,0.05059476375579834,0.4369022750854492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019792402206971158,37.4430296421051
6,0.32067409515380857,0.47454113006591797,0.010836454629898072,1.5987028503417968,1.5273573303222656,0.0,0.0,0.0,0.002845686972141266,0.08537060737609864,0.0034523025155067445,0.0,0.0,0.012504556179046632,0.45220054626464845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019676295349746153,41.08359694480896
7,0.29387655258178713,0.4751238632202148,0.010453667640686035,1.7113681030273438,1.5584852600097656,0.0,0.0,0.0,0.0026512199640274046,0.07953659534454345,0.00327321857213974,0.0,0.0,0.0001402462087571621,0.4647859191894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019535036904803964,37.46548533439636
8,0.28527992248535156,0.4769058990478516,0.00986977458000183,1.714703826904297,1.6111874389648437,0.0,0.0,0.0,0.002476469427347183,0.07429409980773925,0.003117310106754303,0.0,0.0,6.266398821026087e-05,0.47335018157958986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019369014051723418,37.44846439361572
9,0.276595401763916,0.477540283203125,0.009250727891921997,1.7215263366699218,1.6390811157226564,0.0,0.0,0.0,0.002316744178533554,0.0695023250579834,0.0029516035318374635,0.0,0.0,9.771885816007853e-06,0.48174571990966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001917868184760471,37.489253282547
10,0.27209924697875976,0.47850189208984373,0.009092398285865784,1.7213751220703124,1.6567662048339844,0.0,0.0,0.0,0.0021896277368068694,0.06568881511688232,0.0029164817929267883,0.0,0.0,1.7088913591578602e-05,0.4893960952758789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018964561979789498,37.40674662590027
