dataset,run_name,summary_path,parent_dir,full_clip_style,full_content_lpips,full_clip_dir,trans_clip_style,trans_content_lpips,trans_clip_dir
distinct5_512,epoch_0001_smoke25_timing,G:\GitHub\Latent_Style\SchrodingerBridge\exp\_smoke_distinct5_512_ema_baseline_vlen004\full_eval\epoch_0001_smoke25_timing\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\_smoke_distinct5_512_ema_baseline_vlen004\full_eval\epoch_0001_smoke25_timing,0.6661595916748047,0.38353054560000005,0.0,0.638233482837677,0.38427216649999996,0.0
distinct5_512,epoch_0001_smoke25,G:\GitHub\Latent_Style\SchrodingerBridge\exp\_smoke_distinct5_512_ema_baseline_vlen004\full_eval\epoch_0001_smoke25\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\_smoke_distinct5_512_ema_baseline_vlen004\full_eval\epoch_0001_smoke25,0.6660881996154785,0.38358910360000004,0.0,0.6381003141403199,0.3842941365,0.0
legacy256_overfit50,epoch_0020,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0020\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0020,0.7369167456626893,0.84510209572,0.6354756385684014,0.7363001481691995,0.8528383468666666,0.6546151045461496
legacy256_overfit50,epoch_0080,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0080\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0080,0.7307649312019348,0.8683377606666667,0.6296212541262309,0.7303465650478997,0.8755206405500001,0.6487165516614913
legacy256_overfit50,epoch_0040,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0040\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0040,0.7297360932826996,0.8440675911466667,0.6274676748514175,0.7295630286137262,0.8518770437000001,0.64663509140412
legacy256_overfit50,epoch_0080,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0080\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0080,0.729556171655655,0.7196977403866667,0.6105789358218511,0.7266249704360962,0.7281920301,0.6297394380221764
legacy256_overfit50,epoch_0100,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0100\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0100,0.7282828404903411,0.7231609054133333,0.6096687899033228,0.7257406069835026,0.7318878193666667,0.6288186222811538
legacy256_overfit50,epoch_0060,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0060\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0060,0.727290450334549,0.7220436669999999,0.6062625878055891,0.7240410742163658,0.73107314935,0.6253875807176034
legacy256_overfit50,epoch_0040,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0040\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0040,0.7256811312039693,0.6890679333466666,0.5991042321125666,0.7213415539264679,0.6980472380833332,0.6177223329742749
legacy256_overfit50,epoch_0100,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0100\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0100,0.7249647223154705,0.85700082364,0.6244279394944509,0.72496065924565,0.8650813532333332,0.6434006326893965
legacy256_overfit50,epoch_0120,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0120\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0120,0.7249523072242736,0.8714830684533332,0.6247457775672277,0.724983085890611,0.8786711038666667,0.6440374369422595
legacy256_overfit50,epoch_0060,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0060\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0060,0.724336640516917,0.6805085984533333,0.5923933542172114,0.7185999899109204,0.6875911733166666,0.6111413434644539
legacy256_overfit50,epoch_0020,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0020\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0020,0.7239462329546611,0.6716198343733333,0.584888911485672,0.7179649140437443,0.6801840881333333,0.6041148344178996
legacy256_overfit50,epoch_0020,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0020\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0020,0.7231286210219064,0.66318524932,0.5812284288406373,0.7157607054710389,0.6704940137666667,0.5989599386354288
legacy256_overfit50,epoch_0007,G:\GitHub\Latent_Style\SchrodingerBridge\exp\ablation_destructive_7epoch\D2_no_kinetic\full_eval\epoch_0007\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\ablation_destructive_7epoch\D2_no_kinetic\full_eval\epoch_0007,0.7225049327214559,0.6324947712266666,0.5834535605410734,0.7138825265566509,0.6387076748666667,0.5982173021634419
legacy256_overfit50,epoch_0040,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0040\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0040,0.7222246530056,0.6792339785066666,0.5884269377191862,0.71664306640625,0.6863032499666667,0.607085753728946
legacy256_overfit50,residual_1p25,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\residual_scale_sweep_epoch7\residual_1p25\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\residual_scale_sweep_epoch7\residual_1p25,0.7218544493118922,0.5110315488133333,0.5134857891698679,0.7015778407951196,0.5222992895166667,0.5268856668348112
legacy256_overfit50,epoch_0060,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0060\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0060,0.7208439428806305,0.8419639113866667,0.6194888361692429,0.7205732215444246,0.8491385303166666,0.6377345454196137
legacy256_overfit50,residual_1p5,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\residual_scale_sweep_epoch7\residual_1p5\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\residual_scale_sweep_epoch7\residual_1p5,0.7208070442676544,0.5644800906266666,0.5394072475830713,0.7046507708231607,0.5766574789499999,0.5544783005366722
legacy256_overfit50,epoch_0160,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0160\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\02_omf_swd_30\epoch_0160,0.7196782594919204,0.58404428984,0.5440383275747299,0.7042275373637675,0.5946920952999999,0.559950414299965
legacy256_overfit50,epoch_0100,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0100\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0100,0.7192267457644144,0.7325672044400001,0.605267183681329,0.7172150887052218,0.73913495555,0.6251056227833033
legacy256_overfit50,epoch_0080,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0080\summary.json,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0080,0.7182656484444935,0.6975402439333334,0.5937223414580027,0.7139138318101564,0.7054157555166667,0.6127085261543593
