experiment_dir,group,train_log_exists,train_duration_min,eval_summary_path,eval_duration_sec,clip_style,lpips,clip_content
628_ablation,early,false,,,,,,
clean_base_v2_local,early,false,,full_eval/epoch_0010_full/summary.json,5.58,0.7292,0.3239,0.0
clean_base_v2_relu2,early,false,,full_eval/epoch_0003_full/summary.json,5.95,0.7269,0.337,0.0
phase3_task2_p3d_contrastive_w01_margin01,early,false,,full_eval/epoch_0003/summary.json,78.78,0.7019,0.2804,0.0
phase3_task2_p3e_contrastive_w05_margin005,early,false,,full_eval/epoch_0003/summary.json,73.43,0.7022,0.2811,0.0
task1_endpoint_film_baseline,early,false,,full_eval/epoch_0001/summary.json,59.02,0.7035,0.261,0.0
task1_endpoint_film_no_norm,early,false,,full_eval/epoch_0001/summary.json,58.05,0.7021,0.2691,0.0
task3_baseline_1ep,early,false,,full_eval/epoch_0001/summary.json,63.88,0.7037,0.2567,0.0
task3_combo_a_1ep,early,false,,full_eval/epoch_0001/summary.json,64.07,0.7034,0.2606,0.0
task3_combo_b_3ep,early,false,,full_eval/epoch_0003/summary.json,63.44,0.7072,0.2648,0.0
task4_iter/p2_long_10ep,early,false,,exp/task4_iter/p2_long_10ep/full_eval/epoch_0010/summary.json,100.77,0.672,0.6042,0.0
task4_iter/r1a_latent_baseline,early,false,,,,,,
task4_iter/r1a_no_dino_minimal,early,false,,full_eval/epoch_0002/summary.json,92.89,0.6966,0.4737,0.0
task4_iter/r1b_no_dino_nogn,early,false,,full_eval/epoch_0002/summary.json,118.51,0.6963,0.4736,0.0
task4_iter/r1c_no_dino_fixedone,early,false,,full_eval/epoch_0002/summary.json,132.94,0.7032,0.4598,0.0
task4_iter/r2a_with_film,early,false,,full_eval/epoch_0002/summary.json,100.55,0.7037,0.4538,0.0
task4_iter/r2b_with_antiwhiten,early,false,,full_eval/epoch_0002/summary.json,93.34,0.7065,0.4403,0.0
task4_iter/r3a_aggressive_antwhiten,early,false,,full_eval/epoch_0003/summary.json,77.12,0.706,0.4696,0.0
task4_iter/r3b_endpoint_antiwhiten,early,false,,full_eval/epoch_0003/summary.json,126.65,0.7061,0.5243,0.0
task4_iter/r3c_optimal_5ep,early,false,,full_eval/epoch_0005/summary.json,75.56,0.7053,0.5045,0.0
task4_iter/r4a_velocity_scaling,early,false,,,,,,
task4_iter/r4c_velocity_magnitude,early,false,,full_eval/epoch_0003/summary.json,98.63,0.7062,0.4738,0.0
task4_iter/r4d1_velmag_high,early,false,,full_eval/epoch_0003/summary.json,98.71,0.703,0.4939,0.0
