epoch,loss,flow,ot_cost,terminal_swd,plan_entropy,bridge_sigma,identity_ratio,t_mean,velocity_abs,endpoint_abs,lr,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,1.2439780235290527,1.2319188117980957,2.322849750518799,0.1205921545624733,2.910034418106079,0.05000001937150955,0.19966892898082733,0.5029470324516296,0.8823018074035645,0.6366662383079529,0.0003,2.8147237000048335,142.1624427000006,4.9562692000090465,0.24297230000593117,147.3616842000156,164.35456252098083,10272,62.4990255362623
2,1.2154115438461304,1.2035527229309082,2.322849750518799,0.11858614534139633,2.910034418106079,0.05000001937150955,0.19966892898082733,0.5041055083274841,0.8835126161575317,0.6278321146965027,0.00029958384005397226,0.12540919999446487,106.5043686999943,1.9138803999921947,0.23622629999590572,108.6544753999824,123.25030493736267,10272,83.34259298766325
3,1.2013211250305176,1.1895432472229004,2.322849750518799,0.11777947098016739,2.910034418106079,0.05000001937150955,0.19966892898082733,0.4986734688282013,0.8814520835876465,0.625212550163269,0.0002983379259803436,0.13330329999917012,121.38097559999915,1.6392028000045684,0.23551860000407032,123.25569700000779,140.08950209617615,10272,73.3245521348768
4,1.1954584121704102,1.1836801767349243,2.322849750518799,0.11778411269187927,2.910034418106079,0.05000001937150955,0.19966892898082733,0.5017961859703064,0.8824479579925537,0.6266659498214722,0.0002962699392536863,0.12232229999062838,112.94339250000849,1.6792117999939364,0.23842929997954343,114.86103359998197,129.72976994514465,10272,79.17997545469667
5,1.1882520914077759,1.1764780282974243,2.322849750518799,0.11774414777755737,2.910034418106079,0.05000001937150955,0.19966892898082733,0.5020632743835449,0.881889820098877,0.6257297396659851,0.0002933926296998457,0.12408670001241262,108.58143639996342,1.693564899989724,0.23856080001132796,110.51356209996447,124.69048714637756,10272,82.37998130476
6,1.1809237003326416,1.1691604852676392,2.322849750518799,0.11763007193803787,2.910034418106079,0.05000001937150955,0.19966892898082733,0.5038955211639404,0.8817314505577087,0.6256118416786194,0.0002897237368890237,0.12101289999191067,107.99427699997977,1.6907000999635784,0.23720650000541355,109.92218359994877,124.0917980670929,10272,82.77742896791796
7,1.182035207748413,1.1702696084976196,2.322849750518799,0.11765826493501663,2.910034418106079,0.05000001937150955,0.19966892898082733,0.4998345673084259,0.8827790021896362,0.6231823563575745,0.00028528588076542964,0.12154919999011327,107.1547225999966,1.6705174000089755,0.23284189999321825,109.0580818999988,122.96694421768188,10272,83.53464474010204
8,1.1694526672363281,1.157610297203064,2.322849750518799,0.11842364817857742,2.910034418106079,0.05000001937150955,0.19966892898082733,0.5009994506835938,0.8818888664245605,0.6220769286155701,0.0002801064221878024,0.11929650000092806,108.068599000002,1.6781355000093754,0.2325359000096796,109.97927040002105,124.00763988494873,10272,82.83360613531643
9,1.1729426383972168,1.1610703468322754,2.322849750518799,0.11872205883264542,2.910034418106079,0.05000001937150955,0.19966892898082733,0.49742570519447327,0.8823822140693665,0.6196732521057129,0.00027421729424061787,0.1563485999868135,125.26805680000689,2.4089647000000696,0.324564399998053,128.001585900005,142.91883754730225,10272,71.87296073969429
10,1.167624831199646,1.1557514667510986,2.322849750518799,0.11873387545347214,2.910034418106079,0.05000001937150955,0.19966892898082733,0.4988150894641876,0.8817288279533386,0.6182277798652649,0.00026765480535600414,0.12676050000300165,340.2887542999997,1.6996628000160854,0.23992569998881663,342.2283428000046,391.1651041507721,10272,26.260011158972716
