epoch,loss,swd,color,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec,gradcos_swd_color,gradcos_swd_identity,gradcos_color_identity
1,68.26301574707031,0.3103853464126587,0.21545985341072083,0.14894728362560272,0.20185546576976776,0.0001686973250749287,2.988427899996168,0.009236699974280782,85.45214069998474,22.595347900001798,0.15202680001675617,6.418153400052688,108.20875209997757,117.69270873069763,10240,87.00623947258268,94.63190177573559,0.66315001171719,-0.5231383416098069,-0.28185106007008864
2,60.18294906616211,0.26216980814933777,0.18564064800739288,0.20020760595798492,0.20136718451976776,0.0003373946501498574,0.0930438999494072,0.00866949996270705,73.95769219995418,3.4842218999838224,0.13104799992288463,6.420919100171886,77.5816315998236,84.09681010246277,10240,121.76442825267307,131.99000573768913,0.7197589321645258,0.4868320221050835,0.42868461841869504
3,59.27975845336914,0.2630520164966583,0.18318821489810944,0.17222996056079865,0.2016601413488388,0.000506091975224786,0.09320049999223556,0.00854149999213405,73.94331000004604,3.5140026999579277,0.12881629998446442,6.428177099995082,77.59467049998057,84.11784982681274,10240,121.73397229105086,131.96782632130083,0.433420028956074,0.46447069330419,0.2602283827427202
4,58.727012634277344,0.26458024978637695,0.18464361131191254,0.14228291809558868,0.20136718451976776,0.0006747893002997147,0.09991760000411887,0.008593100064899772,73.95856830001867,3.511883300030604,0.12846800005354453,6.437159299704945,77.60751270016772,84.14541006088257,10240,121.6941006359224,131.94598878025724,0.4736884369926038,0.4086500929899906,0.3612113739640065
5,58.22309875488281,0.2622697055339813,0.18236088752746582,0.14312586188316345,0.20136719942092896,0.0008118558769230943,0.10599689999071416,0.008226599980844185,73.93184500005736,3.4782891000359086,0.12607430001662578,6.430410999935702,77.54443500009074,84.08282923698425,10240,121.78467462291201,132.0533188485804,0.7772599195056705,0.12292155693907286,0.24981535591801507
6,57.17106628417969,0.2615698575973511,0.1813800185918808,0.11417282372713089,0.20175780355930328,0.0008071488314611188,0.09299500004271977,0.008511699983500876,73.90983170000254,3.4886033999646315,0.12882589998480398,6.42608680005651,77.53577269993548,84.0561306476593,10240,121.82335685808958,132.06807185154318,0.6765036673791401,-0.02543761701916559,-0.12709888951021459
7,55.94353485107422,0.2591296434402466,0.17667973041534424,0.0979904904961586,0.20146484673023224,0.0008014221247176722,0.09343939994869288,0.008970000082626939,73.94185970000399,3.5518044999626,0.12736140002380125,6.433871199871646,77.62999560007302,84.1581642627716,10240,121.6756578485611,131.9077750919049,0.5745912743013024,0.19622393348705047,-0.0887913901199579
8,55.56846237182617,0.2569090723991394,0.17856673896312714,0.09155874699354172,0.2011718899011612,0.0007946914531978793,0.09759539998776745,0.008678200028953142,73.93145549998735,3.510330800025258,0.12881969996669795,6.4300910999882035,77.57928420000826,84.10889029502869,10240,121.74693975965157,131.99399950120846,0.557024058818136,-0.01659457048316788,-0.24640645258074087
9,55.560543060302734,0.25720950961112976,0.1770670861005783,0.09379177540540695,0.20156250894069672,0.0007869752652045331,0.10145590007596184,0.008890499972039834,73.9264991999953,3.5178064000501763,0.12780930001463275,6.424940199955017,77.58100540003215,84.10925817489624,10240,121.74640725884196,131.99107110302745,0.5099186544279032,-0.15695513757033294,-0.003781831502583446
10,54.169578552246094,0.25169867277145386,0.17310452461242676,0.0855473056435585,0.20175781846046448,0.0007782947102725775,0.1026499999279622,0.008932100026868284,73.99633210003958,3.49583650000568,0.12732859997777268,6.4279813999455655,77.6284293000499,84.16075229644775,10240,121.67191619117939,131.91043658013854,0.3898178834738557,0.15490511357891867,-0.31114190383290596
11,55.191932678222656,0.25647464394569397,0.17226478457450867,0.09798521548509598,0.20224608480930328,0.0007686735811997032,0.09343700000317767,0.009071599997696467,73.95763960001932,3.49295970001549,0.12751189999107737,6.434167899933527,77.58718280002358,84.1165885925293,10240,121.73579755598234,131.98056212961103,0.6885778122976591,0.3789251493186496,0.29833574377136085
12,54.75445556640625,0.25222042202949524,0.17424151301383972,0.09940240532159805,0.2011718899011612,0.000758138248831942,0.09801090000837576,0.008310300021548755,73.91715340000519,3.498785500021768,0.12811609997879714,6.424008999936632,77.5523653000273,84.07646775245667,10240,121.79388922652252,132.03981542515757,0.5455806132252331,0.1555996889844661,0.12553736315801245
13,54.150447845458984,0.252927303314209,0.17277741432189941,0.07963871210813522,0.20146484673023224,0.0007467175897830124,0.09405549996881746,0.008637199964141473,73.98722439994162,3.4891902999806916,0.12815819997922517,6.425504400162026,77.61321009986568,84.13431549072266,10240,121.71014811583208,131.93630294152362,0.5761626491874409,-0.20114107796974656,0.1729129805052492
14,53.351165771484375,0.2507520020008087,0.16873544454574585,0.07465090602636337,0.20068359375,0.0007344429072855271,0.10036219996982254,0.00896520001697354,73.89967030004482,3.536142100012512,0.13202350001665764,6.439426099910634,77.57680110009096,84.11822867393494,10240,121.73342403217995,131.99822440201126,0.5912757867944133,-0.053788833792807744,-0.14052510498162166
15,52.76996612548828,0.2465001493692398,0.16958019137382507,0.07428420335054398,0.2016601860523224,0.0007213478453910089,0.10455529995670076,0.00882670002465602,73.93191799997294,3.5028871999966213,0.12862829994992353,6.439751500060083,77.57226019994414,84.11903977394104,10240,121.73225024344865,132.00595127183587,0.6544177451427509,0.25372975938179987,0.19228179430432507
16,53.442901611328125,0.250742107629776,0.16956475377082825,0.07554683834314346,0.20039062201976776,0.0007074682967538843,0.09759020000637975,0.008435700015979819,73.97973749997618,3.491518799972255,0.12788199995702598,6.433092700099223,77.60757399992144,84.1393210887909,10240,121.70290736234834,131.94588456031838,0.7172992678825499,-0.009769682300610889,-0.09834832342146985
17,52.632965087890625,0.24591292440891266,0.16859062016010284,0.07529252022504807,0.20175781846046448,0.0006928423042522118,0.10107820000848733,0.008834899941575713,73.93535279997741,3.4942691999312956,0.12647250000736676,6.435537500175997,77.56492939985765,84.10318326950073,10240,121.75520119359673,132.01842739018588,0.4335967607978676,0.054684485599470985,-0.22256605432163692
18,52.43025588989258,0.2463988959789276,0.16899952292442322,0.0650152713060379,0.20185546576976776,0.0006775099567147984,0.10019930000999011,0.00848669998231344,73.93615800001135,3.5078536000073655,0.12785870002699085,6.427272000000812,77.58035700002802,84.10963201522827,10240,121.74586613511781,131.99217425612392,0.4898769183465453,-0.2225830585339541,-0.21301231484651512
19,52.79853820800781,0.2507243752479553,0.16804572939872742,0.05820753052830696,0.20175780355930328,0.0006615132790405056,0.10401620004267897,0.00873630000569392,73.90842879998672,3.509632600049372,0.1276427999837324,6.434460799981025,77.55444050002552,84.0938880443573,10240,121.76865927044152,132.03628230670597,0.7157652747595575,0.12999499956335062,-0.11698390598476952
20,53.311824798583984,0.2504507601261139,0.17062245309352875,0.06981357932090759,0.2016601413488388,0.0006448961170109234,0.09897980005189311,0.00846729995100759,73.95018039995921,3.47350770002231,0.12612099995021708,6.431107500160579,77.55827639988274,84.08930110931396,10240,121.77530155338381,132.02975201774186,0.711885598922972,-0.2980721556547042,-0.08575903893147474
21,52.09717559814453,0.24473246932029724,0.1672838032245636,0.0668199360370636,0.20146484673023224,0.0006277040171121298,0.10080800000287127,0.008495600006426685,73.9881150000001,3.4851608000026317,0.12849030001962092,6.44169929997588,77.61026170002879,84.15440154075623,10240,121.68109822563159,131.94131517786394,0.7513052489824615,0.07562844502021555,0.08154809583063345
22,51.403812408447266,0.23974406719207764,0.16289344429969788,0.08035767823457718,0.20166015625,0.0006099841016949395,0.10049959999741986,0.00876290000451263,73.88144740005373,3.502789500009385,0.12980479998805095,6.434121899947058,77.52280460005568,84.05962109565735,10240,121.81829832836368,132.09016434362394,0.6380981821397911,0.025902888531931376,-0.05017525291267632
23,52.179168701171875,0.24805082380771637,0.16772343218326569,0.05178891122341156,0.20195311307907104,0.0005917849398158148,0.0958824000263121,0.008987000066554174,73.97275230003288,3.517834800048149,0.12862599999061786,6.43024859977595,77.6282001001382,84.15660285949707,10240,121.67791536329126,131.9108260502071,0.6251381192907657,0.19986134036428205,0.07285404534596798
24,50.96596145629883,0.24027438461780548,0.1648707091808319,0.057838134467601776,0.20175781846046448,0.000573156414112458,0.10548369999742135,0.008396700082812458,73.88620009999431,3.5292756000126246,0.1293143000366399,6.438163199840346,77.55318670012639,84.09867238998413,10240,121.76173189173376,132.03841693307635,0.7918384846444987,-0.060290762272222256,0.08935243429724535
25,51.41453552246094,0.24265234172344208,0.16515806317329407,0.06013473495841026,0.20175783336162567,0.0005541495840789689,0.0991587000025902,0.008477900017169304,73.89716060002684,3.4809558000124525,0.127567999981693,6.4273689999536145,77.51416230003815,84.04238986968994,10240,121.84327475548237,132.10489149535658,0.8570493308757309,-0.013201895148018453,-0.016684856734692954
26,51.16810989379883,0.2421964555978775,0.16228722035884857,0.0618552602827549,0.2021484225988388,0.000534816546115321,0.09781950000615325,0.00826069996401202,73.93077119997179,3.487970700021833,0.1292952999647241,6.42839240009198,77.55629789992236,84.08505010604858,10240,121.78145802476479,132.03312016276953,0.634937060905781,0.5138327506243978,0.2783866237888024
27,50.874149322509766,0.2418406456708908,0.1625782698392868,0.0530596524477005,0.20107418298721313,0.0005152102907347495,0.09429340000497177,0.008735500028706156,73.89645769995695,3.4916969999612775,0.12900109999463893,6.439407900092192,77.52589129994158,84.06189131736755,10240,121.81500843634208,132.08490516261523,0.3670187951167231,0.08853974959868817,-0.03716095944365821
28,51.6191291809082,0.24591580033302307,0.16626636683940887,0.04768193140625954,0.2011718899011612,0.0004953845573204387,0.11089620002894662,0.008683899941388518,73.92354439997871,3.4737654000200564,0.1275646000431152,6.425306100034504,77.53355829998327,84.07080364227295,10240,121.8020948577095,132.07184378641125,0.6899529387913418,0.19460534449353256,0.3058541888449435
29,51.44682693481445,0.24311360716819763,0.16565728187561035,0.0575733557343483,0.20156249403953552,0.00047539368682960714,0.09942530006810557,0.00892439995368477,73.90212689993496,3.540353799937293,0.13067080001928844,6.4334717002057005,77.58207589984522,84.1165497303009,10240,121.73585379847425,131.9892498522385,0.6404914054032766,0.23722324136945594,0.1569803230937133
30,50.760196685791016,0.2414998561143875,0.16273917257785797,0.050535909831523895,0.20156249403953552,0.00045529247284872187,0.0963292000524234,0.009025699939229526,73.97988450001867,3.481108599997242,0.13148590008495376,6.435232200004975,77.6015047000401,84.1341700553894,10240,121.71035850545071,131.95620419451362,0.48935825985712206,0.09481440715857141,0.08971577108780796
31,50.82514953613281,0.24295830726623535,0.16321337223052979,0.04414438456296921,0.2016601711511612,0.0004351360114080865,0.10436930001014844,0.009162400005152449,73.88627249993442,3.5111086000542855,0.1316081000113627,6.434933499927865,77.53815160000522,84.0795259475708,10240,121.78945926009769,132.06401995271847,0.5598053865425727,-0.2722044104446473,-0.19620934482848415
32,51.53435134887695,0.24315443634986877,0.16693052649497986,0.056891486048698425,0.20166015625,0.0004149795499674509,0.09457830004976131,0.008598899978096597,73.93290889998025,3.61837270000251,0.13196380002773367,6.419996099997661,77.69184429998859,84.20787358283997,10240,121.6038306670497,131.80276632976654,0.587302647416414,0.4342673973169213,0.4234963507289937
33,50.189273834228516,0.23927350342273712,0.16085952520370483,0.047649823129177094,0.20175783336162567,0.0003948783359865657,0.10129700004472397,0.008971199960797094,73.96333440001763,3.4983556999941356,0.12801430001854897,6.430384600011166,77.59867559999111,84.13271808624268,10240,121.71245899250744,131.96101506661762,0.4904874162586344,0.36784801082208957,0.19622398891652193
34,50.33370590209961,0.24046073853969574,0.16072161495685577,0.046895500272512436,0.20087890326976776,0.0003748874654957341,0.15855219996592496,0.008963499960373156,73.9479752000043,3.5400365999958012,0.13164980002329685,6.423307899982319,77.62862509998376,84.21230006217957,10240,121.59743876416063,131.91010386711255,0.9108222618813884,0.1962619493074341,0.23985432420596772
35,50.66532897949219,0.24143406748771667,0.16258461773395538,0.04811500757932663,0.2022460550069809,0.00035506173208142325,0.099318700042204,0.008430100031546317,73.88727119995747,3.5278681999479886,0.13194529997417703,6.432786700068391,77.55551479991118,84.08968901634216,10240,121.77473980204562,132.03445333860034,0.5857954068762236,0.0922384687790862,-0.08971183134849545
36,49.32594680786133,0.23446881771087646,0.15999509394168854,0.0452004075050354,0.20205079019069672,0.000335455476700852,0.10182499997608829,0.008504599973093718,73.99818409998261,3.478640099958284,0.12823200003185775,6.432384700019611,77.61356079994584,84.15014123916626,10240,121.6872586214266,131.9357067818894,0.8032941614959084,0.21688117084772876,0.09566264929261217
37,49.37185287475586,0.23642578721046448,0.16171282529830933,0.03236519917845726,0.20175781846046448,0.0003161224387372041,0.09977699999581091,0.008481399941956624,73.91676929999085,3.5013627000153065,0.12819909998506773,6.4281689000781626,77.55481249993318,84.0841372013092,10240,121.78278021077871,132.0356489806332,0.5489493543405961,0.233119925704929,0.19749918685704398
38,49.47998046875,0.23461025953292847,0.15868383646011353,0.05312470346689224,0.20136721432209015,0.0002971156087037151,0.09217550001631025,0.008526300036464818,73.99501919995237,3.4835329999914393,0.13060920003044885,6.429371699996409,77.61768770001072,84.14071917533875,10240,121.70088514053606,131.92869181541704,0.41378881316328525,-0.20627847138217625,-0.5327142138237766
39,48.84151077270508,0.23381516337394714,0.15523672103881836,0.045009564608335495,0.20224608480930328,0.0002784870830003583,0.0946018999820808,0.008754400056204759,73.89020759999403,3.5507082999829436,0.1281887000077404,6.427043199932086,77.57785900004092,84.10103130340576,10240,121.75831664962378,131.99642439210135,0.5300535936254207,-0.23706425255703298,-0.07021381122227544
40,49.08372116088867,0.23493775725364685,0.15755729377269745,0.041282203048467636,0.201171875,0.0002602879211212335,0.0998628999950597,0.00833110001985915,73.8888020000013,3.5094042000564514,0.1293451000674395,6.4341129998647375,77.53588240014506,84.07122540473938,10240,121.80148380973564,132.06788499747367,0.7186324884445442,0.11073346301879754,0.16617116818554284
41,49.61620330810547,0.2375495433807373,0.16077278554439545,0.037398483604192734,0.20175781846046448,0.00024256800570404328,0.1009394000575412,0.008275000072899275,73.99840090006182,3.510284500007401,0.12888249996467493,6.4358378998877015,77.6458429001068,84.18460583686829,10240,121.63744069602136,131.8808530828109,0.619310311276117,-0.010082878809650794,0.17636156479835727
