probe_family,left_style_id,right_style_id,encoded_style_code_a_vs_b_mean_abs,first_hires_block_gate1_a_vs_b_mean_abs,skip32_a_vs_b_mean_abs,content16_a_vs_b_mean_abs,adapted_code_a_vs_b_mean_abs,resolved_code_a_vs_b_mean_abs,pre_structured_style_code_map_a_vs_b_mean_abs,post_resolved_style_code_map_a_vs_b_mean_abs,structured_style_map_a_vs_b_mean_abs,style_map_a_vs_b_mean_abs,h_body_a_vs_b_mean_abs,h_fused_a_vs_b_mean_abs,h_dec_pre_mod_a_vs_b_mean_abs,h_dec_post_mod_a_vs_b_mean_abs,delta_a_vs_b_mean_abs,forward_a_vs_b_mean_abs,predict_transport_base_a_vs_b_mean_abs,integrate_a_vs_b_mean_abs,left_style_spatial_source_code_map,right_style_spatial_source_code_map,left_style_spatial_source_structured_map,right_style_spatial_source_structured_map,left_style_spatial_source_legacy_zero,right_style_spatial_source_legacy_zero,left_style_spatial_code_map_primary,right_style_spatial_code_map_primary,left_style_spatial_code_map_residual,right_style_spatial_code_map_residual,first_live_stage,first_live_stage_delta
styleid_pairwise,0,1,0.0,0.0,0.0,0.0,0.0,0.02200152352452278,0.0,0.011002683080732822,0.006241907365620136,0.01270008459687233,0.04810238629579544,0.015375111252069473,0.06982504576444626,0.050306398421525955,0.008237588219344616,0.008237588219344616,0.008237588219344616,0.008153604343533516,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.01270008459687233
styleid_pairwise,0,2,0.0,0.0,0.0,0.0,0.0,0.020916985347867012,0.0,0.010543368756771088,0.005820387043058872,0.012547762133181095,0.0474696047604084,0.016800805926322937,0.07489628344774246,0.05578231438994408,0.00784075353294611,0.00784075353294611,0.007840754464268684,0.00804908387362957,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.012547762133181095
styleid_pairwise,0,3,0.0,0.0,0.0,0.0,0.0,0.01976533979177475,0.0,0.009425542317330837,0.0064898524433374405,0.010842758230865002,0.04088912904262543,0.01349146943539381,0.06190983206033707,0.04607504978775978,0.006405666936188936,0.006405666936188936,0.0064056674018502235,0.0065847961232066154,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.010842758230865002
styleid_pairwise,0,4,0.0,0.0,0.0,0.0,0.0,0.02099357172846794,0.0,0.010208329185843468,0.006522388197481632,0.01218447182327509,0.05163378268480301,0.01876167580485344,0.0837552547454834,0.06332215666770935,0.008958820253610611,0.008958820253610611,0.008958820253610611,0.00889612641185522,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.01218447182327509
styleid_pairwise,1,2,0.0,0.0,0.0,0.0,0.0,0.023816239088773727,0.0,0.011602692306041718,0.006060650572180748,0.013267735950648785,0.05069475248456001,0.01640615612268448,0.07359451055526733,0.05593599006533623,0.0059458473697304726,0.0059458473697304726,0.0059458473697304726,0.00596569012850523,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.013267735950648785
styleid_pairwise,1,3,0.0,0.0,0.0,0.0,0.0,0.022802557796239853,0.0,0.012525472790002823,0.006881777662783861,0.01421491988003254,0.05408037453889847,0.019409287720918655,0.08555097877979279,0.06413748860359192,0.008011317811906338,0.008011317811906338,0.008011316880583763,0.007805652916431427,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.01421491988003254
styleid_pairwise,1,4,0.0,0.0,0.0,0.0,0.0,0.023082483559846878,0.0,0.011979474686086178,0.006046499125659466,0.013423332944512367,0.05234874039888382,0.019457930698990822,0.08940993249416351,0.06556802242994308,0.008196310140192509,0.008196310140192509,0.008196311071515083,0.007971983402967453,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.013423332944512367
styleid_pairwise,2,3,0.0,0.0,0.0,0.0,0.0,0.020534630864858627,0.0,0.010205704718828201,0.00651087099686265,0.011500733904540539,0.042167820036411285,0.014289024285972118,0.06536570936441422,0.04964635893702507,0.005806042812764645,0.005806042812764645,0.005806042812764645,0.005603226833045483,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.011500733904540539
styleid_pairwise,2,4,0.0,0.0,0.0,0.0,0.0,0.022216761484742165,0.0,0.011934678070247173,0.006335052195936441,0.013830676674842834,0.05714672431349754,0.021914169192314148,0.09755058586597443,0.0738130658864975,0.008848702535033226,0.008848702535033226,0.008848702535033226,0.008562298491597176,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.013830676674842834
styleid_pairwise,3,4,0.0,0.0,0.0,0.0,0.0,0.02372724935412407,0.0,0.011452057398855686,0.00678881723433733,0.013805059716105461,0.05914521962404251,0.02284092642366886,0.10278870910406113,0.07854586094617844,0.010021631605923176,0.010021631605923176,0.010021631605923176,0.009751293808221817,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,style_map_a_vs_b_mean_abs,0.013805059716105461
