epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,gram,gram_w,moment,push,nce,idt,w_cycle_eff,w_struct_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,1.5519576579332353,0.2640947141544893,0.024402995463460683,0.47216153010725975,0.8799900385737419,0.0,0.0,0.019597691718954594,0.391953836902976,0.04297193312086165,0.18416383102536202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,46.74744439125061
2,1.921501960158348,0.5186067454516887,0.02125594179145992,0.6400161421298981,1.393419098854065,0.0,0.0,0.003920270578237251,0.07840541146695613,0.010551200855989009,0.1811501519382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001988303923565381,37.20353674888611
3,1.8990462124347687,0.5329025147855282,0.018021487537771462,0.73028888463974,1.748961541056633,0.0,0.0,0.0025319906382355838,0.05063981283456087,0.0074026069324463605,0.16280769534409045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001953503690480396,37.88441586494446
4,1.8708747375011443,0.5368539130687714,0.017001788476482035,0.855353367626667,1.993203420639038,0.0,0.0,0.0021004360588267445,0.0420087212882936,0.006640406304504722,0.13701631303876638,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018964561979789495,37.38434982299805
5,1.8539375817775727,0.5414952057600021,0.017412617332302035,1.0078245693445205,2.181615398526192,0.0,0.0,0.0018642593960976229,0.03728518797084689,0.006077410774305463,0.11036148272454739,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018185661446562003,37.36448359489441
6,1.8202596706151963,0.5436447605490684,0.015344666317105293,1.182533826828003,2.3061077481508256,0.0,0.0,0.0016915566963143648,0.03383113384246826,0.005487970968242734,0.08313964821398258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00017217514421272203,37.28556561470032
7,2.0442862045764922,0.545111075937748,0.015043909377418459,1.3770744270086288,2.3477210283279417,0.0,0.0,0.0016123484703712166,0.032246969286352394,0.005030067027546465,0.0547111850976944,6.042217102050781,0.0,0.0,0.0,0.0416666679084301,0.0,1.0,0.00016083959896778498,37.896000385284424
8,2.1453557670116425,0.5582961475849152,0.016335829836316408,1.576283483505249,2.4484058737754824,0.0,0.0,0.0016616285144118593,0.03323257041163743,0.004715405203169212,0.026862151622772217,4.027181606292725,0.0,0.0,0.0,0.0833333358168602,0.0,1.0,0.00014812909747525697,37.810609579086304
9,2.200978343486786,0.5675801900029183,0.01390332252252847,1.7308390778303147,2.569985830783844,0.0,0.4783961796760559,0.0014627972029848024,0.02925594420172274,0.00428080405225046,0.004511477596653321,3.042898344993591,0.0,0.0,0.0416666679084301,0.125,0.0,1.0,0.00013435661446562004,37.853912591934204
10,2.29901486992836,0.573673774600029,0.013093116339296102,1.774344631433487,2.696335653066635,0.0,0.4697591210901737,0.0013591486203949898,0.02718297256156802,0.004034921020502224,0.00014313880056896267,2.7064711666107177,0.0,0.0,0.0833333358168602,0.1666666716337204,0.0,1.0,0.00011986127417882196,38.357964277267456
11,2.386601754426956,0.5790412995219231,0.012451228802092373,1.7781929802894592,2.719724553823471,0.4263139823079109,0.45729642048478125,0.0012974556017434225,0.02594911213964224,0.003836646422278136,3.334845894471527e-05,2.374294443130493,0.0,0.03333333507180214,0.125,0.2083333283662796,0.0,1.0,0.00010500000000000002,52.2067334651947
12,2.4128557121753693,0.5843374544382095,0.011972903972491622,1.7759420609474181,2.688148066997528,0.407857835739851,0.433591955602169,0.0012627392541617155,0.02525478516705334,0.0035953370633069427,3.3683151059165084e-05,1.9200669860839843,0.0,0.06666667014360428,0.1666666716337204,0.25,0.0,1.0,9.01387258211781e-05,52.94768190383911
