run,rel_path,family,has_full_eval,latest_epoch,latest_transfer_clip_style,best_transfer_clip_style,best_transfer_clip_style_epoch,latest_photo_to_art_clip_style,best_photo_to_art_clip_style,latest_transfer_classifier_acc,best_transfer_classifier_acc,latest_transfer_content_lpips,latest_classification_accuracy,latest_offdiag_clip_style_mean,matrix_style_count,matrix_pair_count,matrix_offdiag_count,matrix_complete_square,matrix_eval_count_mean,matrix_eval_count_min,matrix_eval_count_max,history_rounds,train_csv_count,latest_train_epoch,latest_train_loss,latest_train_lr,checkpoint_count,snapshot_count,latest_snapshot,latest_snapshot_model_sha1,latest_snapshot_losses_sha1,latest_snapshot_trainer_sha1,snapshot_model_hash_count,snapshot_losses_hash_count,snapshot_trainer_hash_count,model__use_decoder_spatial_inject,model__use_delta_highpass_bias,model__use_style_delta_gate,model__use_decoder_adagn,model__use_style_spatial_highpass,model__normalize_style_spatial_maps,model__use_output_style_affine,model__use_style_spatial_blur,model__style_ref_gain,model__style_spatial_pre_gain_16,model__style_spatial_dec_gain_32,model__style_texture_gain,model__style_delta_lowfreq_gain,model__highpass_last_step_scale,model__style_gate_floor,model__style_texture_mode,model__style_strength_step_curve,loss__w_distill,loss__w_code,loss__w_struct,loss__w_edge,loss__w_cycle,loss__w_stroke_gram,loss__w_color_moment,loss__w_style_spatial_tv,loss__w_nce,loss__w_push,loss__w_delta_tv,loss__w_semigroup,loss__distill_low_only,loss__distill_cross_domain_only,loss__train_num_steps_min,loss__train_num_steps_max,loss__train_style_strength_min,loss__train_style_strength_max,loss__teacher_interval_steps,loss__stroke_interval_steps,loss__semigroup_interval_steps
overfit50-distill_low_only,overfit50-distill_low_only,overfit50,True,20,0.5184687432646751,0.5184687432646751,20,0.5502318406105041,0.5502318406105041,0.9299999999999999,0.9299999999999999,0.545552662,0.965,0.5184687432646751,2,4,2,True,50.0,50.0,50.0,1,2,,,,1,2,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\overfit50-distill_low_only\src_snapshot_20260211_103123,99894315d0711dab5cf6a3afa82cf33e6814693c,b29d5602d83b56c83c133e4b9feea20db03755cc,7b0a56d5708758fe6a29ae989bbefe0e64ac846c,2,2,2,True,True,True,True,False,False,False,True,1.0,0.4,0.25,0.45,0.1,,0.0,,,1.0,,0.2,0.2,0.3,60.0,6.0,0.001,1.0,,0.002,0.05,True,True,,,,,,,
overfit50-style-distill-struct-v3,overfit50-style-distill-struct-v3,overfit50,True,20,0.5164555355906486,0.5164555355906486,20,0.5295738726854324,0.5295738726854324,0.6699999999999999,0.6699999999999999,0.5105322067,0.83,0.5164555355906486,2,4,2,True,50.0,50.0,50.0,0,2,21,0.9054255482554435,1e-05,1,2,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\overfit50-style-distill-struct-v3\src_snapshot_20260210_121412,eeb860c75f7361d4aa821a9dcea787e9ae5dff1f,6f6c13a984ba69eff973fb423b00e6203525ca1c,2c72986b39bc43f252bc9b7469f378b003ed0da1,1,1,1,True,True,True,True,False,True,True,,1.0,0.4,0.25,0.35,0.35,,0.7,,,10.0,4.0,3.0,,3.0,,,,2.0,1.0,,,,,,,,,,,
overfit50-strok-style,overfit50-strok-style,overfit50,True,40,0.48516041100025176,0.5164450716972351,20,0.5343937426805496,0.5482865911722183,0.52,0.9299999999999999,0.3861631337,0.74,0.48516041100025176,2,4,2,True,50.0,50.0,50.0,2,1,42,0.36543880462646483,5.325929167357251e-05,2,1,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\overfit50-strok-style\src_snapshot_20260211_103151,99894315d0711dab5cf6a3afa82cf33e6814693c,b29d5602d83b56c83c133e4b9feea20db03755cc,7b0a56d5708758fe6a29ae989bbefe0e64ac846c,1,1,1,True,True,True,True,False,False,False,True,1.0,0.4,0.25,0.45,0.1,,0.0,,,1.0,,0.2,0.2,0.3,60.0,6.0,0.001,1.0,,0.002,0.05,True,True,,,,,,,
full_300-map16+32,full_300-map16+32,full_300,True,300,0.5085726749897003,0.509921290576458,200,0.5451152491569519,0.5530522000789643,0.76,0.78,0.4242168047,0.88,0.5085726749897003,2,4,2,True,50.0,50.0,50.0,6,4,6,3.2338972091674805,0.00019986980580168453,6,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-upscale-balance-v2-re-0.1cycle,experiments/overfit50-upscale-balance-v2-re-0.1cycle,overfit50,True,80,0.5062723857164383,0.5062723857164383,80,0.5433711606264114,0.5433711606264114,0.22999999999999998,0.22999999999999998,0.4347346201,0.57,0.5062723857164383,2,4,2,True,50.0,50.0,50.0,0,4,,,,9,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-upscale-balance-v2,experiments/overfit50-upscale-balance-v2,overfit50,True,40,0.504675478041172,0.504675478041172,40,0.555447838306427,0.555447838306427,0.5,0.5,0.4413090596,0.635,0.504675478041172,2,4,2,True,50.0,50.0,50.0,0,6,45,7.346957287788391,1.4649630951960561e-05,4,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-style-distill-struct-v4,overfit50-style-distill-struct-v4,overfit50,True,60,0.49900417268276215,0.49900417268276215,60,0.5395751446485519,0.5395751446485519,0.55,0.55,0.43373992669999994,0.765,0.49900417268276215,2,4,2,True,50.0,50.0,50.0,0,6,,,,3,6,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\overfit50-style-distill-struct-v4\src_snapshot_20260210_211128,eeb860c75f7361d4aa821a9dcea787e9ae5dff1f,8cfa6a03fa24d014637d16fa2c5994c29970d6ca,b127efc44bf4e85ba1101f9d39a75abdeb554836,1,2,3,True,True,True,True,False,True,True,,1.0,0.4,0.25,0.35,0.35,,0.7,,,8.0,4.0,0.75,0.25,8.0,,,,3.5,1.0,,,,,,,,,,,
overfit50-style-distill-struct-v4-mse,overfit50-style-distill-struct-v4-mse,overfit50,True,60,0.4975392565131187,0.4975392565131187,60,0.5401826918125152,0.5401826918125152,0.64,0.64,0.43799780499999996,0.815,0.4975392565131187,2,4,2,True,50.0,50.0,50.0,0,3,,,,3,3,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\overfit50-style-distill-struct-v4-mse\src_snapshot_20260210_223207,eeb860c75f7361d4aa821a9dcea787e9ae5dff1f,c86ed9405d3e3c62b06875ac6ffe9da691bff273,fe8482171546fd859c00a93a6308ae0910d193a5,1,2,3,True,True,True,True,False,True,True,,1.0,0.4,0.25,0.35,0.35,,0.7,,,8.0,4.0,0.75,0.25,8.0,,,,3.5,1.0,,,,,,,,,,,
overfit50-upscale-styleid-v1,experiments/overfit50-upscale-styleid-v1,overfit50,True,40,0.482199689745903,0.482199689745903,40,0.5209327107667923,0.5209327107667923,0.45,0.45,0.36680771219999997,0.635,0.482199689745903,2,4,2,True,50.0,50.0,50.0,0,2,,,,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-no-idt,experiments/overfit50-no-idt,overfit50,True,30,0.4784532424807548,0.4784532424807548,30,0.5276635032892227,0.5276635032892227,0.43,0.43,0.0,0.665,0.4784532424807548,2,4,2,True,50.0,50.0,50.0,0,3,30,0.3113528448343277,1.4649630951960446e-05,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
