epoch,loss,swd,repulsive,color,oob,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,17.007993698120117,12.03310775756836,0.736463725566864,0.8977274298667908,0.00022097211331129074,3.3404738903045654,0.20205079019069672,1e-05,0.505813600262627,0.005331900902092457,26.75190329994075,8.911865300266072,0.11236829869449139,0.020051301224157214,35.781468799803406,36.947771310806274,10240,277.1479750120967,286.1816561330278
2,14.700423240661621,10.339434623718262,0.68501877784729,0.5894441604614258,0.0006986879743635654,3.0858254432678223,0.20400391519069672,2e-05,0.49808050063438714,0.005228301044553518,19.172591999405995,1.1460779991466552,0.09620220120996237,0.020094700390473008,20.420100500807166,21.591726064682007,10240,474.25573894945626,501.4666798331983
3,12.360054016113281,8.269289016723633,0.6122433543205261,0.3621094226837158,0.002085621701553464,3.1143276691436768,0.20283202826976776,3e-05,0.484913500957191,0.004947499604895711,19.182509799022228,1.1382808997295797,0.09124870039522648,0.020393000915646553,20.41698689875193,21.56793212890625,10240,474.7789421256534,501.54315378563336
4,10.772245407104492,6.932984828948975,0.4983431398868561,0.2130873203277588,0.006790240295231342,3.1210389137268066,0.20126953721046448,4e-05,0.4920823003631085,0.0052408999763429165,19.236378399422392,1.14734740043059,0.09299509972333908,0.019336500205099583,20.481961799552664,21.637811422348022,10240,473.24564393901204,499.9521090906266
5,9.613526344299316,5.91910457611084,0.39409372210502625,0.15920448303222656,0.007890856824815273,3.1332335472106934,0.20097656548023224,5e-05,0.5037098994944245,0.005032899556681514,19.24618209991604,1.1711766000371426,0.1008522987831384,0.019935002317652106,20.523243898293003,21.70947813987732,10240,471.6833787538417,498.9464653222632
6,8.663741111755371,5.162658214569092,0.31889426708221436,0.10810505598783493,0.006740409880876541,3.0673437118530273,0.19882813096046448,6e-05,0.4913411990273744,0.004965001018717885,19.28597960062325,1.140909599373117,0.09468210022896528,0.019701399141922593,20.52653630124405,21.681700944900513,10240,472.2876690358754,498.86643560898216
7,8.050189971923828,4.6830735206604,0.2533184885978699,0.08612886816263199,0.005214981269091368,3.022454261779785,0.19921875,7e-05,0.4896294001955539,0.005227799993008375,19.291176199680194,1.133268600096926,0.09273739974014461,0.0194156002253294,20.522409999510273,21.67989492416382,10240,472.32701246106024,498.96673929837465
8,7.567023754119873,4.338231563568115,0.2162562906742096,0.07297945767641068,0.00321952230297029,2.9363369941711426,0.19453124701976776,8e-05,0.5154327000491321,0.005308900494128466,19.26719010132365,1.1762600000947714,0.09386100014671683,0.01949099823832512,20.542620002059266,21.733123540878296,10240,471.17019239040195,498.475851618416
9,7.168811321258545,3.996433734893799,0.2011304646730423,0.054430652409791946,0.0025828650686889887,2.914233446121216,0.20742188394069672,9e-05,0.4849096992984414,0.005074799992144108,19.315399300074205,1.1349224005825818,0.08924209978431463,0.01836819900199771,20.544638600433245,21.692063331604004,10240,472.06205529932,498.4268742397863
10,7.0730881690979,3.8664252758026123,0.19028298556804657,0.04715680703520775,0.0021092419046908617,2.9671144485473633,0.20058594644069672,0.0001,0.4930809000506997,0.005217300960794091,19.31649059872143,1.1317899997811764,0.09380819904617965,0.019783902214840055,20.54730609850958,21.716047763824463,10240,471.54068324800045,498.36216732775347
11,6.976513862609863,3.803363800048828,0.18262633681297302,0.04928252846002579,0.0019451085245236754,2.939296245574951,0.20185546576976776,9.933543077861571e-05,0.5756084006279707,0.005087398458272219,19.230217999778688,1.1512180007994175,0.09279389958828688,0.018890701001510024,20.479317298624665,21.71777033805847,10240,471.503282362983,500.0166680696768
12,6.930235385894775,3.7933833599090576,0.17847061157226562,0.04484149441123009,0.0016716721002012491,2.9118685722351074,0.201171875,9.860471227032953e-05,0.5059330994263291,0.005027499981224537,19.243845300283283,1.1710373994428664,0.0922214004676789,0.01986389863304794,20.512131600175053,21.68035054206848,10240,472.3170863925995,499.2167659412155
13,6.927961826324463,3.7481086254119873,0.1720121204853058,0.04553387686610222,0.0016972514567896724,2.9606101512908936,0.205078125,9.780897119011768e-05,0.4946890000719577,0.005012099631130695,19.25391209917143,1.1274013011716306,0.09027399960905313,0.018754900200292468,20.476599499583244,21.64196491241455,10240,473.1548194187301,500.0830338166458
14,6.954445838928223,3.7767398357391357,0.1683853268623352,0.04961453005671501,0.0015826154267415404,2.9581234455108643,0.19853515923023224,9.694943451304938e-05,0.49052159977145493,0.005475099664181471,19.275045399088413,1.133556600427255,0.0935803996399045,0.01942070061340928,20.507657498819754,21.661122798919678,10240,472.7363440509514,499.32567874167626
15,6.945711612701416,3.707975149154663,0.172476664185524,0.04811100661754608,0.0018941324669867754,3.015253782272339,0.20283202826976776,9.602742758238022e-05,0.5177347001153976,0.005214200355112553,19.242783099180087,1.1638638000003994,0.09689259971491992,0.019766901386901736,20.50875369925052,21.68872618675232,10240,472.13468932328027,499.2989896004366
16,6.905220031738281,3.757737874984741,0.1681537926197052,0.05236240103840828,0.0019200098467990756,2.925046682357788,0.20332030951976776,9.504437206596892e-05,0.47973720054142177,0.004866000264883041,19.26867129979655,1.1264895002823323,0.09230220061726868,0.019957398530095816,20.492329000961035,21.63817286491394,10240,473.237738876005,499.6991800941597
17,6.931037425994873,3.7493321895599365,0.17144957184791565,0.0507919080555439,0.0019136423943564296,2.957549810409546,0.20556640625,9.400178376416844e-05,0.5068899013567716,0.005360199371352792,19.287035300396383,1.167954301694408,0.09666950046084821,0.019231298472732306,20.557019301922992,21.731664896011353,10240,471.20181767018954,498.1266909177882
