epoch,loss,distill,code,code_ref,code_proto,proto,style_ce,prob,prob_margin,prob_weight_mean,cls_target_prob,cls_hard_ratio,dir,proto_sep,style_pred_acc,xfer_margin,proto_cos_max,proto_cos_mean,same_id,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
1,5.294473433494568,0.0,0.0,0.0,0.0,0.0,0.0,0.8111923038959503,1.0405636936426164,1.7739999651908875,0.1064975943416357,0.9995000004768372,0.0,0.0,0.034999999590218066,-0.7870047986507416,-0.00254364013671875,-0.00254364013671875,0.0,0.017759170848876238,0.0,0.0,0.0,0.0,0.009093766182195396,8.0,0.0,0.30000001192092896,0.0,1.0,0.0002,14.718876600265503
2,5.252096343040466,0.0,0.0,0.0,0.0,0.0,0.0,0.8203776836395263,1.050722700357437,1.7274999558925628,0.10279140435159206,0.9995000004768372,0.0,0.0,0.041499999910593034,-0.7944171965122223,-0.1870849609375,-0.1870849609375,0.0,0.006005638721399009,0.0,0.0,0.0,0.0,0.0031300492701120675,8.0,0.0,0.30000001192092896,0.0,1.0,0.0001997071467046472,10.603436470031738
3,4.686018109321594,0.0,0.0,0.0,0.0,0.0,0.0,0.7036205917596817,0.8991906344890594,1.7522499442100525,0.2557316679507494,0.9220000028610229,0.0,0.0,0.20650000013411046,-0.48853667080402374,-0.37587890625,-0.37587890625,0.0,0.028277249867096545,0.0,0.0,0.0,0.0,0.010589030268602074,8.0,0.0,0.30000001192092896,0.0,1.0,0.00019883039235653812,7.512354373931885
4,4.1096242547035216,0.0,0.0,0.0,0.0,0.0,0.0,0.6012446075677872,0.763840314745903,1.7529999613761902,0.42922925353050234,0.8099999964237213,0.0,0.0,0.4349999979138374,-0.14154150885296984,-0.45029296875,-0.45029296875,0.0,0.0388366550207138,0.0,0.0,0.0,0.0,0.01432842998765409,8.0,0.0,0.30000001192092896,0.0,1.0,0.0001973751424377793,7.4897544384002686
5,3.6867624640464784,0.0,0.0,0.0,0.0,0.0,0.0,0.5468850985169411,0.6947518318891526,1.7274999618530273,0.487152935564518,0.7455000013113022,0.0,0.0,0.5075000002980232,-0.025694133271463214,-0.44833984375,-0.44833984375,0.0,0.028352266922593117,0.0,0.0,0.0,0.0,0.028253527358174324,8.0,0.0,0.30000001192092896,0.0,1.0,0.0001953503690480396,7.538522958755493
6,2.9122482538223267,0.0,0.0,0.0,0.0,0.0,0.0,0.4020792722702026,0.5053614854812623,1.7642499506473541,0.5770585775375366,0.6080000013113022,0.0,0.0,0.5689999982714653,0.15411714466754348,-0.49052734375,-0.49052734375,0.0,0.04693042542785406,0.0,0.0,0.0,0.0,0.05174061432480812,8.0,0.0,0.30000001192092896,0.0,1.0,0.00019276855558857225,10.799735307693481
7,1.8061172246932984,0.0,0.0,0.0,0.0,0.0,0.0,0.23832476884126663,0.2681394152343273,1.7694999396800994,0.6866242736577988,0.49749999940395356,0.0,0.0,0.7255000025033951,0.3732485339045525,-0.529296875,-0.529296875,0.0,0.04795231129974127,0.0,0.0,0.0,0.0,0.07422864958643913,8.0,0.0,0.30000001192092896,0.0,1.0,0.00018964561979789495,7.668228387832642
8,0.9218786090612412,0.0,0.0,0.0,0.0,0.0,0.0,0.11131770852953196,0.09352343566715718,1.7409999668598175,0.790351140499115,0.4214999958872795,0.0,0.0,0.9049999952316284,0.5807022839784622,-0.532421875,-0.532421875,0.0,0.04262684565037489,0.0,0.0,0.0,0.0,0.0733308371156454,8.0,0.0,0.30000001192092896,0.0,1.0,0.00018600081561363877,7.433968782424927
9,0.5302962958812714,0.0,0.0,0.0,0.0,0.0,0.0,0.05346362991258502,0.029377349297283216,1.7604999601840974,0.8459047943353653,0.3455000013113022,0.0,0.0,0.9580000042915344,0.6918095946311951,-0.5365234375,-0.5365234375,0.0,0.035812400933355096,0.0,0.0,0.0,0.0,0.07335322219878435,8.0,0.0,0.30000001192092896,0.0,1.0,0.00018185661446562003,7.462359428405762
10,0.3287096545100212,0.0,0.0,0.0,0.0,0.0,0.0,0.03126955358311534,0.004289724207046675,1.7432499468326568,0.8719577640295029,0.25000000074505807,0.0,0.0,0.9950000047683716,0.7439155161380768,-0.5390625,-0.5390625,0.0,0.027626711316406725,0.0,0.0,0.0,0.0,0.055509692244231704,8.0,0.0,0.30000001192092896,0.0,1.0,0.00017723856673200296,10.563107013702393
11,0.24624111801385878,0.0,0.0,0.0,0.0,0.0,0.0,0.022572517907246948,0.00015201863752736244,1.7387499630451202,0.8840285837650299,0.20600000061094761,0.0,0.0,1.0,0.7680571883916855,-0.5390625,-0.5390625,0.0,0.022054061572998763,0.0,0.0,0.0,0.0,0.043070914782583715,8.0,0.0,0.30000001192092896,0.0,1.0,0.00017217514421272203,7.738051891326904
12,0.20141122937202455,0.0,0.0,0.0,0.0,0.0,0.0,0.02023399085737765,0.0,1.7282499611377715,0.889377099275589,0.16799999997019768,0.0,0.0,1.0,0.7787542045116425,-0.537109375,-0.537109375,0.0,0.017463197791948916,0.0,0.0,0.0,0.0,0.037068897671997544,8.0,0.0,0.30000001192092896,0.0,1.0,0.0001666975645913675,7.446812629699707
13,0.19164556115865708,0.0,0.0,0.0,0.0,0.0,0.0,0.01943436162546277,0.0,1.7949999570846558,0.8902962923049926,0.18600000031292438,0.0,0.0,1.0,0.7805925697088242,-0.53515625,-0.53515625,0.0,0.016634773183614015,0.0,0.0,0.0,0.0,0.033271571062505244,8.0,0.0,0.30000001192092896,0.0,1.0,0.00016083959896778498,7.4398193359375
14,0.18312779814004898,0.0,0.0,0.0,0.0,0.0,0.0,0.018395587988197803,0.0,1.747749960422516,0.8930808424949646,0.170499999076128,0.0,0.0,1.0,0.7861617267131805,-0.53515625,-0.53515625,0.0,0.015990815218538047,0.0,0.0,0.0,0.0,0.030707677733153103,8.0,0.0,0.30000001192092896,0.0,1.0,0.00015463736364801516,10.649147748947144
15,0.1517977800220251,0.0,0.0,0.0,0.0,0.0,0.0,0.01607642653398216,0.0,1.7439999401569366,0.8998919874429703,0.1385000005364418,0.0,0.0,1.0,0.7997839510440826,-0.532421875,-0.532421875,0.0,0.012872260995209217,0.0,0.0,0.0,0.0,0.028762088995426892,8.0,0.0,0.30000001192092896,0.0,1.0,0.00014812909747525697,7.8807196617126465
16,0.13782261535525323,0.0,0.0,0.0,0.0,0.0,0.0,0.014360659988597035,0.0,1.733499962091446,0.9029120743274689,0.1375,0.0,0.0,1.0,0.8058241575956344,-0.5306640625,-0.5306640625,0.0,0.01177562279626727,0.0,0.0,0.0,0.0,0.025719939079135657,8.0,0.0,0.30000001192092896,0.0,1.0,0.00014135492607468357,7.533634662628174
17,0.129633953794837,0.0,0.0,0.0,0.0,0.0,0.0,0.014921365631744265,0.0,1.7357499480247498,0.9018499284982682,0.1349999990314245,0.0,0.0,1.0,0.8036998629570007,-0.52734375,-0.52734375,0.0,0.010661244066432119,0.0,0.0,0.0,0.0,0.023468622751533986,8.0,0.0,0.30000001192092896,0.0,1.0,0.00013435661446562004,7.433713436126709
18,0.11754032671451568,0.0,0.0,0.0,0.0,0.0,0.0,0.013654489070177078,0.0,1.77249995470047,0.9049659043550491,0.1335000006482005,0.0,0.0,1.0,0.8099317938089371,-0.52734375,-0.52734375,0.0,0.009618523623794317,0.0,0.0,0.0,0.0,0.021519718039780856,8.0,0.0,0.30000001192092896,0.0,1.0,0.00012717730956631105,7.468972444534302
19,0.1062694288790226,0.0,0.0,0.0,0.0,0.0,0.0,0.012213344639167189,0.0,1.7732499599456788,0.9100149154663086,0.11500000115483999,0.0,0.0,1.0,0.8200298458337784,-0.523828125,-0.523828125,0.0,0.008701973222196102,0.0,0.0,0.0,0.0,0.020400932431221007,8.0,0.0,0.30000001192092896,0.0,1.0,0.00011986127417882196,10.747650623321533
20,0.10864137522876263,0.0,0.0,0.0,0.0,0.0,0.0,0.01187523822300136,0.0,1.7334999561309814,0.9095682561397552,0.11599999954923987,0.0,0.0,1.0,0.8191364884376526,-0.5234375,-0.5234375,0.0,0.009155385219492019,0.0,0.0,0.0,0.0,0.019033990707248448,8.0,0.0,0.30000001192092896,0.0,1.0,0.0001124536140941453,7.4909398555755615
21,0.09217269718647003,0.0,0.0,0.0,0.0,0.0,0.0,0.011310754436999559,0.0,1.7462499558925628,0.9134521633386612,0.10899999905377626,0.0,0.0,1.0,0.8269043326377868,-0.5234375,-0.5234375,0.0,0.007307052635587752,0.0,0.0,0.0,0.0,0.018131303228437902,8.0,0.0,0.30000001192092896,0.0,1.0,0.00010500000000000002,7.447582721710205
