batch_size,num_steps,avg_sec_per_iter,avg_sec_per_img,throughput_img_per_sec,peak_vram_mb,peak_reserved_mb,params,macs,flops,flops_backend,measurement_scope
1,1,0.00976752199989278,0.00976752199989278,102.38011237763041,33.4287109375,48.0,3909717,,,,latent_generator_only
1,4,0.009520596000074875,0.009520596000074875,105.03544105769592,33.4287109375,50.0,3909717,,,,latent_generator_only
1,8,0.009579644000041299,0.009579644000041299,104.3880127482492,33.4287109375,48.0,3909717,,,,latent_generator_only
1,12,0.00978880199996638,0.00978880199996638,102.15754696064283,33.4287109375,48.0,3909717,,,,latent_generator_only
1,16,0.009419284000032349,0.009419284000032349,106.16518198162044,33.4287109375,48.0,3909717,,,,latent_generator_only
4,1,0.009593368000059855,0.0023983420000149636,416.95471287821374,61.4658203125,72.0,3909717,,,,latent_generator_only
4,4,0.00936552400002256,0.00234138100000564,427.09836630501025,61.4658203125,72.0,3909717,,,,latent_generator_only
4,8,0.009417148000065935,0.002354287000016484,424.7570495835887,61.4658203125,72.0,3909717,,,,latent_generator_only
4,12,0.00921275799992145,0.0023031894999803624,434.1805135914896,61.4658203125,72.0,3909717,,,,latent_generator_only
4,16,0.009085147999867331,0.002271286999966833,440.27901362293835,61.4658203125,72.0,3909717,,,,latent_generator_only
