experiment,run_path,images_dir,epoch,is_tokenized,image_count,target_style_count,pair_available,pair_brightness_dist_l1,pair_brightness_mean_abs,pair_brightness_std_abs,pair_chroma_cb_dist_l1,pair_chroma_cb_mean_abs,pair_chroma_cb_std_abs,pair_chroma_cr_dist_l1,pair_chroma_cr_mean_abs,pair_chroma_cr_std_abs,pair_chroma_mean_l2,pair_chroma_std_l2,pair_rgb_b_dist_l1,pair_rgb_b_mean_abs,pair_rgb_b_std_abs,pair_rgb_g_dist_l1,pair_rgb_g_mean_abs,pair_rgb_g_std_abs,pair_rgb_mean_l2,pair_rgb_r_dist_l1,pair_rgb_r_mean_abs,pair_rgb_r_std_abs,pair_rgb_std_l2,style_brightness_dist_l1,style_brightness_mean_abs,style_brightness_std_abs,style_chroma_cb_dist_l1,style_chroma_cb_mean_abs,style_chroma_cb_std_abs,style_chroma_cr_dist_l1,style_chroma_cr_mean_abs,style_chroma_cr_std_abs,style_chroma_mean_l2,style_chroma_std_l2,style_rgb_b_dist_l1,style_rgb_b_mean_abs,style_rgb_b_std_abs,style_rgb_g_dist_l1,style_rgb_g_mean_abs,style_rgb_g_std_abs,style_rgb_mean_l2,style_rgb_r_dist_l1,style_rgb_r_mean_abs,style_rgb_r_std_abs,style_rgb_std_l2
abl_naive_skip,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_naive_skip\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_naive_skip\full_eval\epoch_0040\images,epoch_0040,0,750,5,0.352,28.576928020362015,24.772854082598933,10.52871733382508,10.357696389028659,8.441104257790888,6.141420268194433,8.860141579478944,7.574906934707883,5.230627123555566,12.186527366402386,8.57443564885811,33.51529451288728,29.562550468770866,12.540547296386643,30.14298607235863,26.271684921879473,10.807394359411628,50.8505035415994,31.046120891640914,26.146632192795675,12.912276343973272,22.715878635500815,14.950049449920652,4.700132029215495,14.523526524861655,7.133243510087331,3.641059061686198,8.419559101104735,5.890301074822743,2.0449809366861977,7.456391112963358,4.380393170535564,11.45566494401296,15.996522460937502,6.137688191731771,14.876665949503579,15.545700846354169,4.666994913736979,15.239463353474935,11.099445964336393,18.4355673828125,6.273979431152344,17.686776374816894,28.12443642298381
abl_naive_skip,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_naive_skip\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_naive_skip\full_eval\epoch_0080\images,epoch_0080,0,750,5,0.352,28.041975777239447,24.146308617947014,10.093834095653305,10.636410094726653,8.580820470211416,6.506548351720431,9.220130248282274,7.803478527977353,5.58229698119146,12.46232233049232,9.067948013139803,33.01025179274935,29.34103030753223,12.106066337417769,29.658596871065136,25.933767036372778,10.29805845470219,50.36965467171791,30.79867981925843,25.713775554466018,12.577426660232636,22.07222841370237,14.525002403418222,4.9958868509928385,13.455079839070638,7.320545108159384,3.9903988749186197,8.664512935638427,6.730320119698843,3.4058366800944007,8.122042294184366,5.4260230288505555,12.05146582698822,14.949210286458333,7.295135538736979,13.108805806477864,15.281263671875001,5.613035196940104,14.224503479003905,12.301983775138856,18.592416341145835,6.283329121907552,17.12237358093262,26.204062526067094
abl_no_adagn,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_no_adagn\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_no_adagn\full_eval\epoch_0040\images,epoch_0040,0,750,5,0.352,29.206176699177245,24.323049863389123,11.944531773251637,10.22540053684924,7.896143307249188,6.64352646357556,9.158087481755185,7.6684962514614154,5.607807272330599,11.900825448591485,9.222728806196988,33.25556395590087,28.782356305430955,13.326628871610314,30.909025717934412,26.255422574929412,12.135686469747615,50.16188417375888,31.960437184614428,25.942481097359938,15.024652541676428,25.273744316974405,17.961623626708985,5.178806854248046,17.96462231190999,7.152136762777964,2.2063748677571615,9.078827551205952,6.380730816841125,1.909299397786458,8.057163831392923,3.2528755792081356,12.372112748305003,17.690157552083335,5.231149291992187,17.63064591217041,18.94035026041667,6.051104166666667,18.69674687957764,10.330266433477401,21.429376627604167,5.044945353190104,21.587923169453937,34.0347803850174
abl_no_adagn,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_no_adagn\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_no_adagn\full_eval\epoch_0080\images,epoch_0080,0,750,5,0.352,28.500855812490784,24.127099092993543,11.080536786755944,10.427251674401163,8.196208711747577,6.6417014909955014,9.11478101415803,7.551839321169079,5.8614934894744595,12.016572988555108,9.359724485115837,33.11477038559314,29.100115145356078,12.77499350826091,30.115310452080468,25.832768767826146,11.378318841372947,49.97738303438356,31.22175472720639,25.662872637700975,14.04793337410914,23.900686544638415,16.346782036463416,4.145271240234375,16.2881902440389,7.189868744373321,2.7409132181803386,9.042514317830404,6.598955272038777,2.114951212565104,8.547034414927165,3.6597531074831884,12.630633240163325,17.089894205729166,6.321232910156249,15.987149848937989,17.262794270833332,4.832833719889322,17.214195134480796,9.796704206148783,19.68190625,4.490232014973958,19.902541124979656,31.2154198290507
abl_no_residual,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_no_residual\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_no_residual\full_eval\epoch_0040\images,epoch_0040,0,750,5,0.352,69.35636676639282,68.3531902171404,24.82097257090721,12.273670796922275,9.395183639433212,8.637442284083773,9.908397429108765,7.781239569714073,7.166617793774138,13.282048442587165,11.734590792963065,78.95557897695838,76.26467449910183,25.430886956361622,68.70595947265625,67.4181256146367,24.94574719101227,125.30957657893207,69.56970741579384,68.0471053289057,28.74183120062063,47.235169791045784,68.92417263793945,67.83652553304037,35.00342498524983,12.1818647702535,8.274454701741536,11.64426288620631,9.340917556762694,4.778256764729818,10.423941042343776,10.07695752797524,15.910529738108318,79.80064583333333,76.94509191894531,35.66639328575134,69.37116796875,67.84540266927084,35.764303038914996,122.26307071177163,65.88986621093751,63.960557434082034,38.2688076616923,63.84158685557047
abl_no_residual,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_no_residual\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_no_residual\full_eval\epoch_0080\images,epoch_0080,0,750,5,0.352,69.3775039283813,68.37507747447535,24.80003042010306,12.27412605922592,9.39619500436189,8.634868001117665,9.906646420488427,7.778332936958807,7.167310572707246,13.281169965074321,11.733073107347675,78.96342943948413,76.27033177544638,25.408393534344775,68.72579914768392,67.44307879307038,24.92546777162214,125.3394013167883,69.58568247887095,68.06853308914054,28.723326205980207,47.20053011544895,68.94566232045493,67.85879935709636,34.98219893773397,12.181102763652802,8.274559366861979,11.642650707324346,9.34183379681905,4.7786755371093745,10.42497334174315,10.077410490314167,15.910123915831246,79.80434407552085,76.9528412068685,35.64425877126058,69.39116731770832,67.8700743001302,35.74319708887735,122.29486232121785,65.90675944010415,63.98370422363282,38.250114248911544,63.80604235839844
abl_rank1,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_rank1\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_rank1\full_eval\epoch_0040\images,epoch_0040,0,750,5,0.352,28.57326304597587,24.333339917412317,10.356742828029125,10.269495394031933,7.99298973437485,6.732653667618211,9.074020368677356,7.450482063619499,6.011713284438929,11.797921140995218,9.512957300206462,33.197263383318074,28.93960119338263,13.082302328396192,30.22781103038671,25.961419176746784,10.543589772211618,50.03211903248224,30.77714893532032,26.011826156038648,12.600429996355404,22.789286050840175,14.19841478172938,4.753230845133464,13.352765195210775,7.311467567920684,2.0214651692708334,9.313195206006366,6.729511316299439,1.5171351013183592,8.957865016937257,2.771582966287931,13.141388291676838,14.934369466145833,5.208227579752604,14.532957748413088,14.97893229166667,5.0041283569335935,14.020532770792641,9.683270840803782,17.339536783854165,5.330350992838541,17.189253623962404,27.143216795365014
abl_rank1,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_rank1\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_rank1\full_eval\epoch_0080\images,epoch_0080,0,750,5,0.352,27.933868843516443,24.12740185689868,9.854378200177019,10.546389463258604,8.244697177593524,7.080506810830481,9.183761768112543,7.473802060696668,6.153281205882374,12.026517620558268,9.882164631356394,32.69224755143945,29.05130761320047,12.077108009114806,29.52831079429468,25.762411887666097,10.034432960412442,49.938772887345195,30.185804886031935,25.61327398763617,11.796248736631885,21.4264686262593,11.585213347117106,4.424111857096355,10.64676801554362,7.4733394947052005,2.756737620035807,9.665482124328614,6.880869659900665,2.154008961995443,9.193247265497844,3.7026396850744887,13.511738996187848,12.781453125,6.468703267415364,10.894168896993001,12.484689778645834,5.0538126017252605,11.447893005371094,10.12800788005193,15.230779947916668,4.589262268066406,14.58526682535807,22.02129928700129
abl_rank64,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_rank64\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_rank64\full_eval\epoch_0040\images,epoch_0040,0,750,5,0.352,28.636945626383444,24.300469654884388,11.008664167425135,10.296912259841577,7.912680863321046,6.911223532711048,9.174350005597859,7.5508038817278775,6.0757390776978895,11.848189207512672,9.682050779922177,33.52676314245651,29.088653219965938,13.20341647631374,30.481081030243633,25.948323401519815,11.284009946583245,49.99295962679226,30.954986526060747,25.703583778875064,13.594858456519642,23.877523096486907,14.999822334925332,4.336098724365234,14.956885462443035,7.542193376700084,2.222144592285156,9.540314230600993,6.780557297547659,1.6647521769205729,8.885787991841633,3.0790476525425907,13.233330128987628,16.279706705729165,5.431313802083333,15.720549255371091,16.021473958333335,4.636552754720052,15.806372446695963,9.714569051186244,18.414904296875,5.4552920532226565,18.596799797058104,29.54683494567871
abl_rank64,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_rank64\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\exp\abl_rank64\full_eval\epoch_0080\images,epoch_0080,0,750,5,0.352,27.73084258995359,24.072812543945872,9.69314285546141,10.484477290522047,8.205118674812736,7.039336740784302,9.226974299445985,7.501533389900776,6.361736612317035,11.97234398622398,9.964247029326192,32.72461218008337,29.006872375451017,12.097684883425087,29.473240488352793,25.624737856984865,10.01345425688449,49.76560568054663,29.864240373883934,25.525726525908716,11.517865948333554,21.310395670937094,12.091899581273397,4.453694610595703,11.414865814208984,7.4910564130147295,2.570938934326172,9.643870131810507,6.948754867076874,2.0214751892089846,9.406516414324441,3.467902473688126,13.62934931945801,14.166067708333333,6.349342346191406,12.381379590352378,13.384509114583334,5.099006123860677,12.541720573425291,9.858900901794433,15.187079427083333,4.273284281412761,14.673887797037759,23.42611985588074
