epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,gram,gram_w,moment,push,delta_tv,nce,idt,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,1.0152030181884766,0.3089174842834473,0.023246409893035887,0.4464590072631836,0.9688980865478516,0.0,0.0,0.0,0.01749871015548706,0.34997432708740234,0.03771865367889404,0.18396825790405275,0.13067400932312012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,48.284292221069336
2,0.8411946868896485,0.4636077880859375,0.016450170278549194,0.5943149185180664,1.2668728637695312,0.0,0.0,0.0,0.0058300036191940305,0.1166001033782959,0.006724172830581665,0.1724306106567383,0.310234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019986980580168453,37.24837827682495
3,0.7816642761230469,0.4758178329467773,0.014377532005310058,0.7731307983398438,1.3955917358398438,0.0,0.0,0.0,0.0044932782649993895,0.08986559867858887,0.004483084678649902,0.13904797554016113,0.34855979919433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019947958005998598,37.26627802848816
4,0.7342916870117188,0.4842642211914063,0.013676859140396118,1.0116353607177735,1.4844705200195312,0.0,0.0,0.0,0.0038166192173957826,0.07633238315582275,0.003897467851638794,0.10012088775634766,0.36906536102294923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019883039235653812,37.25796461105347
5,0.6930097961425781,0.4914360046386719,0.013586851358413697,1.287031707763672,1.56469482421875,0.0,0.0,0.0,0.003426930606365204,0.06853861808776855,0.0036053341627120972,0.0599149751663208,0.38539920806884764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019792402206971158,37.26398539543152
6,0.6490192413330078,0.49558319091796876,0.013086642026901246,1.5858177185058593,1.674444122314453,0.0,0.0,0.0,0.0031538665294647216,0.06307730197906494,0.0034246692061424256,0.019153127670288084,0.40031383514404295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019676295349746153,37.27390503883362
7,0.6279480361938476,0.4982147216796875,0.0127912437915802,1.7427392578125,1.7280697631835937,0.0,0.0,0.0,0.00296393096446991,0.05927859783172607,0.003268021047115326,0.00040951665490865705,0.41147235870361326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019535036904803964,37.264273166656494
8,0.6226971817016601,0.5011982727050781,0.01176844596862793,1.7547389221191407,1.803419952392578,0.0,0.0,0.0,0.0027795702219009398,0.055591373443603515,0.003066156804561615,5.689225625246763e-05,0.4214786911010742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019369014051723418,37.261576890945435
9,0.647808837890625,0.503590202331543,0.011770747900009156,1.7560319519042968,1.8764210510253907,0.0,0.48607067108154295,1.2420631408691407,0.002625761032104492,0.05251523017883301,0.0029425257444381714,4.749853163957596e-05,0.39703319549560545,0.0,0.0,0.0,0.012500025033950805,0.016666654348373413,0.0,0.0,1.0,0.0001917868184760471,37.76059126853943
10,0.6684147644042969,0.5083612060546875,0.010877329111099242,1.7549099731445312,1.961778564453125,0.0,0.45685405731201173,1.1706385040283203,0.0024718001484870912,0.04943600654602051,0.002845788896083832,3.423113841563463e-05,0.3646586608886719,0.0,0.0,0.0,0.02500005006790161,0.033333308696746826,0.0,0.0,1.0,0.00018964561979789498,37.670605182647705
