batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aespa_smoke_recheck\checkpoints\aespa,12.107,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aespa_smoke_recheck\logs\aespa_train.log,1,0,train,ok
,,37.974,5,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aespa_smoke_recheck\infer_750\images,,,,infer,ok
