epoch,loss,swd,repulsive,color,oob,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec,attn_entropy,attn_max_prob,id_swd_ratio,health_warning_count
1,5.788026332855225,3.308619737625122,0.0,0.14456643164157867,0.002989569678902626,2.3318519592285156,0.20205079019069672,6.666666666666667e-07,0.5028315992094576,0.005940800067037344,17.703758399235085,5.9983209003694355,0.12044170079752803,18.267825099872425,23.828461800469086,42.60370969772339,10240,240.3546562647617,429.73818812754484,0.0851338654756546,0.8311266303062439,0.7064680457115173,0.0
2,5.505590915679932,3.2690765857696533,0.0,0.1375713348388672,0.0030928829219192266,2.095850706100464,0.20400391519069672,1.3333333333333334e-06,0.4750745017081499,0.005490399897098541,11.184339299798012,1.6824141994584352,0.0993840005248785,18.871079599950463,12.971627899678424,32.32108545303345,10240,316.8210428724615,789.4151820569766,0.08509029448032379,0.8311824798583984,0.6422404646873474,0.0
3,5.131773948669434,3.243518590927124,0.0,0.135872945189476,0.0031232289038598537,1.7492595911026,0.20283202826976776,2.0000000000000003e-06,0.4776502999011427,0.005516000324860215,11.189196999184787,1.70907999901101,0.10161830042488873,18.839619101490825,13.005411298945546,32.3258171081543,10240,316.7746685486544,787.3645642279871,0.0850825086236,0.8312765955924988,0.5397099256515503,0.0
4,4.742190837860107,3.22013783454895,0.0,0.1369846612215042,0.0031264431308954954,1.3819422721862793,0.20126953721046448,2.666666666666667e-06,0.5453609002288431,0.005461299791932106,11.190703900065273,1.6878574006259441,0.10018510068766773,18.865431799320504,12.984207701170817,32.39789152145386,10240,316.069951441719,788.6503540047834,0.08562778681516647,0.8302826881408691,0.4298475384712219,0.0
5,4.408447265625,3.2452950477600098,0.0,0.1412666141986847,0.002932824892923236,1.0189521312713623,0.20097656548023224,3.3333333333333333e-06,0.4747641000431031,0.005443299422040582,11.182054699398577,1.680803500348702,0.10068290075287223,18.871576899895445,12.968984399922192,32.31889367103577,10240,316.8425288386991,789.5760904810276,0.08628547936677933,0.8291646242141724,0.3147033154964447,0.0
6,4.028977870941162,3.1950502395629883,0.0,0.12585215270519257,0.002959764562547207,0.7051156759262085,0.19882813096046448,4.000000000000001e-06,0.48899660003371537,0.005528900772333145,11.192839599680156,1.7082474005874246,0.10102709964849055,18.852016399381682,13.007643000688404,32.352582931518555,10240,316.5125956612256,787.2294772740971,0.08752395212650299,0.8270086646080017,0.22117750346660614,0.0
7,3.8614425659179688,3.226686954498291,0.0,0.13108617067337036,0.0023235888220369816,0.5013461709022522,0.19921875,4.666666666666667e-06,0.4742328005377203,0.005275600356981158,11.190025300020352,1.684590000193566,0.10101910028606653,18.861935098655522,12.980910000856966,32.31974244117737,10240,316.8342080274007,788.8507045595403,0.08841339498758316,0.825532078742981,0.1557839959859848,0.0
8,3.7160801887512207,3.186249017715454,0.0,0.1291588842868805,0.0020359233021736145,0.3986358046531677,0.19453124701976776,5.333333333333334e-06,0.4948745002038777,0.00597219867631793,11.189126400044188,1.7306726002134383,0.10282259923405945,18.831316301599145,13.028593798168004,32.357049226760864,10240,316.4689069215563,785.9635628090487,0.08955879509449005,0.8236263394355774,0.12543123960494995,0.0
9,3.721532106399536,3.2104058265686035,0.0,0.1363755315542221,0.0019863212946802378,0.37276455760002136,0.20742188394069672,6e-06,0.4748033005744219,0.005411699879914522,11.187091100029647,1.6935758013278246,0.09995390102267265,18.85486139706336,12.98603250226006,32.31934976577759,10240,316.8380575169542,788.5395326261392,0.089866504073143,0.8230992555618286,0.11628667265176773,0.0
10,3.841346025466919,3.2080047130584717,0.0,0.12850980460643768,0.0021446216851472855,0.502687394618988,0.20058594644069672,6.666666666666667e-06,0.48446030053310096,0.005486200796440244,11.189700699178502,1.7153276009485126,0.10280430060811341,18.835389097454026,13.013318801531568,32.33704495429993,10240,316.6646802288706,786.8861246060329,0.08940281718969345,0.823794960975647,0.1572248935699463,0.0
