name,type,mac_b1,out_shape,share_pct
dec_conv,Conv2d,301989888,1x128x32x32,11.788482
hires_body.0.conv1,Conv2d,150994944,1x128x32x32,5.894241
hires_body.0.conv2,Conv2d,150994944,1x128x32x32,5.894241
hires_body.1.conv1,Conv2d,150994944,1x128x32x32,5.894241
hires_body.1.conv2,Conv2d,150994944,1x128x32x32,5.894241
hires_body.2.conv1,Conv2d,150994944,1x128x32x32,5.894241
hires_body.2.conv2,Conv2d,150994944,1x128x32x32,5.894241
hires_body.3.conv1,Conv2d,150994944,1x128x32x32,5.894241
hires_body.3.conv2,Conv2d,150994944,1x128x32x32,5.894241
body.0.conv1,Conv2d,150994944,1x256x16x16,5.894241
body.0.conv2,Conv2d,150994944,1x256x16x16,5.894241
body.1.conv1,Conv2d,150994944,1x256x16x16,5.894241
body.1.conv2,Conv2d,150994944,1x256x16x16,5.894241
style_texture_head.0,Conv2d,150994944,1x128x32x32,5.894241
style_force_head.0,Conv2d,150994944,1x128x32x32,5.894241
down,Conv2d,134217728,1x256x16x16,5.239325
enc_in,Conv2d,4718592,1x128x32x32,0.184195
dec_out,Conv2d,4718592,1x4x32x32,0.184195
style_texture_head.2,Conv2d,524288,1x4x32x32,0.020466
style_force_head.2,Conv2d,524288,1x4x32x32,0.020466
body.0.norm1.proj,Linear,131072,1x512,0.005117
body.0.norm2.proj,Linear,131072,1x512,0.005117
body.1.norm1.proj,Linear,131072,1x512,0.005117
body.1.norm2.proj,Linear,131072,1x512,0.005117
hires_body.0.norm1.proj,Linear,65536,1x256,0.002558
hires_body.0.norm2.proj,Linear,65536,1x256,0.002558
hires_body.1.norm1.proj,Linear,65536,1x256,0.002558
hires_body.1.norm2.proj,Linear,65536,1x256,0.002558
hires_body.2.norm1.proj,Linear,65536,1x256,0.002558
hires_body.2.norm2.proj,Linear,65536,1x256,0.002558
hires_body.3.norm1.proj,Linear,65536,1x256,0.002558
hires_body.3.norm2.proj,Linear,65536,1x256,0.002558
dec_norm.proj,Linear,65536,1x256,0.002558
style_delta_gate,Linear,256,1x1,0.000010
