reuse_dir_rel,grid_output_rel,cells_total,cells_with_clip,cells_with_lpips,cells_complete,reused_count,avg_clip_style,avg_content_lpips,clip_minus_lpips,is_complete_25,reuse_dir,grid_output_dir
Cycle-NCE\exp\ca_pram\ca_pram_final_10_dim96_tok128\full_eval\epoch_0080,Cycle-NCE\exp\ca_pram\ca_pram_final_10_dim96_tok128\full_eval\epoch_0080_grid5,25,25,25,25,25,0.6395903313159943,0.0,0.6395903313159943,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\ca_pram\ca_pram_final_10_dim96_tok128\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\exp\ca_pram\ca_pram_final_10_dim96_tok128\full_eval\epoch_0080_grid5
Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0080,Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0080_grid5,25,25,25,25,25,0.6433004629611969,0.26921915760000004,0.3740813053611969,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0080_grid5
Cycle-NCE\exp\depth\DepthSkip9_E08_ResOff_Adapt_Swin4\full_eval\epoch_0040,Cycle-NCE\exp\depth\DepthSkip9_E08_ResOff_Adapt_Swin4\full_eval\epoch_0040_grid5,25,25,25,25,25,0.636859313249588,0.2642428700000001,0.3726164432495879,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E08_ResOff_Adapt_Swin4\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E08_ResOff_Adapt_Swin4\full_eval\epoch_0040_grid5
Cycle-NCE\exp\depth\DepthSkip9_E08_ResOff_Adapt_Swin4\full_eval\epoch_0040_tokenized_distill_epochs200,Cycle-NCE\exp\depth\DepthSkip9_E08_ResOff_Adapt_Swin4\full_eval\epoch_0040_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6361452710628509,0.2638345188,0.37231075226285093,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E08_ResOff_Adapt_Swin4\full_eval\epoch_0040_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E08_ResOff_Adapt_Swin4\full_eval\epoch_0040_tokenized_distill_epochs200_grid5
Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0080_tokenized_distill_epochs200,Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0080_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6410354030132294,0.2687388036,0.37229659941322935,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0080_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0080_tokenized_distill_epochs200_grid5
Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0040_tokenized_distill_epochs200,Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0040_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6419648838043213,0.2703036896,0.37166119420432125,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0040_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0040_tokenized_distill_epochs200_grid5
Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0040,Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0040_grid5,25,25,25,25,25,0.6414813208580017,0.270602782,0.3708785388580017,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E05_ResOff_None_Swin4\full_eval\epoch_0040_grid5
Cycle-NCE\exp\depth\DepthSkip9_E03_ResOff_None_Conv1\full_eval\epoch_0040,Cycle-NCE\exp\depth\DepthSkip9_E03_ResOff_None_Conv1\full_eval\epoch_0040_grid5,25,25,25,25,25,0.6401265549659729,0.27069223919999996,0.36943431576597296,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E03_ResOff_None_Conv1\full_eval\epoch_0040,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E03_ResOff_None_Conv1\full_eval\epoch_0040_grid5
Cycle-NCE\exp\depth\DepthSkip9_E03_ResOff_None_Conv1\full_eval\epoch_0040_tokenized_distill_epochs200,Cycle-NCE\exp\depth\DepthSkip9_E03_ResOff_None_Conv1\full_eval\epoch_0040_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6393759202957153,0.26994214000000005,0.3694337802957153,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E03_ResOff_None_Conv1\full_eval\epoch_0040_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E03_ResOff_None_Conv1\full_eval\epoch_0040_tokenized_distill_epochs200_grid5
Cycle-NCE\exp\depth\DepthSkip9_E04_ResOff_None_Swin2\full_eval\epoch_0080,Cycle-NCE\exp\depth\DepthSkip9_E04_ResOff_None_Swin2\full_eval\epoch_0080_grid5,25,25,25,25,25,0.6387463438510895,0.269410912,0.3693354318510895,True,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E04_ResOff_None_Swin2\full_eval\epoch_0080,G:\GitHub\Latent_Style\Cycle-NCE\exp\depth\DepthSkip9_E04_ResOff_None_Swin2\full_eval\epoch_0080_grid5
