reuse_dir_rel,grid_output_rel,cells_total,cells_with_clip,cells_with_lpips,cells_complete,reused_count,avg_clip_style,avg_content_lpips,clip_minus_lpips,is_complete_25,reuse_dir,grid_output_dir
Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6513055908679962,0.32333821360000004,0.3279673772679962,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6490534627437592,0.3266816136000001,0.3223718491437591,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I02_Skip_ConcatFusion\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_I03_Gate_Hires_Only\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_I03_Gate_Hires_Only\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6544331312179565,0.3244734588,0.32995967241795654,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I03_Gate_Hires_Only\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I03_Gate_Hires_Only\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_I03_Gate_Hires_Only\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_I03_Gate_Hires_Only\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6576557850837708,0.327275158,0.33038062708377075,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I03_Gate_Hires_Only\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I03_Gate_Hires_Only\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_I04_Gain_Vanilla\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_I04_Gain_Vanilla\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6430834090709686,0.29621493919999997,0.34686846987096864,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I04_Gain_Vanilla\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I04_Gain_Vanilla\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_I04_Gain_Vanilla\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_I04_Gain_Vanilla\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6433242857456207,0.2968654544,0.3464588313456207,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I04_Gain_Vanilla\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_I04_Gain_Vanilla\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_L01_SWD_TurnOff\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_L01_SWD_TurnOff\full_eval\epoch_0060_grid5,25,25,25,25,25,0.6383542430400848,0.2828014404,0.3555528026400848,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L01_SWD_TurnOff\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L01_SWD_TurnOff\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_L01_SWD_TurnOff\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_L01_SWD_TurnOff\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6357940793037414,0.2832098596,0.35258421970374143,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L01_SWD_TurnOff\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L01_SWD_TurnOff\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
Cycle-NCE\Ablate43\Ablate43_L02_Color_TurnOff\full_eval\epoch_0060,Cycle-NCE\Ablate43\Ablate43_L02_Color_TurnOff\full_eval\epoch_0060_grid5,25,25,25,25,25,0.639442800283432,0.3318710412,0.30757175908343204,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L02_Color_TurnOff\full_eval\epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L02_Color_TurnOff\full_eval\epoch_0060_grid5
Cycle-NCE\Ablate43\Ablate43_L02_Color_TurnOff\full_eval\epoch_0060_tokenized_distill_epochs200,Cycle-NCE\Ablate43\Ablate43_L02_Color_TurnOff\full_eval\epoch_0060_tokenized_distill_epochs200_grid5,25,25,25,25,25,0.6404453444480896,0.3324295516,0.30801579284808966,True,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L02_Color_TurnOff\full_eval\epoch_0060_tokenized_distill_epochs200,G:\GitHub\Latent_Style\Cycle-NCE\Ablate43\Ablate43_L02_Color_TurnOff\full_eval\epoch_0060_tokenized_distill_epochs200_grid5
