probe_family,variant,semantic_self_topology_gate,semantic_self_topology_blend,forward_a_vs_b_mean_abs,semantic_attn_entropy,semantic_topology_attn_active,semantic_topology_attn_entropy,style_spatial_source_target_latent,style_spatial_map_abs
topology,gate0_blend0,0.0,0.0,0.0008126740576699376,2.945908308029175,0.0,0.0,1.0,1.8136751651763916
topology,gate0_blend1,0.0,1.0,0.0008126740576699376,2.945908308029175,0.0,0.0,1.0,1.8136751651763916
topology,gate1_blend0,1.0,0.0,0.0008126740576699376,2.945908308029175,0.0,0.0,1.0,1.8136751651763916
topology,gate1_blend05,1.0,0.5,0.00047853332944214344,3.9077577590942383,1.0,2.969656229019165,1.0,1.8136751651763916
topology,gate1_blend1,1.0,1.0,0.0007440653862431645,2.9667272567749023,1.0,2.9667272567749023,1.0,1.8136751651763916
