batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,n_epochs,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_full4g\cast\checkpoints\run511_cast,1759.798,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_full4g\cast\logs\cast_train.log,100,0,train,ok
,,75.469,750,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_full4g\cast\infer_750\images,,,,infer,ok
