"sigma","parent_clip_style","parent_lpips","gaussian_clip_style","gaussian_lpips","stylecov_clip_style","stylecov_lpips","stylecov_minus_gaussian_clip_style","stylecov_minus_gaussian_lpips","gaussian_minus_parent_clip_style","gaussian_minus_parent_lpips","stylecov_minus_parent_clip_style","stylecov_minus_parent_lpips"
"0.5","0.694798336625099","0.35175954505","0.712436854243279","0.5894863437","0.709467665553093","0.5801266267","-0.00296918869018559","-0.00935971699999993","0.0176385176181793","0.23772679865","0.0146693289279937","0.22836708165"
"0.8","0.694798336625099","0.35175954505","0.696612188816071","0.6649190563","0.701422635614872","0.6657924394","0.00481044679880138","0.000873383100000069","0.0018138521909713","0.31315951125","0.00662429898977268","0.31403289435"
"1.2","0.694798336625099","0.35175954505","0.683505711257458","0.70799665765","0.697290723323822","0.7226786377","0.0137850120663643","0.0146819800499998","-0.0112926253676415","0.3562371126","0.00249238669872276","0.37091909265"
