source_root,method,dataset,experiment,epoch,clip_style,clip_content,clip_dir,content_lpips,fid,artfid,delta_l2,nfe,style_strength,num_styles,projection_mode,variant,timing_sec,timestamp,relative_path
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round2_tok_pure_latent_spatial_seed42_b8a2,1,0.7111162161032358,0.0,0.0,0.4413161488266667,,,,,,,,,111.29716820700003,2026-06-12 09:40:04,exp/inmortal-exp/aaai2027_round2_tok_pure_latent_spatial_seed42_b8a2/full_eval/epoch_0001/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_xpred_kmanifold_seed42_b32,3,0.7111035179297128,0.0,0.0,0.7106238334666668,,,,,,,,,85.400445956,2026-06-07 08:13:18,SchrodingerBridge/exp/aaai2027_inmortal_xpred_kmanifold_seed42_b32/full_eval_fast_snapshot/epoch_0003/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_pc_seed42_b8a2,26,0.7111003001928329,0.0,0.0,0.4810192504133334,,,,,,,,,176.65570245400886,2026-06-11 09:37:08,exp/inmortal-exp/aaai2027_round1_solver_pc_seed42_b8a2/full_eval_fast_snapshot/epoch_0026/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_pc_seed42_b8a2,11,0.7109555518627166,0.0,0.0,0.4914364947333333,,,,,,,,,176.21208529599244,2026-06-11 08:11:08,exp/inmortal-exp/aaai2027_round1_solver_pc_seed42_b8a2/full_eval_fast_snapshot/epoch_0011/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_pc_seed42_b8a2,2,0.7109127799669903,0.0,0.0,0.5367959566,,,,,,,,,178.42224498100404,2026-06-11 07:20:03,exp/inmortal-exp/aaai2027_round1_solver_pc_seed42_b8a2/full_eval_fast_snapshot/epoch_0002/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clampreleaselatewide_reseed_from_e13_seed42_b8a2,7,0.7108896135489146,0.0,0.0,0.4803119028133333,,,,,,,,,98.51024278700004,2026-06-08 10:49:01,SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clampreleaselatewide_reseed_from_e13_seed42_b8a2/full_eval/epoch_0007/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_pc_seed42_b8a2,14,0.7108729355335237,0.0,0.0,0.49596512886666666,,,,,,,,,177.67611919100455,2026-06-11 08:30:13,exp/inmortal-exp/aaai2027_round1_solver_pc_seed42_b8a2/full_eval_fast_snapshot/epoch_0014/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_unsb_cycle_seed42_b8a2,23,0.7108126504421235,0.0,0.0,0.47490024276,,,,,,,,,115.18581623200043,2026-06-11 18:00:24,exp/inmortal-exp/aaai2027_round1_solver_unsb_cycle_seed42_b8a2/full_eval_fast_snapshot/epoch_0023/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round2_sde_i2sb_sigma_0p25_seed42_b8a2_from_tok_pure_latent_spatial_epoch_0002_c26clean,2,0.7107431990305583,0.0,0.0,0.6947155551733334,,,,,,,,,196.9721081509997,2026-06-12 19:52:22,exp/inmortal-exp/aaai2027_round2_sde_i2sb_sigma_0p25_seed42_b8a2_from_tok_pure_latent_spatial_epoch_0002_c26clean/full_eval/epoch_0001/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_tangent_rk_seed42_b8a2,3,0.7106966854333876,0.0,0.0,0.5189510534933334,,,,,,,,,189.1609295649978,2026-06-10 23:27:03,exp/inmortal-exp/aaai2027_round1_solver_tangent_rk_seed42_b8a2/full_eval_fast_snapshot/epoch_0003/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamphold4slowmid_reseed_from_e13_seed42_b8a2,1,0.710661397655805,0.0,0.0,0.40224384258400003,,,,,,,,,95.95699365199835,2026-06-09 16:32:56,SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamphold4slowmid_reseed_from_e13_seed42_b8a2/full_eval/epoch_0001/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_k_manifold_seed42_b16,6,0.7106324651241301,0.0,0.0,0.32608344249866666,,,,,,,,,126.46740527899965,2026-06-07 17:11:07,SchrodingerBridge/exp/aaai2027_inmortal_k_manifold_seed42_b16/full_eval_fast_snapshot/epoch_0006/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_tangent_rk_seed42_b8a2,24,0.7106112506389618,0.0,0.0,0.44575368450666664,,,,,,,,,114.15391986900067,2026-06-11 04:10:55,exp/inmortal-exp/aaai2027_round1_solver_tangent_rk_seed42_b8a2/full_eval_fast_snapshot/epoch_0024/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamphold4twostage_reseed_from_e13_seed42_b8a2,1,0.7106035147507985,0.0,0.0,0.4027932828866667,,,,,,,,,108.15371285399306,2026-06-09 18:42:12,SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamphold4twostage_reseed_from_e13_seed42_b8a2/full_eval/epoch_0001/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_unsb_cycle_seed42_b8a2,22,0.7105108594497044,0.0,0.0,0.4992086470133333,,,,,,,,,114.29491296200013,2026-06-11 17:32:16,exp/inmortal-exp/aaai2027_round1_solver_unsb_cycle_seed42_b8a2/full_eval_fast_snapshot/epoch_0022/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_k_manifold_seed42_b16,6,0.7105034151871998,0.0,0.0,0.32601493308,,,,,,,,,43.30306662799967,2026-06-08 06:37:18,SchrodingerBridge/exp/aaai2027_inmortal_k_manifold_seed42_b16/full_eval/epoch_0006/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_pc_seed42_b8a2,16,0.7103996985753379,0.0,0.0,0.49874028169333334,,,,,,,,,177.0166023040074,2026-06-11 08:39:51,exp/inmortal-exp/aaai2027_round1_solver_pc_seed42_b8a2/full_eval_fast_snapshot/epoch_0016/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamphold4mid_reseed_from_e13_seed42_b8a2,1,0.710396810968717,0.0,0.0,0.4041328479133333,,,,,,,,,109.08525482199911,2026-06-09 14:57:29,SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamphold4mid_reseed_from_e13_seed42_b8a2/full_eval/epoch_0001/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clampreleaselatewide_reseed_from_e13_seed42_b8a2,4,0.710336109558741,0.0,0.0,0.5151325600133333,,,,,,,,,87.5690637759999,2026-06-08 10:26:28,SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clampreleaselatewide_reseed_from_e13_seed42_b8a2/full_eval/epoch_0004/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_unsb_cycle_seed42_b8a2,11,0.710331551472346,0.0,0.0,0.4782956532666667,,,,,,,,,325.3696240270001,2026-06-11 13:07:31,exp/inmortal-exp/aaai2027_round1_solver_unsb_cycle_seed42_b8a2/full_eval_fast_snapshot/epoch_0011/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_unsb_cycle_seed42_b8a2,24,0.7101541123390197,0.0,0.0,0.5083283463333333,,,,,,,,,114.54868523200003,2026-06-11 18:02:37,exp/inmortal-exp/aaai2027_round1_solver_unsb_cycle_seed42_b8a2/full_eval_fast_snapshot/epoch_0024/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_k_spectral_seed42_b12,2,0.7101381069819133,0.0,0.0,0.35215781272,,,,,,,,,90.63391214500007,2026-06-07 20:24:35,SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_k_spectral_seed42_b12/full_eval_fast_snapshot/epoch_0002/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_unsb_cycle_seed42_b8a2,2,0.7100722051461537,0.0,0.0,0.5312108801066667,,,,,,,,,308.2506629239999,2026-06-11 11:48:56,exp/inmortal-exp/aaai2027_round1_solver_unsb_cycle_seed42_b8a2/full_eval_fast_snapshot/epoch_0002/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_tangent_rk_seed42_b8a2,14,0.7100698403120042,0.0,0.0,0.5044643311066666,,,,,,,,,180.13629636100086,2026-06-11 01:19:14,exp/inmortal-exp/aaai2027_round1_solver_tangent_rk_seed42_b8a2/full_eval_fast_snapshot/epoch_0014/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_tangent_rk_seed42_b8a2,9,0.7099456230401994,0.0,0.0,0.5120232608399999,,,,,,,,,182.0562895119947,2026-06-11 00:29:23,exp/inmortal-exp/aaai2027_round1_solver_tangent_rk_seed42_b8a2/full_eval_fast_snapshot/epoch_0009/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round1_solver_tangent_rk_seed42_b8a2,32,0.709880566040675,0.0,0.0,0.47012884563999996,,,,,,,,,114.10233866699855,2026-06-11 06:41:48,exp/inmortal-exp/aaai2027_round1_solver_tangent_rk_seed42_b8a2/full_eval_fast_snapshot/epoch_0032/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_round2_sde_i2sb_sigma_0p25_seed42_b8a2_from_tok_pure_latent_spatial_epoch_0002_c25clean,2,0.7098714660008748,0.0,0.0,0.6340440145466667,,,,,,,,,303.6960696449969,2026-06-12 23:13:30,exp/inmortal-exp/aaai2027_round2_sde_i2sb_sigma_0p25_seed42_b8a2_from_tok_pure_latent_spatial_epoch_0002_c25clean/full_eval/epoch_0010/summary.json
Latent_Style,LANCET/LBM,aaai2027_inmortal,aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamphold4wide_reseed_from_e13_seed42_b8a2,4,0.7098539712031683,0.0,0.0,0.5255003066066667,,,,,,,,,138.74423639800807,2026-06-09 13:02:50,SchrodingerBridge/exp/inmortal-exp/aaai2027_inmortal_xpred_kmanifold_pattn_anisostokes_queue_clamphold4wide_reseed_from_e13_seed42_b8a2/full_eval/epoch_0004/summary.json
