epoch,loss,swd,color,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,160.10247802734375,0.4225066006183624,1.4995238780975342,0.6249437928199768,0.20228174328804016,8.333333333333333e-05,0.48726320010609925,0.0040885997004806995,49.380905500031076,8.332739900215529,0.19170039950404316,0.02985020016785711,57.90943439945113,59.20808672904968,10080,170.24701450206427,174.0649015921927
2,107.18649291992188,0.2880745232105255,0.9773522615432739,0.7039689421653748,0.20396827161312103,0.00016666666666666666,0.4776718995999545,0.003979400033131242,43.4933055996662,2.5167891000164673,0.1589173999382183,0.030799899948760867,46.17299149965402,47.4673547744751,10080,212.35647210365255,218.30944178861643
3,98.13566589355469,0.2641001045703888,0.8918890357017517,0.7211838364601135,0.2033730298280716,0.00025,0.4857406000373885,0.004169499967247248,43.5249516996555,2.5213729003444314,0.16100830014329404,0.030868699541315436,46.211502400110476,47.50960850715637,10080,212.16760812671504,218.12751104097197
4,88.58081817626953,0.23714515566825867,0.807365894317627,0.7835041284561157,0.20079365372657776,0.0003333333333333333,0.47482050012331456,0.004013200174085796,43.516647300333716,2.4979392999084666,0.15835890010930598,0.030179199879057705,46.176958700525574,47.46613264083862,10080,212.36193974917245,218.29068617040107
5,87.28016662597656,0.23021888732910156,0.8096283078193665,0.7549631595611572,0.20029760897159576,0.0004166666666666667,0.4825279004871845,0.003946599666960537,43.510789900203235,2.5372137000085786,0.16070989973377436,0.030574000324122608,46.21266009961255,47.50225853919983,10080,212.2004365683324,218.12204660524426
6,85.1772232055664,0.22289589047431946,0.7968385219573975,0.7561176419258118,0.19831348955631256,0.0005,0.5115785002708435,0.004176100017502904,43.492632499779575,2.6970844997558743,0.17201659991405904,0.035166000365279615,46.36590969946701,47.69113111495972,10080,211.36005299815827,217.40110493541923
7,81.84467315673828,0.21828898787498474,0.7489890456199646,0.7374227046966553,0.19910714030265808,0.0004916274518201228,0.47704909974709153,0.004079900216311216,43.52256609965116,2.4963745006825775,0.15725379961077124,0.03139130014460534,46.18027430016082,47.47466039657593,10080,212.32379369957562,218.27501358009252
8,82.70388793945312,0.22053058445453644,0.7567650079727173,0.7595198154449463,0.19484125077724457,0.0004818557816083941,0.48584890039637685,0.00406889955047518,43.53159460017923,2.525884600239806,0.16145750018768013,0.030435899505391717,46.223005600157194,47.51965284347534,10080,212.12276178031945,218.07322715435276
9,83.83280944824219,0.22184127569198608,0.7744727730751038,0.740918755531311,0.20704366266727448,0.0004707452349610793,0.48081540036946535,0.00401540077291429,43.530871300026774,2.554467300302349,0.15809500019531697,0.031905899522826076,46.247449001297355,47.54768753051758,10080,211.99769165493788,217.95796779444487
10,85.37774658203125,0.2214493304491043,0.806709349155426,0.7524179220199585,0.19980159401893616,0.00045836431209289065,0.4776979001471773,0.004054199904203415,41.661153499851935,2.4826865004142746,0.1539214999647811,0.029612599755637348,44.301815700135194,45.55600380897522,10080,221.26611548869192,227.53017772969605
11,85.80520629882812,0.2192116528749466,0.8239676356315613,0.764500617980957,0.20099204778671265,0.0004447893455103852,0.4822466002078727,0.00395160005427897,41.471311100409366,2.491782699828036,0.15319279965478927,0.030982000287622213,44.12023819994647,45.374199628829956,10080,222.15267888924586,228.46658157915905
12,84.07611846923828,0.21958103775978088,0.7884148955345154,0.7391628623008728,0.20128969848155975,0.00043010402939667867,0.4836523997364566,0.003872200381010771,41.50246499979403,2.4695068998262286,0.14955890038982034,0.031024799798615277,44.12540300039109,45.38479018211365,10080,222.10083950046715,228.43983996952187
13,82.59941101074219,0.21413980424404144,0.7799387574195862,0.7744985222816467,0.20496028661727905,0.00041439890360897504,0.4877508998615667,0.004044200060889125,41.48220860026777,2.495775999617763,0.15488869964610785,0.030502300709486008,44.13691749959253,45.394033432006836,10080,222.05561475602875,228.3802442726785
14,81.88947296142578,0.21671181917190552,0.7546495199203491,0.8146266341209412,0.19861112534999847,0.00039777079547023984,0.4815037996741012,0.00402140012010932,41.47642749978695,2.497140200342983,0.15360720013268292,0.030780599685385823,44.131196300382726,45.38557267189026,10080,222.09701027399595,228.4098516475653
15,79.9100341796875,0.2114131599664688,0.7366946935653687,0.792650043964386,0.2035714089870453,0.0003803222227965555,0.4756862992653623,0.0038844002410769463,41.50465630018152,2.4706796002574265,0.15290569968055934,0.02983919985126704,44.132126000360586,45.38217353820801,10080,222.11364538354428,228.4050399003583
16,81.24900817871094,0.21295569837093353,0.7570450305938721,0.8056212067604065,0.20327381789684296,0.00036216076184069447,0.48062549997121096,0.003952099592424929,41.586830100393854,2.5188002998474985,0.1523983997758478,0.03029999998398125,44.261980899609625,45.515482664108276,10080,221.4631024433515,227.73494984018896
17,80.43672180175781,0.21295031905174255,0.7405759692192078,0.8178476095199585,0.2058531790971756,0.00034339838404874823,0.49065050040371716,0.004086800152435899,43.20881520048715,2.5297554000280797,0.15502339985687286,0.030900999787263572,45.89768080052454,47.162256956100464,10080,213.73022943712508,219.6189398721166
18,81.52604675292969,0.21452881395816803,0.7565369606018066,0.7934421300888062,0.19920633733272552,0.0003241507657189278,0.4815932997735217,0.00388219952583313,41.29633970011491,2.4885121998377144,0.15161859954241663,0.03062330069951713,43.94035269902088,45.19425320625305,10080,223.03720683242392,229.40189099175376
19,78.18412780761719,0.21034245193004608,0.7064225077629089,0.7945163249969482,0.20615078508853912,0.00030453657481871915,0.48065800010226667,0.004133999696932733,41.299839900573716,2.5299396999180317,0.15399670018814504,0.030946199782192707,43.987910300376825,45.23669743537903,10080,222.82793774676762,229.15387276111747
