epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,gram,gram_w,moment,push,nce,idt,w_cycle_eff,w_struct_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,6.551708370126704,0.39427224608258377,0.08849989240288093,2.5694315103433465,3.4201897667941226,0.0,0.0,0.01697028694694401,2.036434436517377,0.047194196507134425,0.1241635603815197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,102.7530505657196
2,6.9111396497295745,0.6049691518788697,0.050433648009133594,1.181309336616147,2.339582412473617,0.0,0.0,0.003689710279896615,0.4427652342986035,0.024513671014417884,0.16792095556694975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001999923018098721,93.13102149963379
3,6.94722048697933,0.6403081000492137,0.02619329895023056,1.109977981416128,2.085204179568957,0.0,0.0,0.001826419721617894,0.21917036656410463,0.021329491489356565,0.17753696746082717,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019996920845512174,93.12048149108887
4,6.942449956811885,0.6459751353468947,0.022462677971650195,1.1540386170469306,2.110434385397101,0.0,0.0,0.0015353024824552477,0.18423629832524124,0.020631785354306622,0.16734802138100388,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019993072358245745,93.1123104095459
5,6.887290954589844,0.645741996906137,0.02026414852689511,1.2063062940874407,2.2658817319459814,0.0,0.0,0.0013474079521162616,0.16168895459944202,0.018353434104312172,0.15041856259428044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019987685326908672,91.95890951156616
6,6.839811063581897,0.6458047131697336,0.018422149221903536,1.2943644485165995,2.3018722931543985,0.0,0.0,0.001220976565188418,0.1465171875171764,0.016451144120305457,0.12865587672398937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001998076060217565,93.11820721626282
7,6.7881123096712175,0.6450818148992394,0.017051445760874338,1.3979360916281258,2.282051852954331,0.0,0.0,0.0011144039547821927,0.1337284749794391,0.014600822426659126,0.10615829634730534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019972299277540986,93.26218175888062
8,6.758084125416254,0.6461331543102059,0.016363714010484757,1.5392680885971233,2.298425841075118,0.0,0.0,0.0010362196474596457,0.1243463578403637,0.012965740656019539,0.0810198876005347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019962302689145934,93.25716185569763
9,6.7357587814331055,0.6476473164173865,0.016436549053797798,1.699466783513305,2.3746823277524722,0.0,0.0,0.0009654417752303303,0.11585301345074049,0.011487286407700789,0.054711834177054386,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001995077241556768,91.81538939476013
10,6.680512751302412,0.6460095631178989,0.01599011259774367,1.8696239648326751,2.352701872907659,0.0,0.0,0.00089981385459122,0.10797766247583974,0.010088653554038336,0.028301717367984595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019937710277570083,93.09041285514832
