epoch,loss,gram,moment,code,push,cycle,nce,idt,w_cycle_eff,w_idt_eff,lr,epoch_time_sec
1,10.78464150428772,0.012048498960211873,0.29450775496661663,0.011380842261132784,0.24930572509765625,0.0,0.0,0.0,0.0,0.0,0.0002,6.879233121871948
2,8.876130551099777,0.011608707820414566,0.2402958832681179,0.002346810608287342,0.24971771240234375,0.0,0.0,0.0,0.0,0.0,0.0001999531232347445,0.6487929821014404
3,8.092400938272476,0.01019883988192305,0.21668486390262842,0.0012471869304135907,0.24969482421875,0.0,0.0,0.0,0.0,0.0,0.00019981253920068581,0.6487317085266113
4,7.893017590045929,0.010100243234774098,0.21069885417819023,0.0007314686263271142,0.249420166015625,0.0,0.0,0.0,0.0,0.0,0.0001995783866372926,0.6495320796966553
5,7.045636981725693,0.009074745088582858,0.18366640014573932,0.0005942538173258072,0.249114990234375,0.0,0.0,0.0,0.0,0.0,0.0001992508966248754,0.6471366882324219
6,7.029784172773361,0.009062759403605014,0.1832824293524027,0.0005813128445879556,0.2483978271484375,0.0,0.0,0.0,0.0,0.0,0.0001988303923565381,0.6470773220062256
7,6.542673826217651,0.008448915294138715,0.16799430502578616,0.0007510786672355607,0.24536895751953125,0.0,0.0,0.0,0.0,0.0,0.00019831728881922545,0.6471443176269531
8,6.536517858505249,0.009319741424405947,0.17172868410125375,0.013836694823112339,0.13799285888671875,0.0,0.0,0.0,0.0,0.0,0.00019771209238418101,0.644639253616333
9,5.046303495764732,0.007491878612199798,0.14042114419862628,0.010578517234534957,0.05831146240234375,0.0,0.0,0.0,0.0,0.0,0.00019701540030721995,0.6425259113311768
10,5.655682861804962,0.008458337193587795,0.1673900755122304,0.004728332525701262,0.04767608642578125,0.0,0.0,0.0,0.0,0.0,0.0001962279001393096,0.6437671184539795
