epoch,loss,swd,color,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,48.6437873840332,0.3257424533367157,0.24185435473918915,0.02288082242012024,0.20205076038837433,2.0846905537459287e-05,0.6546962998691015,0.01061839988688007,69.40110779990209,9.174943899794016,0.34952560014789924,9.635083700180985,78.93619569973089,89.23152303695679,10240,114.75765123675997,129.72502549973927
2,43.703285217285156,0.2744283974170685,0.20759209990501404,0.2503598630428314,0.20400388538837433,4.1693811074918574e-05,0.6316903000115417,0.010425199929159135,70.2777364999638,7.322273000027053,0.2946004998520948,9.634129900368862,77.9050351997721,88.17331981658936,10240,116.13490363411945,131.44208167984957
3,40.33486557006836,0.23682381212711334,0.17675389349460602,0.3352469801902771,0.20283202826976776,6.254071661237784e-05,0.6272999999346212,0.010319900116883218,70.20848789997399,7.309662199986633,0.31808010017266497,9.635228499770164,77.84655010025017,88.11096024513245,10240,116.21709684597035,131.5408324044291
4,39.5965576171875,0.2302379012107849,0.17719759047031403,0.32625722885131836,0.20126952230930328,8.338762214983715e-05,0.6187393997679465,0.01034470001468435,70.2616702998057,7.305645000189543,0.3120340001187287,9.638934099581093,77.88969400012866,88.15011692047119,10240,116.16547269288935,131.4679705890626
5,39.19434356689453,0.22761712968349457,0.17051991820335388,0.32060179114341736,0.20097656548023224,0.00010423452768729642,0.6720014999154955,0.00989140005549416,70.16987549996702,7.3156517000170425,0.2746671999921091,9.653498000174295,77.77008580003167,88.09780788421631,10240,116.23444721187676,131.6701646225499
6,39.85546875,0.23369765281677246,0.17169107496738434,0.3209593892097473,0.19882811605930328,0.0001250814332247557,0.6155471000238322,0.00999449979281053,70.199219800008,7.309729000146035,0.33092099998611957,9.645688200136647,77.84986429993296,88.1145384311676,10240,116.21237746140129,131.5352324899148
7,39.581790924072266,0.23281913995742798,0.17409178614616394,0.31663671135902405,0.19921875,0.00014592833876221498,0.6140056001604535,0.009823699831031263,70.21282789995894,7.274826799985021,0.3730631000944413,9.635151800292078,77.87054149986943,88.1223874092102,10240,116.20202653440317,131.50030554259303
8,39.1591911315918,0.22942714393138885,0.16824615001678467,0.32966548204421997,0.19453123211860657,0.0001667752442996743,0.6148540003341623,0.01043210009811446,70.22780479997164,7.327242899802513,0.2900374000892043,9.63709410012234,77.85551719996147,88.10946249961853,10240,116.219072384471,131.52568203612253
9,38.92681884765625,0.23025943338871002,0.16974304616451263,0.32448822259902954,0.20742186903953552,0.00018762214983713356,0.6185953000676818,0.010106600180733949,70.23893659992609,7.273279600136448,0.3767522000707686,9.635990799870342,77.89907500031404,88.15602517127991,10240,116.15768723810451,131.4521385518213
10,39.47542953491211,0.2361689656972885,0.17015448212623596,0.2909897267818451,0.20058593153953552,0.0002,0.6117291999980807,0.010316499974578619,70.18907699995907,7.263810899981763,0.3842603001394309,9.621792499849107,77.84746470005484,88.08338022232056,10240,116.25348589205433,131.53928698197907
