epoch,loss,code,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,15.458133201599122,1.1106344846077263,0.0,0.03302732363343239,0.07321661479771137,0.0049994983524084095,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,20.843089818954468
2,16.77736653327942,1.2712443602085113,0.0,0.03326680922880769,0.07167947199195623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001997071467046472,15.423417806625366
3,15.641563749313354,1.1334473872184754,0.0,0.03312170177698135,0.07021530505269766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019883039235653812,13.569917678833008
4,13.664114742279052,0.8940286761522294,0.0,0.03280412867665291,0.06977523602545262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001973751424377793,15.637773752212524
5,14.673095474243164,1.0209939485788346,0.0,0.032791931666433814,0.06866924226284027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001953503690480396,13.464235544204712
6,14.231556358337402,0.9642771381139755,0.0,0.03290644846856594,0.06627849671989679,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019276855558857225,15.749647855758667
7,12.113989925384521,0.6559142899513245,0.22427765876054764,0.03238517249003053,0.06533342991024256,0.0,2.4886768436431885,0.0,0.1666666716337204,0.1666666716337204,0.0,1.0,0.00018964561979789495,22.039073705673218
8,16.476505346298218,1.1752655777335166,0.21858226656913757,0.03248835442587733,0.06644029285758733,0.0,1.6889142203330993,0.0,0.3333333432674408,0.3333333432674408,0.0,1.0,0.00018600081561363877,24.11074185371399
9,15.57170783996582,1.0443929886817933,0.21053788378834726,0.03230029275640845,0.06525199722498655,0.0,1.426462970972061,0.0,0.5,0.5,0.0,1.0,0.00018185661446562003,24.357564687728882
10,16.782919158935545,1.1787310940027238,0.19846118196845056,0.03221204075962305,0.0649083548039198,0.0,1.2612627565860748,0.0,0.6666666865348816,0.6666666865348816,0.0,1.0,0.00017723856673200296,22.016462087631226
11,15.800589561462402,1.0445566180348396,0.18989119037985802,0.03199868751689792,0.06446257814764976,0.0,1.137951465845108,0.0,0.8333333134651184,0.8333333134651184,0.0,1.0,0.00017217514421272203,23.975403308868408
12,15.132972030639648,0.9429418915510177,0.18015383541584015,0.03203253174200654,0.06369634706526994,0.0,1.0683166372776032,0.0,1.0,1.0,0.0,1.0,0.0001666975645913675,24.335954427719116
13,15.209520559310914,0.9439893621206283,0.17077461048960685,0.031988486032933,0.06412299647927285,0.0,0.9634835994243622,0.0,1.1666666269302368,1.1666666269302368,0.0,1.0,0.00016083959896778498,21.867092609405518
14,16.8850652885437,1.1416295790672302,0.16306774869561194,0.0320218831859529,0.0639649909362197,0.0,0.8959403985738754,0.0,1.3333333730697632,1.3333333730697632,0.0,1.0,0.00015463736364801516,24.53012752532959
15,15.324970741271972,0.9380173987150192,0.15726772502064704,0.03192148316651583,0.06422179691493511,0.0,0.8419740581512452,0.0,1.5,1.5,0.0,1.0,0.00014812909747525697,24.015769243240356
16,15.404484100341797,0.936336234509945,0.15001331135630608,0.03209347125142813,0.06363550260663033,0.0,0.7868823289871216,0.0,1.6666666269302368,1.6666666269302368,0.0,1.0,0.00014135492607468357,22.193585872650146
17,19.303264923095703,1.4130582243204117,0.1448327684402466,0.03225145911797881,0.06404913634061814,0.0,0.7359809845685958,0.0,1.8333333730697632,1.8333333730697632,0.0,1.0,0.00013435661446562004,24.06062912940979
18,16.54382179260254,1.0589976146817208,0.14265356034040452,0.03217742413282394,0.06324113335460424,0.0,0.7099293267726898,0.0,2.0,2.0,0.0,1.0,0.00012717730956631105,24.07196855545044
19,14.945738048553467,0.8675705653429031,0.13572781935334205,0.03218747653067112,0.06403131980448962,0.0,0.6809860080480575,0.0,2.0,2.0,0.0,1.0,0.00011986127417882196,22.172809839248657
20,14.256313400268555,0.7998231422901153,0.13370327599346638,0.0320015686750412,0.06331251945346594,0.0,0.6283868086338044,0.0,2.0,2.0,0.0,1.0,0.0001124536140941453,24.049933195114136
21,13.502667322158814,0.7128713113069535,0.13055692806839944,0.03194350633770227,0.06397047970443964,0.0,0.6067174601554871,0.0,2.0,2.0,0.0,1.0,0.00010500000000000002,22.204575061798096
22,14.661089582443237,0.8604528167843819,0.12968197025358677,0.03196902129799128,0.06352023091167211,0.0,0.5949540758132934,0.0,2.0,2.0,0.0,1.0,9.754638590585476e-05,22.201420068740845
23,13.199061784744263,0.6800377355515956,0.12899218328297138,0.0320518859475851,0.06364769764244556,0.0,0.5781631875038147,0.0,2.0,2.0,0.0,1.0,9.013872582117811e-05,27.49917507171631
24,14.661822204589845,0.8670900969207287,0.12787550792098046,0.03191858246922493,0.06331041108816862,0.0,0.5757890099287033,0.0,2.0,2.0,0.0,1.0,8.282269043368901e-05,22.53296661376953
25,12.543272542953492,0.6028436931967736,0.12669062979519366,0.031980486791580914,0.06341889910399914,0.0,0.5685868269205093,0.0,2.0,2.0,0.0,1.0,7.564338553438001e-05,24.090293169021606
26,11.781590585708619,0.5142591764032841,0.1266918621212244,0.03179352149367332,0.06303485620766879,0.0,0.5606124705076218,0.0,2.0,2.0,0.0,1.0,6.864507392531649e-05,21.958850383758545
27,11.728150482177734,0.5077636265754699,0.12639170743525027,0.03182679371908307,0.06310338091105222,0.0,0.5568768227100372,0.0,2.0,2.0,0.0,1.0,6.187090252474307e-05,23.432690620422363
28,11.30710150718689,0.4550759792327881,0.12489451713860035,0.031909941621124746,0.06328939229249954,0.0,0.5503291130065918,0.0,2.0,2.0,0.0,1.0,5.536263635198487e-05,25.199822425842285
29,10.915261621475219,0.41156293094158175,0.12394466362893582,0.03177466692402959,0.06320333447307348,0.0,0.542434413433075,0.0,2.0,2.0,0.0,1.0,4.916040103221507e-05,22.32236361503601
30,10.865779247283935,0.406333604902029,0.12391969591379165,0.031782661359757186,0.0626560803130269,0.0,0.5389704990386963,0.0,2.0,2.0,0.0,1.0,4.330243540863257e-05,23.81454062461853
31,11.465070753097534,0.48330765202641485,0.12277030140161514,0.03174305442720651,0.06321732640266418,0.0,0.5345096373558045,0.0,2.0,2.0,0.0,1.0,3.7824855787278e-05,22.941479682922363
32,11.028759689331055,0.4302152839303017,0.12296245686709881,0.03174018831923604,0.06217657975852489,0.0,0.5308852154016495,0.0,2.0,2.0,0.0,1.0,3.276143326799707e-05,24.30524778366089
33,10.588449440002442,0.37735451802611353,0.12259158663451672,0.03163742797449231,0.06268717352300883,0.0,0.5312850385904312,0.0,2.0,2.0,0.0,1.0,2.8143385534380006e-05,23.68620204925537
34,10.185819416046142,0.3253022763133049,0.12169085420668126,0.0317330576851964,0.0626625695452094,0.0,0.5300440818071366,0.0,2.0,2.0,0.0,1.0,2.3999184386361246e-05,22.236828804016113
35,9.844411687850952,0.28838694617152216,0.12148468524217605,0.03156073469668627,0.06252402242273092,0.0,0.5238555109500885,0.0,2.0,2.0,0.0,1.0,2.0354380202105065e-05,23.744568347930908
36,9.57864733695984,0.2536785091459751,0.12050230167806149,0.031618422772735355,0.06265105225145817,0.0,0.5250550466775894,0.0,2.0,2.0,0.0,1.0,1.723144441142776e-05,24.23297429084778
37,9.155803461074829,0.20166087068617344,0.119866361618042,0.03162629373371601,0.06291173178702593,0.0,0.5210705333948136,0.0,2.0,2.0,0.0,1.0,1.4649630951960416e-05,22.21841526031494
38,9.362161760330201,0.22847696974873544,0.1186031586676836,0.03165242901071906,0.06257845103740692,0.0,0.5164321660995483,0.0,2.0,2.0,0.0,1.0,1.2624857562220728e-05,23.610634088516235
39,9.027785959243774,0.1936071989685297,0.11800168044865131,0.03144063804298639,0.062433846704661844,0.0,0.5097341853380203,0.0,2.0,2.0,0.0,1.0,1.1169607643461924e-05,23.968172311782837
40,9.056237292289733,0.19540324710309506,0.1185297627747059,0.03151762219145894,0.06248220518231392,0.0,0.5088373446464538,0.0,2.0,2.0,0.0,1.0,1.0292853295352844e-05,23.914620637893677
