epoch,loss_total,loss_style_swd,loss_mse,loss_identity,loss_style_cls,style_cls_transfer_acc,style_cls_identity_acc,style_cls_transfer_pass_rate,style_cls_identity_pass_rate,style_cls_conf_mean,style_cls_agree_mean,style_cls_weight_mean,loss_velocity_reg,learning_rate,epoch_time
1,1.109518,0.000000,4.188825,0.605387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001287,1.09e-05,0.00
2,0.910911,0.000000,2.452787,0.526762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025082,2.08e-05,0.00
3,0.943684,0.000000,2.172208,0.516143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031654,3.07e-05,0.00
4,0.938095,0.000000,2.104443,0.507311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032968,4.06e-05,0.00
5,0.935380,0.000000,2.060643,0.502827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033818,5.05e-05,0.00
6,0.929952,0.000000,2.015595,0.497159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034699,6.04e-05,0.00
7,0.929059,0.000000,1.971084,0.495372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035597,7.03e-05,0.00
8,0.946093,0.000000,1.923921,0.489771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036698,8.02e-05,0.00
9,0.984836,0.000000,1.874735,0.485043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038028,9.01e-05,0.00
10,1.022660,0.000000,1.832715,0.478747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039228,1.00e-04,0.00
11,1.059768,0.000000,1.795950,0.472366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040300,9.98e-05,0.00
12,1.104395,0.000000,1.767169,0.473199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041182,9.94e-05,0.00
13,1.147734,0.000000,1.743358,0.472285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041968,9.86e-05,0.00
14,1.183521,0.000000,1.722372,0.465407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042624,9.76e-05,0.00
15,1.233144,0.000000,1.715134,0.470532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043028,9.62e-05,0.00
16,1.274090,0.000000,1.699596,0.468898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043528,9.46e-05,0.00
17,1.315926,0.000000,1.689431,0.467891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043877,9.27e-05,0.00
18,1.358758,0.000000,1.679838,0.467014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044210,9.05e-05,0.00
19,1.401272,0.000000,1.676595,0.466228,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044432,8.81e-05,0.00
20,1.439425,0.000000,1.665382,0.463186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044789,8.55e-05,0.00
21,1.488495,0.000000,1.665160,0.467636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044879,8.26e-05,0.00
22,1.525774,0.000000,1.658954,0.462569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045124,7.96e-05,0.00
23,1.570515,0.000000,1.654633,0.464540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045322,7.64e-05,0.00
24,1.615762,0.000000,1.651832,0.466347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045470,7.30e-05,0.00
25,1.657115,0.000000,1.648868,0.465331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045604,6.94e-05,0.00
26,1.697651,0.000000,1.645175,0.462956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045743,6.58e-05,0.00
27,1.737065,0.000000,1.637957,0.460379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045946,6.21e-05,0.00
28,1.787598,0.000000,1.637303,0.467326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046032,5.82e-05,0.00
29,1.831353,0.000000,1.633774,0.467780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046164,5.44e-05,0.00
30,1.870911,0.000000,1.630123,0.464717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046334,5.05e-05,0.00
31,1.916467,0.000000,1.631263,0.468105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046352,4.66e-05,0.00
32,1.955155,0.000000,1.623474,0.464179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046522,4.28e-05,0.00
33,2.001832,0.000000,1.624958,0.467063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046581,3.89e-05,0.00
34,2.038927,0.000000,1.618967,0.462210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046740,3.52e-05,0.00
35,2.080413,0.000000,1.616178,0.461890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046812,3.16e-05,0.00
36,2.124981,0.000000,1.615230,0.461761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046886,2.80e-05,0.00
37,2.166983,0.000000,1.613386,0.461155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046970,2.46e-05,0.00
38,2.209341,0.000000,1.610347,0.461557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047071,2.14e-05,0.00
39,2.253828,0.000000,1.604707,0.464444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047194,1.84e-05,0.00
40,2.289679,0.000000,1.604507,0.456532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047236,1.55e-05,0.00
