epoch,loss,flow,kinetic_energy,ot_cost,terminal_swd,color,repulsive,plan_entropy,bridge_sigma,identity_ratio,t_mean,velocity_abs,endpoint_abs,lr,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,7.520143508911133,0.4169462323188782,0.0,0.0,2.933590888977051,4.486554145812988,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.48828125,0.44001471996307373,0.0003,3.137589799996931,80.25387169996975,8.96414840000216,0.2272713998972904,89.4452914998692,105.36668348312378,10240,97.18441979470774
2,6.595643520355225,0.6236060261726379,0.0,0.0,2.6560113430023193,3.839632511138916,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.63671875,0.3043360710144043,0.00029997397746507875,0.10372990000178106,18.748447300167754,3.4072972002031747,0.20300390000920743,22.358748400380136,35.75233268737793,10240,286.4148778637638
3,6.372023582458496,0.6710724234580994,0.0,0.0,2.5708844661712646,3.7011406421661377,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66015625,0.28333035111427307,0.00029989591989249757,0.10007029995904304,18.775470299995504,3.4532880000479054,0.1993245001649484,22.428082800208358,35.80049991607666,10240,286.02952539781717
4,6.275303363800049,0.6779859662055969,0.0,0.0,2.52422833442688,3.651073932647705,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.65625,0.27532637119293213,0.00029976585737493663,0.10617249991628341,18.783611700113397,3.4034855999343563,0.19627989994478412,22.383377199992537,35.83244466781616,10240,285.77452905961843
5,6.218296051025391,0.6827662587165833,0.0,0.0,2.4944968223571777,3.623798370361328,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66015625,0.2722547948360443,0.00029958384005397226,0.09919150010682642,18.820186000026297,3.4401583997532725,0.20579020021250471,22.466134599992074,35.83924341201782,10240,285.72031731468593
6,6.182070732116699,0.6862965822219849,0.0,0.0,2.4747090339660645,3.607363224029541,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.6640625,0.27038952708244324,0.0002993499381007466,0.09911579985055141,18.82080179991317,3.4862411999783944,0.19982679997337982,22.506869799864944,35.871865034103394,10240,285.46048526511873
7,6.155833721160889,0.6860539317131042,0.0,0.0,2.461585283279419,3.594247817993164,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66015625,0.2689312994480133,0.00029906424168891506,0.098881699872436,18.844951700040838,3.495677999977488,0.1987305000948254,22.53936020011315,35.89578557014465,10240,285.2702577016964
8,6.13683557510376,0.6899112462997437,0.0,0.0,2.4476513862609863,3.589184045791626,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66796875,0.2686796188354492,0.0002987268609598829,0.10876100001041777,18.837218699918594,3.470159500022419,0.19788590018288232,22.505264100123895,35.9045991897583,10240,285.2002314767779
9,6.103472709655762,0.6892103552818298,0.0,0.0,2.4275782108306885,3.5758934020996094,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.6640625,0.26702001690864563,0.0002983379259803436,0.1026937999704387,18.794421700004023,3.4008043000358157,0.1964837999548763,22.391709799994715,35.83190703392029,10240,285.7788169160603
10,6.095815658569336,0.6900965571403503,0.0,0.0,2.420909881591797,3.5749049186706543,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.671875,0.2664128839969635,0.00029789758669213534,0.10139180009718984,18.816884599888,3.4453657001722604,0.19830109985196032,22.46055139991222,35.858667612075806,10240,285.5655461261914
11,6.070026397705078,0.694503664970398,0.0,0.0,2.404031991958618,3.565995454788208,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66796875,0.26602867245674133,0.0002974060128544361,0.10884329999680631,18.792539599875454,3.4226395999721717,0.20047539996448904,22.415654599812115,35.8249773979187,10240,285.83409519736097
12,6.075229644775391,0.6936760544776917,0.0,0.0,2.4012644290924072,3.5739657878875732,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66796875,0.26634740829467773,0.0002968633939783178,0.11196050001308322,18.79735080007231,3.4176000999868847,0.20155590007198043,22.416506800131174,35.83970355987549,10240,285.7166489363556
13,6.036541938781738,0.693662166595459,0.0,0.0,2.3868300914764404,3.549713134765625,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66796875,0.26629695296287537,0.0002962699392536863,0.10166149996803142,18.804257200012216,3.433627900085412,0.19779160001780838,22.435676700115437,35.83792281150818,10240,285.73084589355045
14,6.014750957489014,0.6957361102104187,0.0,0.0,2.3779070377349854,3.5368432998657227,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66796875,0.26577168703079224,0.00029562587746863507,0.11651100005838089,18.803869600058533,3.4523239000991452,0.20165600001928397,22.457849500176962,35.85467076301575,10240,285.59737914432634
15,6.001179218292236,0.6955893635749817,0.0,0.0,2.3698647022247314,3.531313419342041,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66796875,0.2655995488166809,0.0002949314569212424,0.10021019997657277,18.811922599968966,3.4459734999691136,0.19899259999510832,22.456888699933188,35.850929737091064,10240,285.62718108272054
16,5.979249954223633,0.6970906853675842,0.0,0.0,2.35894513130188,3.520305633544922,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66796875,0.26496416330337524,0.0002941869453238482,0.0989012001955416,18.812429200072074,3.447696799848927,0.198991900018882,22.459117899939884,35.857261180877686,10240,285.5767468782833
17,5.958643436431885,0.6983225345611572,0.0,0.0,2.3492937088012695,3.509350299835205,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66796875,0.2660374343395233,0.0002933926296998458,0.10193259999505244,18.799236500053667,3.442420800012769,0.2010296000225935,22.44268690008903,35.845099210739136,10240,285.6736409012954
18,5.938729763031006,0.700199544429779,0.0,0.0,2.3413689136505127,3.4973623752593994,0.09999994188547134,0.0,0.0,0.2036132514476776,1.0,0.66796875,0.26671844720840454,0.0002925488162730286,0.10462420000112616,18.7892259999644,3.4574730998720042,0.19867990000057034,22.445378999836976,35.837368965148926,10240,285.735261702894
