index,name,config_path,run_dir,eval_dir,batch_size,eval_batch_size,num_epochs,save_interval,skip_routing_mode,w_kinetic,w_cycle,terminal_swd_weight,w_color,swd_use_high_freq,w_low_freq
0,S-none_K-1_C-0_W-10_Col-0,screening_grid_3epoch_108/S-none_K-1_C-0_W-10_Col-0.json,./exp/grid_search_3epoch/S-none_K-1_C-0_W-10_Col-0,./exp/grid_search_3epoch/S-none_K-1_C-0_W-10_Col-0/full_eval,32,6,3,1,none,1.0,0.0,10.0,0.0,False,0.0
1,S-none_K-1_C-0_W-10_Col-15,screening_grid_3epoch_108/S-none_K-1_C-0_W-10_Col-15.json,./exp/grid_search_3epoch/S-none_K-1_C-0_W-10_Col-15,./exp/grid_search_3epoch/S-none_K-1_C-0_W-10_Col-15/full_eval,32,6,3,1,none,1.0,0.0,10.0,15.0,False,0.0
2,S-none_K-1_C-0_W-20_Col-0,screening_grid_3epoch_108/S-none_K-1_C-0_W-20_Col-0.json,./exp/grid_search_3epoch/S-none_K-1_C-0_W-20_Col-0,./exp/grid_search_3epoch/S-none_K-1_C-0_W-20_Col-0/full_eval,32,6,3,1,none,1.0,0.0,20.0,0.0,False,0.0
3,S-none_K-1_C-0_W-20_Col-15,screening_grid_3epoch_108/S-none_K-1_C-0_W-20_Col-15.json,./exp/grid_search_3epoch/S-none_K-1_C-0_W-20_Col-15,./exp/grid_search_3epoch/S-none_K-1_C-0_W-20_Col-15/full_eval,32,6,3,1,none,1.0,0.0,20.0,15.0,False,0.0
4,S-none_K-1_C-2_W-10_Col-0,screening_grid_3epoch_108/S-none_K-1_C-2_W-10_Col-0.json,./exp/grid_search_3epoch/S-none_K-1_C-2_W-10_Col-0,./exp/grid_search_3epoch/S-none_K-1_C-2_W-10_Col-0/full_eval,32,6,3,1,none,1.0,2.0,10.0,0.0,False,0.0
5,S-none_K-1_C-2_W-10_Col-15,screening_grid_3epoch_108/S-none_K-1_C-2_W-10_Col-15.json,./exp/grid_search_3epoch/S-none_K-1_C-2_W-10_Col-15,./exp/grid_search_3epoch/S-none_K-1_C-2_W-10_Col-15/full_eval,32,6,3,1,none,1.0,2.0,10.0,15.0,False,0.0
6,S-none_K-1_C-2_W-20_Col-0,screening_grid_3epoch_108/S-none_K-1_C-2_W-20_Col-0.json,./exp/grid_search_3epoch/S-none_K-1_C-2_W-20_Col-0,./exp/grid_search_3epoch/S-none_K-1_C-2_W-20_Col-0/full_eval,32,6,3,1,none,1.0,2.0,20.0,0.0,False,0.0
7,S-none_K-1_C-2_W-20_Col-15,screening_grid_3epoch_108/S-none_K-1_C-2_W-20_Col-15.json,./exp/grid_search_3epoch/S-none_K-1_C-2_W-20_Col-15,./exp/grid_search_3epoch/S-none_K-1_C-2_W-20_Col-15/full_eval,32,6,3,1,none,1.0,2.0,20.0,15.0,False,0.0
8,S-none_K-1_C-5_W-10_Col-0,screening_grid_3epoch_108/S-none_K-1_C-5_W-10_Col-0.json,./exp/grid_search_3epoch/S-none_K-1_C-5_W-10_Col-0,./exp/grid_search_3epoch/S-none_K-1_C-5_W-10_Col-0/full_eval,32,6,3,1,none,1.0,5.0,10.0,0.0,False,0.0
9,S-none_K-1_C-5_W-10_Col-15,screening_grid_3epoch_108/S-none_K-1_C-5_W-10_Col-15.json,./exp/grid_search_3epoch/S-none_K-1_C-5_W-10_Col-15,./exp/grid_search_3epoch/S-none_K-1_C-5_W-10_Col-15/full_eval,32,6,3,1,none,1.0,5.0,10.0,15.0,False,0.0
