mode,snr,silhouette,mean_intra,mean_inter,median_intra,median_inter,num_intra_pairs,num_inter_pairs,elapsed_ms
pixel_gram,3.3927829468824493,0.29145255190603414,0.02597231666368316,0.0881184330675751,0.02666343003511429,0.08462850004434586,5,40,2.587400000038542
pixel_swd_patch_3_25,2.0250012091855365,0.3102438637188121,0.05502355322241783,0.11142276180908084,0.06926801055669785,0.10561439394950867,5,40,11.112099999991187
latent_swd_patch_3_25,1.645176864682548,0.20515472035554455,0.14333919771015644,0.23581833187490703,0.1216222494840622,0.22614673525094986,5,40,46.513200000163124
latent_tree_swd_patch_3_25,1.4202898550724639,0.07846225607722661,0.8625,1.225,0.8125,1.1875,5,40,21.43690000002607
pixel_vgg_gram,1.323633960336463,0.12813480477983313,2.0186392188072206,2.6719394236803056,1.8846536874771118,2.4441511631011963,5,40,903.2643000000462
pixel_tree_swd_patch_3_25,1.3196721311475412,-0.2840384615384616,0.38125,0.503125,0.3125,0.46875,5,40,3.5276999999496184
latent_gram,1.282688424550313,0.1968745315602082,0.15736292731016874,0.20184760531410575,0.06521110981702805,0.16988753527402878,5,40,18.91329999989466
