epoch,loss,semigroup,swd,identity,identity_ratio,delta_l1,output_tv,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,12.313063621520996,0.0,0.24336844682693481,0.20126494765281677,0.20205076038837433,0.0,0.0,0.0,0.0,0.0,0.00014,0.7329570000583772,0.01210019996506162,78.59407350001857,6.5160153000906575,0.212322899926221,10.575229600042803,85.3345119000005,96.6476526260376,10240,105.95187489573097,119.99834266351431
2,11.576961517333984,0.0,0.22830717265605927,0.29919707775115967,0.20400388538837433,0.0,0.0,0.0,0.0,0.0,0.00013991366068953813,0.7157975000154693,0.012102600041544065,79.3193996999762,4.406715899967821,0.1691663000092376,10.563554099906469,83.9073844999948,95.18889904022217,10240,107.57556924440398,122.0393182438029
3,11.202320098876953,0.0,0.22078120708465576,0.30481836199760437,0.20283202826976776,0.0,0.0,0.0,0.0,0.0,0.0001396548794082012,0.7246615000185557,0.011108800012152642,79.25488059982308,4.401068400009535,0.17117209997377358,10.57565380030428,83.83822989981854,95.14141511917114,10240,107.62925890027701,122.1399833016055
4,10.860674858093262,0.0,0.2139042317867279,0.3199201822280884,0.20126952230930328,0.0,0.0,0.0,0.0,0.0,0.00013922436545749366,0.7261837999685667,0.011860699916724116,79.32432310003787,4.404359299922362,0.15815340002882294,10.58660250005778,83.89869649990578,95.21402859687805,10240,107.5471771429253,122.05195583713865
5,10.823376655578613,0.0,0.2131240963935852,0.3226111829280853,0.20097656548023224,0.0,0.0,0.0,0.0,0.0,0.00013862329884622974,0.7955509000457823,0.011504199879709631,79.16693370009307,4.428381199919386,0.15046080003958195,10.582193800044479,83.75727989993175,95.13853597640991,10240,107.63251604522337,122.25802953766106
6,10.644966125488281,0.0,0.2095206379890442,0.3339846730232239,0.19882811605930328,0.0,0.0,0.0,0.0,0.0,0.00013785332705621128,0.7212136000453029,0.012435000069672242,79.22307170002023,4.4393584000645205,0.15060080005787313,10.597441199788591,83.8254659002123,95.1471734046936,10240,107.62274520174932,122.15858140520119
7,10.487060546875,0.0,0.20639854669570923,0.32650235295295715,0.19921875,0.0,0.0,0.0,0.0,0.0,0.00013691656052659465,0.7794831998762675,0.011582099949009717,79.32133640002576,4.40659049997339,0.15116710009169765,10.57565629988676,83.89067610003985,95.24887871742249,10240,107.50782726145569,122.06362466060915
8,10.408895492553711,0.0,0.20470255613327026,0.34664058685302734,0.19453123211860657,0.0,0.0,0.0,0.0,0.0,0.00013581556686932368,0.7424235999933444,0.011534399964148179,79.30037240005913,4.4727392000786494,0.14677389999269508,10.582380799867678,83.93141990009462,95.25916171073914,10240,107.496222054677,122.00436990329595
9,10.466339111328125,0.0,0.2058890163898468,0.34565284848213196,0.20742186903953552,0.0,0.0,0.0,0.0,0.0,0.00013455336383148383,0.7401386999699753,0.01122019995818846,79.29509050000343,4.400412000017241,0.16265939993900247,10.595018699998036,83.86938209991786,95.20802998542786,10240,107.55395318616814,122.09461598036538
10,10.133973121643066,0.0,0.1991669088602066,0.3470586836338043,0.20058593153953552,0.0,0.0,0.0,0.0,0.0,0.00013313341102386714,0.7203692000475712,0.011968700040597469,79.27340289996937,4.410958999913419,0.16094590001739562,10.567941500019515,83.85727649994078,95.14868640899658,10240,107.62103384153266,122.11224150604546
11,10.304616928100586,0.0,0.20256786048412323,0.35369259119033813,0.20185546576976776,0.0,0.0,0.0,0.0,0.0,0.0001315596004384196,0.7838812999252696,0.011506599985295907,79.21267069986789,4.41434829987702,0.1622516999777872,10.561402100225678,83.80077729970799,95.1494619846344,10240,107.62015660849084,122.19457062286321
12,10.254663467407227,0.0,0.2015654742717743,0.35588786005973816,0.2011718899011612,0.0,0.0,0.0,0.0,0.0,0.00012983624578056168,0.7276416999520734,0.011109699960798025,79.24269980014651,4.423740099999122,0.15464990012696944,10.571150899719214,83.8321995002334,95.13316321372986,10240,107.63859472426475,122.14876933977487
13,10.228090286254883,0.0,0.20096322894096375,0.36637362837791443,0.2050780951976776,0.0,0.0,0.0,0.0,0.0,0.00012796807064562166,0.7391639999405015,0.011312300019199029,79.2808173999947,4.4140229998738505,0.16381479991832748,10.573904000251787,83.86996749980608,95.18590307235718,10240,107.57895517591392,122.09376377812089
14,10.183371543884277,0.0,0.20005908608436584,0.36482834815979004,0.19853514432907104,0.0,0.0,0.0,0.0,0.0,0.00012596019557178914,0.7325410998892039,0.011433300067437813,79.23442269989755,4.435913499968592,0.1493456999596674,10.568624599982286,83.83111519989325,95.13486552238464,10240,107.63666867843095,122.15034925377016
15,10.117378234863281,0.0,0.19883498549461365,0.3502483069896698,0.20283205807209015,0.0,0.0,0.0,0.0,0.0,0.0001238181240050758,0.7290229999925941,0.011552700074389577,79.30908370000543,4.3814090998785105,0.1979069000808522,10.571521499950904,83.89995240003918,95.20354723930359,10240,107.5590174624559,122.05012883887187
16,10.220773696899414,0.0,0.20079830288887024,0.3637007772922516,0.20332029461860657,0.0,0.0,0.0,0.0,0.0,0.00012154772721475248,0.7958992000494618,0.01210309992893599,79.20831379995798,4.3964607999660075,0.15840919991023839,10.576913600205444,83.77528689976316,95.15045213699341,10240,107.61903669419144,122.23175090109956
17,9.947635650634766,0.0,0.19528694450855255,0.3685586750507355,0.2055663764476776,0.0,0.0,0.0,0.0,0.0,0.00011915522820060805,0.7236171000404283,0.010998399986419827,79.24893680005334,4.4503532998787705,0.14366619993234053,10.561387000139803,83.85395469985087,95.14179039001465,10240,107.62883437470724,122.11707887425625
18,10.085440635681152,0.0,0.19815868139266968,0.3553467392921448,0.19912110269069672,0.0,0.0,0.0,0.0,0.0,0.00011664718463613975,0.7188667999289464,0.011884299980010837,79.2953365999856,4.403731199854519,0.15809300003456883,10.59228770021582,83.8690450998547,95.18289279937744,10240,107.58235748921236,122.09510657726256
19,9.95524787902832,0.0,0.19544896483421326,0.3730345368385315,0.20673827826976776,0.0,0.0,0.0,0.0,0.0,0.00011403047089442579,0.7233193999854848,0.012425599939888343,79.2563393000164,4.3995538000017405,0.16279429991845973,10.592676400236087,83.8311129998765,95.14862322807312,10240,107.62110530443009,122.15035245941547
