epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,gram,gram_w,moment,push,delta_tv,nce,idt,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,1.3219375610351562,0.315074520111084,0.021667943000793458,0.4178894424438477,0.930177993774414,0.0,0.0,0.0,0.017372679710388184,0.5211803817749023,0.0398703670501709,0.18350868225097655,0.13418801307678221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,47.94389796257019
2,1.0055530548095704,0.4751317596435547,0.014468685388565064,0.5531495666503906,1.2458793640136718,0.0,0.0,0.0,0.005741350650787354,0.1722404670715332,0.007482686638832092,0.16989160537719727,0.3132684326171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019986980580168453,36.77235722541809
3,0.9103875732421876,0.4816941833496094,0.013170262575149536,0.7478852844238282,1.2515375518798828,0.0,0.0,0.0,0.004339407682418823,0.13018223762512207,0.004910328984260559,0.13853219985961915,0.374183349609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019947958005998598,37.34967875480652
4,0.8311049652099609,0.48952667236328123,0.011688339710235595,0.973958740234375,1.3593118286132813,0.0,0.0,0.0,0.0036004024744033815,0.108012113571167,0.004021678864955902,0.10224902153015136,0.40386276245117186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019883039235653812,37.40447664260864
5,0.7703272247314453,0.49727100372314453,0.012026629447937011,1.248117904663086,1.4243669128417968,0.0,0.0,0.0,0.003228793442249298,0.09686378479003906,0.003773091733455658,0.0628957986831665,0.42851829528808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019792402206971158,37.43488574028015
6,0.7077876281738281,0.5011965560913086,0.012201826572418212,1.5409689331054688,1.5162860107421876,0.0,0.0,0.0,0.002975625991821289,0.089268798828125,0.003594534993171692,0.023128092288970947,0.4460129165649414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019676295349746153,37.33893346786499
7,0.6652082061767578,0.5037458801269531,0.011309667825698852,1.719443359375,1.5501425170898437,0.0,0.0,0.0,0.0027849942445755003,0.08354984283447266,0.0034108856320381165,0.0006192230060696602,0.46081890106201173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019535036904803964,37.48315382003784
8,0.660166015625,0.506441879272461,0.01101851224899292,1.7362130737304688,1.6321458435058593,0.0,0.0,0.0,0.0026185646653175353,0.07855694770812988,0.0032646086812019347,0.00010718008503317833,0.4732754135131836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019369014051723418,36.84097933769226
9,0.6533761596679688,0.508501205444336,0.010414555072784423,1.7433686828613282,1.6986715698242187,0.0,0.0,0.0,0.002456606328487396,0.07369817733764648,0.0031171196699142454,2.3989188484847545e-05,0.48385860443115236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001917868184760471,37.30440139770508
10,0.6471209716796875,0.5101227951049805,0.009858798384666443,1.7417079162597657,1.7381208801269532,0.0,0.0,0.0,0.002310975193977356,0.06932924747467041,0.0030082961916923522,1.2970701791346073e-05,0.4960730743408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018964561979789498,37.444910526275635
