probe_family,variant,classification,training_path_changed,ot_match_changed,target_projection_changed,bridge_state_changed,model_conditioning_changed,component_changed,matched_target_vs_base_mean_abs,objective_target_vs_base_mean_abs,x_t_vs_base_mean_abs,target_velocity_vs_base_mean_abs,pred_velocity_vs_base_mean_abs,pred_endpoint_vs_base_mean_abs,matched_target_style_code_vs_base_mean_abs,component_flow_vs_base_mean_abs,component_terminal_vs_base_mean_abs,component_max_vs_base_mean_abs,eps,component_delta::anisotropic_kinetic,component_delta::content_edge_anchor,component_delta::content_lowpass_anchor,component_delta::curvature,component_delta::cycle_consistency,component_delta::flow,component_delta::generated_delta_diversity,component_delta::kinetic_energy,component_delta::plain_path_distill,component_delta::proximal_residual_energy,component_delta::proximal_target,component_delta::stokes_viscous,component_delta::terminal_swd,component_delta::training_target_projection_active,component_delta::training_target_projection_high_energy_ratio,component_delta::training_target_projection_low_anchor,component_delta::training_target_projection_low_drift,component_delta::training_target_projection_mode_pure_vertical_flow,component_delta::training_target_projection_mode_pure_vertical_flow_wavelet,component_delta::training_target_projection_mode_source_low_target_high,component_delta::training_target_projection_mode_wavelet_source_low_target_high,component_delta::training_target_projection_target_delta,metric::ot_cost,metric_delta::ot_cost,metric::ot_plan_entropy,metric_delta::ot_plan_entropy,metric::ot_barycentric_entropy,metric_delta::ot_barycentric_entropy,metric::ot_target_gini,metric_delta::ot_target_gini,metric::ot_target_mass_entropy,metric_delta::ot_target_mass_entropy,metric::ot_target_max_mass,metric_delta::ot_target_max_mass,metric::ot_appearance_cost_mean,metric_delta::ot_appearance_cost_mean,metric::ot_appearance_cost_var,metric_delta::ot_appearance_cost_var,metric::ot_structure_cost_mean,metric_delta::ot_structure_cost_mean,metric::ot_structure_cost_var,metric_delta::ot_structure_cost_var,metric::ot_structure_cost_active,metric_delta::ot_structure_cost_active,metric::ot_topogate_probe_active,metric_delta::ot_topogate_probe_active,metric::ot_topogate_complexity_cost_mean,metric_delta::ot_topogate_complexity_cost_mean,metric::ot_topogate_complexity_cost_var,metric_delta::ot_topogate_complexity_cost_var,metric::ot_topogate_content_complexity_mean,metric_delta::ot_topogate_content_complexity_mean,metric::ot_topogate_target_complexity_mean,metric_delta::ot_topogate_target_complexity_mean,metric::ot_latent_affinity_cost_mean,metric_delta::ot_latent_affinity_cost_mean,metric::ot_latent_affinity_cost_var,metric_delta::ot_latent_affinity_cost_var,metric::ot_cost_composition_appearance_only,metric_delta::ot_cost_composition_appearance_only,metric::ot_cost_composition_appearance_plus_structure,metric_delta::ot_cost_composition_appearance_plus_structure,metric::ot_cost_composition_structure_only,metric_delta::ot_cost_composition_structure_only,metric::ot_dummy_mass,metric_delta::ot_dummy_mass,metric::ot_dummy_active,metric_delta::ot_dummy_active,metric::training_target_projection_active,metric_delta::training_target_projection_active,metric::training_target_projection_low_anchor,metric_delta::training_target_projection_low_anchor,metric::training_target_projection_low_drift,metric_delta::training_target_projection_low_drift,metric::training_target_projection_target_delta,metric_delta::training_target_projection_target_delta,metric::training_target_projection_high_energy_ratio,metric_delta::training_target_projection_high_energy_ratio,metric::matched_target_style_latent_active,metric_delta::matched_target_style_latent_active,metric::matched_target_style_code_active,metric_delta::matched_target_style_code_active,metric::matched_target_style_code_abs,metric_delta::matched_target_style_code_abs,metric::plain_path_distill,metric_delta::plain_path_distill,metric::plain_path_distill_active,metric_delta::plain_path_distill_active,metric::plain_path_student_abs,metric_delta::plain_path_student_abs,metric::style_code_override_active,metric_delta::style_code_override_active,metric::style_code_content_router_bypassed,metric_delta::style_code_content_router_bypassed,metric::style_spatial_source_target_latent,metric_delta::style_spatial_source_target_latent,metric::style_spatial_source_code_map,metric_delta::style_spatial_source_code_map,metric::style_spatial_map_abs,metric_delta::style_spatial_map_abs,metric::bridge_sigma,metric_delta::bridge_sigma,metric::t_mean,metric_delta::t_mean,applied_overrides_json
training_effect,h1_plain_path_distill_0p50,conditioning_or_loss_change,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00224374420940876,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00224374420940876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8794145584106445,0.0,0.22822582721710205,0.0,0.22822579741477966,0.0,1.1920928955078125e-07,0.0,0.6931471824645996,0.0,0.5000000596046448,0.0,0.0,0.0,0.0,0.0,5.307433128356934,0.0,1.7669122219085693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.036691389977931976,0.0,0.00224374420940876,0.00224374420940876,1.0,1.0,0.18162620067596436,0.18162620067596436,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9122206568717957,0.0,0.0,0.0,0.20219823718070984,0.0,"{""bridge.w_plain_path_distill"": 0.5}"
training_effect,h0_vertical_fm_plain_path_distill_0p50,bridge_only_change,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.07581581920385361,0.3757157027721405,0.023608561605215073,0.0,0.0,0.3872915506362915,0.0,0.3872915506362915,0.0001,0.0,0.0,0.0,0.0,0.0,0.3872915506362915,0.0,0.00029887259006500244,0.0021686286199837923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8794145584106445,0.0,0.22822582721710205,0.0,0.22822579741477966,0.0,1.1920928955078125e-07,0.0,0.6931471824645996,0.0,0.5000000596046448,0.0,0.0,0.0,0.0,0.0,5.307433128356934,0.0,1.7669122219085693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.036691389977931976,0.0,0.0021686286199837923,0.0021686286199837923,1.0,1.0,0.18148817121982574,0.18148817121982574,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9122206568717957,0.0,0.0,0.0,0.20219823718070984,0.0,"{""bridge.bridge_path_mode"": ""vertical"", ""bridge.bridge_sigma"": 0.0, ""bridge.coupling_cost_composition"": ""structure_only"", ""bridge.coupling_structure_cost_mode"": ""self_affinity_gw"", ""bridge.w_plain_path_distill"": 0.5}"
training_effect,h2_euclidean_ot_plain_path_distill_0p50,ot_or_target_change,1.0,1.0,1.0,1.0,1.0,1.0,0.11387591063976288,0.11387591063976288,0.07816648483276367,0.3934490382671356,0.025733038783073425,0.0,0.0013827916700392962,0.519790768623352,0.0016597211360931396,0.519790768623352,0.0001,0.0,0.0,0.0,0.0,0.0,0.519790768623352,0.0,0.00019434094429016113,0.0021519986912608147,1.7444157229817847e-11,0.0,0.0,0.0016597211360931396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9434878826141357,0.06407332420349121,0.4391460418701172,0.21092021465301514,0.4391460418701172,0.21092024445533752,1.1920928955078125e-07,0.0,0.6931471824645996,0.0,0.4999999701976776,-8.940696716308594e-08,0.04072245955467224,0.04072245955467224,1.0573897270660382e-05,1.0573897270660382e-05,5.307433128356934,0.0,1.7669122219085693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.03669876232743263,7.372349500656128e-06,0.0021519986912608147,0.0021519986912608147,1.0,1.0,0.1813666969537735,0.1813666969537735,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8288166522979736,-0.08340400457382202,0.0,0.0,0.22877651453018188,0.026578277349472046,"{""bridge.bridge_path_mode"": ""vertical"", ""bridge.bridge_sigma"": 0.0, ""bridge.coupling_cost_composition"": ""appearance_only"", ""bridge.w_plain_path_distill"": 0.5}"
training_effect,h3_sde_noise_plain_path_distill_0p50,bridge_only_change,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.07618948817253113,0.3761735260486603,0.023744169622659683,0.0,0.0,0.386738657951355,0.006181299686431885,0.386738657951355,0.0001,0.0,0.0,0.0,0.0,0.0,0.386738657951355,0.0,0.000283069908618927,0.0021661948412656784,0.0,0.0,0.0,0.006181299686431885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8794145584106445,0.0,0.22822582721710205,0.0,0.22822579741477966,0.0,1.1920928955078125e-07,0.0,0.6931471824645996,0.0,0.5000000596046448,0.0,0.0,0.0,0.0,0.0,5.307433128356934,0.0,1.7669122219085693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.036691389977931976,0.0,0.0021661948412656784,0.0021661948412656784,1.0,1.0,0.1815672069787979,0.1815672069787979,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9122207164764404,5.960464477539063e-08,0.019999999552965164,0.019999999552965164,0.20225778222084045,5.9545040130615234e-05,"{""bridge.bridge_noise_schedule"": ""exact_brownian"", ""bridge.bridge_path_mode"": ""vertical"", ""bridge.bridge_sigma"": 0.02, ""bridge.coupling_cost_composition"": ""structure_only"", ""bridge.coupling_structure_cost_mode"": ""self_affinity_gw"", ""bridge.w_plain_path_distill"": 0.5}"
training_effect,h4_unbalanced_ot_plain_path_distill_0p50,ot_or_target_change,1.0,1.0,1.0,1.0,1.0,1.0,0.10276863723993301,0.10276863723993301,0.08023011684417725,0.3934521973133087,0.025325940921902657,0.0,0.001088310033082962,0.443761944770813,0.0018020272254943848,0.443761944770813,0.0001,0.0,0.0,0.0,0.0,0.0,0.443761944770813,0.0,6.488710641860962e-05,0.002166245598345995,1.4831802452874854e-11,0.0,0.0,0.0018020272254943848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7236990928649902,-0.1557154655456543,0.28976717591285706,0.061541348695755005,0.28976714611053467,0.061541348695755005,0.04969620704650879,0.04969608783721924,0.6881995797157288,-0.00494760274887085,0.5496962070465088,0.049696147441864014,0.0,0.0,0.0,0.0,5.307433128356934,0.0,1.7669122219085693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.036651529371738434,-3.986060619354248e-05,0.002166245598345995,0.002166245598345995,1.0,1.0,0.18156230449676514,0.18156230449676514,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8758312463760376,-0.03638941049575806,0.0,0.0,0.20219823718070984,0.0,"{""bridge.bridge_path_mode"": ""vertical"", ""bridge.bridge_sigma"": 0.0, ""bridge.coupling_cost_composition"": ""structure_only"", ""bridge.coupling_solver"": ""sinkhorn_unbalanced"", ""bridge.coupling_structure_cost_mode"": ""self_affinity_gw"", ""bridge.sinkhorn_unbalanced_tau_src"": 0.5, ""bridge.w_plain_path_distill"": 0.5}"
training_effect,h5_topogate_attention_plain_path_distill_0p50,ot_or_target_change,1.0,1.0,1.0,1.0,1.0,1.0,0.053448665887117386,0.053448665887117386,0.07914924621582031,0.37631744146347046,0.025589365512132645,0.0,0.0005878048250451684,0.31318211555480957,0.007929235696792603,0.31318211555480957,0.0001,0.0,0.0,0.0,0.0,0.0,0.31318211555480957,0.0,0.00041351839900016785,0.002184363780543208,5.679789971679838e-12,0.0,0.0,0.007929235696792603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7926610708236694,-0.0867534875869751,0.07314229011535645,-0.1550835371017456,0.07314226031303406,-0.1550835371017456,0.0,-1.1920928955078125e-07,0.6931471824645996,0.0,0.5,-5.960464477539063e-08,0.04072245955467224,0.04072245955467224,1.0573897270660382e-05,1.0573897270660382e-05,1.0,-4.307433128356934,0.2763001024723053,-1.490612119436264,1.0,0.0,1.0,1.0,0.004860304296016693,0.004860304296016693,2.3987642634892836e-05,2.3987642634892836e-05,0.4700142741203308,0.4700142741203308,0.4892643094062805,0.4892643094062805,5.307433128356934,5.307433128356934,1.7669122219085693,1.7669122219085693,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.036747585982084274,5.6196004152297974e-05,0.002184363780543208,0.002184363780543208,1.0,1.0,0.1816721260547638,0.1816721260547638,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9559474587440491,0.04372680187225342,0.0,0.0,0.22877651453018188,0.026578277349472046,"{""bridge.bridge_path_mode"": ""vertical"", ""bridge.bridge_sigma"": 0.0, ""bridge.coupling_cost_composition"": ""appearance_plus_structure"", ""bridge.coupling_structure_cost_mode"": ""topogate_attention_gw"", ""bridge.coupling_structure_cost_weight"": 0.4, ""bridge.w_plain_path_distill"": 0.5}"
training_effect,h6_combined_topogate_plain_path_distill_0p50,ot_or_target_change,1.0,1.0,1.0,1.0,1.0,1.0,0.056393057107925415,0.056393057107925415,0.07851794362068176,0.37804991006851196,0.02544783055782318,0.0,0.0006139232427813113,0.36621975898742676,0.009512156248092651,0.36621975898742676,0.0001,0.0,0.0,0.0,0.0,0.0,0.36621975898742676,0.0,0.0004586838185787201,0.0021690300200134516,1.5498713423767185e-12,0.0,0.0,0.009512156248092651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7239762544631958,-0.15543830394744873,0.16909486055374146,-0.059130966663360596,0.16909486055374146,-0.05913093686103821,0.08911776542663574,0.08911764621734619,0.6771780252456665,-0.015969157218933105,0.589117705821991,0.08911764621734619,0.04072245955467224,0.04072245955467224,1.0573897270660382e-05,1.0573897270660382e-05,1.0,-4.307433128356934,0.2763001024723053,-1.490612119436264,1.0,0.0,1.0,1.0,0.004860304296016693,0.004860304296016693,2.3987642634892836e-05,2.3987642634892836e-05,0.4700142741203308,0.4700142741203308,0.4892643094062805,0.4892643094062805,5.307433128356934,5.307433128356934,1.7669122219085693,1.7669122219085693,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.03682272508740425,0.00013133510947227478,0.0021690300200134516,0.0021690300200134516,1.0,1.0,0.18152333796024323,0.18152333796024323,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9232617020606995,0.011041045188903809,0.019999999552965164,0.019999999552965164,0.2288307547569275,0.02663251757621765,"{""bridge.bridge_noise_schedule"": ""exact_brownian"", ""bridge.bridge_path_mode"": ""vertical"", ""bridge.bridge_sigma"": 0.02, ""bridge.coupling_cost_composition"": ""appearance_plus_structure"", ""bridge.coupling_solver"": ""sinkhorn_unbalanced"", ""bridge.coupling_structure_cost_mode"": ""topogate_attention_gw"", ""bridge.coupling_structure_cost_weight"": 0.4, ""bridge.sinkhorn_unbalanced_tau_src"": 0.5, ""bridge.w_plain_path_distill"": 0.5}"
