batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\stytr2_smoke_now\checkpoints\stytr2,69.221,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\stytr2_smoke_now\logs\stytr2_train.log,1,0,train,ok
,,27.739,5,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\stytr2_smoke_now\infer_750\images,,,,infer,ok
