"cleanup_run","remote_root","relative_path","target_type","cleanup_class","exists_before","before_bytes","before_mb","last_write_time","status","post_exists","reason"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\axis_scale_probe\color_x150.pt","file","tokenizerclean_orphan_probe_weight","True","15774559","15.043792","2026/5/31 22:27:40","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\axis_scale_probe\color_x250.pt","file","tokenizerclean_orphan_probe_weight","True","15774623","15.043853","2026/5/31 22:38:36","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\axis_scale_probe\geometry_x125.pt","file","tokenizerclean_orphan_probe_weight","True","15775451","15.044642","2026/5/31 22:27:40","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\axis_scale_probe\specgeo_x120.pt","file","tokenizerclean_orphan_probe_weight","True","15775175","15.044379","2026/5/31 22:27:40","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\axis_scale_probe\spectrum_x125.pt","file","tokenizerclean_orphan_probe_weight","True","15775451","15.044642","2026/5/31 22:27:40","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\axis_scale_probe\spectrum_x175.pt","file","tokenizerclean_orphan_probe_weight","True","15775451","15.044642","2026/5/31 22:38:36","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\field_budget_release_probe\release_s100.pt","file","tokenizerclean_orphan_probe_weight","True","15775431","15.044623","2026/5/31 22:48:55","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\field_budget_release_probe\release_s150.pt","file","tokenizerclean_orphan_probe_weight","True","15775431","15.044623","2026/5/31 22:48:55","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\pair_relative_geometry_release_probe\pairrel_c090_g100_b040_from_spatial_gate.pt","file","tokenizerclean_orphan_probe_weight","True","17356989","16.552915","2026/6/1 1:05:38","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\pair_relative_geometry_release_probe\pairrel_c120_g050_b020_from_spatial_gate.pt","file","tokenizerclean_orphan_probe_weight","True","17356989","16.552915","2026/6/1 1:30:38","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\pair_relative_geometry_release_probe\pairrel_c120_g050_b020_spgain013_from_spatial_gate.pt","file","tokenizerclean_orphan_probe_weight","True","17359881","16.555673","2026/6/1 1:34:38","deleted","False","0 citation, no config/log/training csv/summary, diagnostics output retained"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\axis_scale_probe","directory","tokenizerclean_empty_orphan_probe_dir","True","0","0","","deleted_empty_dir","False","remove only after exact orphan weights were deleted and directory is empty"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\field_budget_release_probe","directory","tokenizerclean_empty_orphan_probe_dir","True","0","0","","deleted_empty_dir","False","remove only after exact orphan weights were deleted and directory is empty"
"2026-06-05T11:36:21","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","exp\pair_relative_geometry_release_probe","directory","tokenizerclean_empty_orphan_probe_dir","True","0","0","","deleted_empty_dir","False","remove only after exact orphan weights were deleted and directory is empty"
