"exp_dir","deleted_files","deleted_mb","reason"
"local_patch_org_content_relative_release_120b_b80","1","15.046","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"local_patch_org_content_relative_release_20b_b80","1","15.045","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"local_patch_org_geometry_filter_g003_120b_b48","1","15.100","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"local_patch_org_relative_spatial_rank4_120b_b80","1","15.548","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"local_patch_org_spatial_gate_rank4_g010_q070_120b_b48","1","16.548","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"pair_content_spatial_head_c120_g050_b020_120b_b80","1","15.554","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80","1","15.554","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"pairrel_signed_spatial_head_c120_g050_b020_120b_b80","1","15.552","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"pairrel_signed_spatial_head_geomstat_w005_120b_b80","1","15.552","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"pairrel_signed_spatial_head_geomstat_w020_120b_b80","1","15.552","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"split_axis_color_channel_operator_120b_b80","1","15.045","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"split_axis_color_channel_operator_realism4_120b_b80","1","15.045","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"split_axis_high_channel_operator_120b_b80","1","15.049","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"split_axis_spatial_gate_channel_tokonly_120b","1","16.374","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"wikiart512_ema_direct_atom_residual_calib_b16","1","43.590","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"wikiart512_ema_direct_atom_residual_calib_b64","1","43.590","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"wikiart512_ema_direct_atom_residual_calib_b80","1","43.590","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
"wikiart512_ema_metric_profile_budget_decoder_120b_b80","1","15.057","uncited no-summary short probe/calibration; training/config evidence retained and checkpoint is not cited"
