"cleanup_run","remote_root","relative_path","full_path","target_type","reason","exists_before","item_type_before","pre_size_bytes","pre_size_mb","pre_child_count","status","post_exists","note"
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete","I:\Github\Latent_Style\eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete","file","failed_huggingface_clip_blob_incomplete","True","file","58714185","55.99421","","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","eval_cache\ref_feats_1558c2de70_m80.pt.tmp.575","I:\Github\Latent_Style\eval_cache\ref_feats_1558c2de70_m80.pt.tmp.575","file","stale_ref_feats_tmp_residue","True","file","128","0.000122","","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\wCnio2FLeN37BG8ipDAohIO8E5U=.46096265c2d6143804b6bd1d07b5a59119f8b8f89e7a1d2cd4fca5592b450707.incomplete","I:\Github\Latent_Style\SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\wCnio2FLeN37BG8ipDAohIO8E5U=.46096265c2d6143804b6bd1d07b5a59119f8b8f89e7a1d2cd4fca5592b450707.incomplete","file","failed_wikiart81k_hf_download_incomplete","True","file","67053613","63.947309","","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\dataset.tar.gz.lock","I:\Github\Latent_Style\SchrodingerBridge\scale\datasets\wikiart_81k\.cache\huggingface\download\dataset.tar.gz.lock","file","stale_wikiart81k_download_lock","True","file","0","0","","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete","I:\Github\Latent_Style\Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete","file","failed_artfid_download_incomplete_archive_copy","True","file","107935977","102.935769","","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock","I:\Github\Latent_Style\Cycle-NCE\_archive\src_46\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock","file","stale_artfid_download_lock_archive_copy","True","file","0","0","","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete","I:\Github\Latent_Style\Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\qDTS-0xVe8KqtrFl6MozVPDSqJA=.5bc1c20380401911d99d528b7b6e4430044b56edd5f7f26467222f3fb7c54e7e.incomplete","file","failed_artfid_download_incomplete_src_copy","True","file","107935977","102.935769","","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock","I:\Github\Latent_Style\Cycle-NCE\src\eval_cache\artfid\.cache\huggingface\download\art_inception.pth.lock","file","stale_artfid_download_lock_src_copy","True","file","0","0","","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete","I:\Github\Latent_Style\Cycle-NCE\eval_cache\hf\models--openai--clip-vit-base-patch32\blobs\a63082132ba4f97a80bea76823f544493bffa8082296d62d71581a4feff1576f.incomplete","file","failed_cycle_nce_clip_blob_incomplete","True","file","58714185","55.99421","","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","experiments\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-mse\._____temp","I:\Github\Latent_Style\experiments\eval_cache\hf\modelscope\stabilityai_sd-vae-ft-mse\._____temp","directory","recursively_empty_modelscope_temp_dir","True","directory","0","0","2","deleted","False",""
"remote_main_data_cache_archive_residue_20260605","I:\Github\Latent_Style","Related_Works\repos\S2WAT-main\pre_trained_models\tmp_timing","I:\Github\Latent_Style\Related_Works\repos\S2WAT-main\pre_trained_models\tmp_timing","directory","empty_tmp_timing_dir","True","directory","0","0","0","deleted","False",""
