"exp_dir","deleted_files","deleted_mb","extensions","first_deleted_path","reason"
"tokenizer_control_probes","4125","1,974.441",".png:4125","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\tokenizer_control_probes\fieldbound_causal_n2\atom_spatial_only\generated\Expressionism__balthus_young-girl-at-the-window-1957__to__Expressionism.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_direct_atom_residual_e8_b48","3030","1,478.104",".png:3030","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_direct_atom_residual_e8_b48\eval_smoke_epoch_0008\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"metric_tokenizer_init","2710","1,320.787",".png:2710","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\metric_tokenizer_init\full_eval_metric_direct\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"spatial_prototype_init","1057","525.502",".png:1057","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\spatial_prototype_init\eval_blend015_quick_n6\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_truegrad_tokenbudget_full_e1_b32","1053","516.105",".png:1053","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_truegrad_tokenbudget_full_e1_b32\full_eval_epoch0001_b4\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_direct_atom_residual_continue_e12_from_e8_b48","959","475.643",".png:959","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_direct_atom_residual_continue_e12_from_e8_b48\full_eval_epoch0012\generated\Expressionism__balthus_young-girl-at-the-window-1957__to__Realism.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_tokenbudget_gradfix_tokonly_e1_b16","902","442.295",".png:902","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_tokenbudget_gradfix_tokonly_e1_b16\full_eval_trueint\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_lowspatial_guard_e1_from_spectral_b48","902","440.603",".png:902","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_lowspatial_guard_e1_from_spectral_b48\full_eval_epoch0001_b4\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_centroid_gain_e1_from_spectral_b48","902","440.293",".png:902","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_centroid_gain_e1_from_spectral_b48\full_eval_epoch0001_b4\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
"wikiart512_ema_styleboost_guard_e4_from_e8_b48","751","369.302",".png:751","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\wikiart512_ema_styleboost_guard_e4_from_e8_b48\full_eval_epoch0004_b4\grid_first_per_class.png","Uncited directory with structured summary/CSV evidence retained; generated images are large non-source artifacts."
