id,label,purpose,status,train_sec_wall,eval_status,eval_sec_wall,run_dir,train_logged_epochs,train_total_epoch_sec,train_avg_epoch_sec,clip_style,clip_content,content_lpips,transfer_clip_style,transfer_clip_content,transfer_content_lpips,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_content_lpips,cmmd_all,dino_structure_all,gram_micro_all,gram_macro_all,summary_exists
A1_no_terminal_swd,w/o terminal SWD,Test whether endpoint style-distribution matching improves style realism.,dry_run,,pending,,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_7epoch\A1_no_terminal_swd,,,,,,,,,,,,,,,,,False
A7_no_ot_random,w/o OT matching,Replace OT coupling with random same-target-style pairing.,dry_run,,pending,,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_7epoch\A7_no_ot_random,,,,,,,,,,,,,,,,,False
