run,method,musiq,maniqa,dists_content,fft_slope_error,chroma_acl_z,small_blob_ratio_z,structure_tensor_coherence_z,hf_patch_kid,stroke_grain_artifact
ours_epoch_0007,Ours epoch_0007,49.2059,0.4057,0.2477,0.5473,-0.4245,0.116,0.5311,4.169393,0.2
samst_strict,SaMST strict,36.095,0.3139,0.2943,1.0536,-0.0915,-0.3883,0.7819,6.759762,-0.2
