id,task,status,output
D0_full_correct_7ep,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D0_full_correct_7ep\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D0_full_correct_7ep,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D0_full_correct_7ep\full_eval\epoch_0007\eval_guard750.json
D0_full_correct_7ep,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D0_full_correct_7ep\full_eval\epoch_0007\eval_hf_patch_kid750.json
D0_full_correct_7ep,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D0_full_correct_7ep\full_eval\epoch_0007\eval_plain_kid750.json
D1_no_terminal_swd,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D1_no_terminal_swd\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D1_no_terminal_swd,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D1_no_terminal_swd\full_eval\epoch_0007\eval_guard750.json
D1_no_terminal_swd,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D1_no_terminal_swd\full_eval\epoch_0007\eval_hf_patch_kid750.json
D1_no_terminal_swd,plain_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D1_no_terminal_swd\full_eval\epoch_0007\eval_plain_kid750.json
D2_no_kinetic,base,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D2_no_kinetic\full_eval\epoch_0007\eval_protocol750_sbmatch.json
D2_no_kinetic,guard,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D2_no_kinetic\full_eval\epoch_0007\eval_guard750.json
D2_no_kinetic,hf_kid,ok,G:\GitHub\Latent_Style\SchrodingerBridge\ablation_destructive_7epoch\D2_no_kinetic\full_eval\epoch_0007\eval_hf_patch_kid750.json
