batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,save_interval,stage,status,train_continue
2,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aesfa_smoke_recheck\checkpoints\aesfa,5.401,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aesfa_smoke_recheck\logs\aesfa_train.log,1,0,4000,train,ok,off
,,20.459,5,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aesfa_smoke_recheck\infer_750\images,,,,,infer,ok,
