epoch,checkpoint,dino_s,dino_c,clip_s,lpips
1,epoch_0001.pt,0.4816733113527298,0.8293919255187114,0.7119484494129816,0.2645273470853333
2,epoch_0002.pt,0.4829780788719654,0.827463799143831,0.7132131157716115,0.2718357048253333
3,epoch_0003.pt,0.47934667418400445,0.805471572548151,0.7137354087829589,0.2990034769666666
4,epoch_0004.pt,0.47955760231117406,0.8083725259608279,0.7140408612092336,0.287197561356
5,epoch_0005.pt,0.4854973615904649,0.8112934915373723,0.7146438113848368,0.2847411676306667
6,epoch_0006.pt,0.48344373295952875,0.8032139682670434,0.7146604070663453,0.286420668492
7,epoch_0007.pt,0.4884666835119327,0.8019508119225502,0.7171308396657308,0.3058367459333333
8,epoch_0008.pt,0.48823759573698045,0.802086629708608,0.7149939706325531,0.2890204472933333
9,epoch_0009.pt,0.486493699118495,0.8026213368972143,0.7155612512429556,0.293910625796
10,epoch_0010.pt,0.48905876700083417,0.805693782021602,0.7158350902398427,0.2982097214986667
11,epoch_0011.pt,0.48924520302315555,0.8010483421484629,0.7169066383043925,0.30997405093866665
12,epoch_0012.pt,0.4877818937500318,0.8017535980542501,0.7160341301759084,0.305740166044
13,epoch_0013.pt,0.4893523071904977,0.7966100111305714,0.7172252117792766,0.31375696775733336
14,epoch_0014.pt,0.4878749225934347,0.8036585125923157,0.716101789077123,0.30542888264400003
15,epoch_0015.pt,0.48850244321425756,0.8000654924909274,0.716342146396637,0.30889114934
