epoch,loss,gram,moment,code,push,cycle,nce,idt,w_cycle_eff,w_idt_eff,lr,epoch_time_sec
1,2.190492876768112,0.004240707273129374,0.1842246323823929,0.0,0.0,0.0,0.0,0.08989960302598775,0.0,0.10000000149011612,0.0002,15.542234420776367
2,0.8349008300900459,0.0020560708770062776,0.06593230500817299,0.0,0.0,0.0,0.0,0.11092106215655803,0.0,0.10000000149011612,0.0001953503690480396,9.71166729927063
3,0.3616669188439846,0.0011467839818214997,0.026337884198874235,0.0,0.0,0.0,0.0,0.06545356381684542,0.0,0.10000000149011612,0.00018185661446562,12.64380145072937
4,0.18605816274881362,0.0006701500882627442,0.01267627122811973,0.0,0.0,0.0,0.0,0.05683443021029234,0.0,0.10000000149011612,0.00016083959896778495,9.699379205703735
5,0.11975283034145832,0.00046053657337324694,0.007786161587573588,0.0,0.0,0.0,0.0,0.050482885465025905,0.0,0.10000000149011612,0.00013435661446562,9.67999529838562
6,0.19298934698104858,0.00042993421608116477,0.0066102231992408635,0.0,0.0,0.08897242911159992,0.0,0.035199483558535576,1.0,0.10000000149011612,0.000105,17.004050493240356
7,0.2038153749704361,0.0004184884377173148,0.006040592328645289,0.0,0.0,0.05367486510425806,0.0,0.025806469582021235,2.0,0.10000000149011612,7.564338553438001e-05,14.0431227684021
8,0.21659194365143775,0.0004249401652486995,0.005754775847308337,0.0,0.0,0.04094388004392385,0.0,0.02217332473024726,3.0,0.10000000149011612,4.916040103221507e-05,17.01377034187317
9,0.2280234017968178,0.0004045904544182122,0.005448508709669113,0.0,0.0,0.03478094536811113,0.0,0.02047296840697527,4.0,0.10000000149011612,2.8143385534380006e-05,14.05942153930664
10,0.24616444930434228,0.0004185282182879746,0.0055281674698926505,0.0,0.0,0.03108649780973792,0.0,0.019680280927568673,5.0,0.10000000149011612,1.4649630951960416e-05,16.64872169494629
