epoch,loss,swd,color,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,192.82522583007812,0.4937478005886078,1.387764811515808,0.0,0.20205079019069672,5.555555555555555e-05,0.4863670002669096,0.004653200041502714,44.724563099909574,7.662297600414604,0.23888370080385357,0.03371959913056344,52.630397601169534,54.50742435455322,10240,187.86431612310466,194.56436710963496
2,138.1272430419922,0.36327895522117615,0.9461502432823181,0.0,0.20400391519069672,0.0001111111111111111,0.47089819982647896,0.004639199702069163,39.5103854999179,3.0312773004407063,0.20316909975372255,0.03323459986131638,42.7494710998144,44.61175894737244,10240,229.53589460751627,239.53512725551494
3,128.9559783935547,0.32720276713371277,0.9431053996086121,0.0,0.20283202826976776,0.00016666666666666666,0.47297349956352264,0.004437900031916797,39.47128499986138,3.0724114006152377,0.20632929971907288,0.03219239984173328,42.75446360022761,44.61705160140991,10240,229.50866613688146,239.50715639303417
4,117.68701171875,0.30226248502731323,0.842427670955658,0.0,0.20126953721046448,0.0002222222222222222,0.5315992003306746,0.004640799714252353,39.43383550015278,3.005842399899848,0.20237990014720708,0.032002599677070975,42.64669859991409,44.57040047645569,10240,229.74888918508327,240.11237296620723
5,110.51285552978516,0.2886245846748352,0.7671341896057129,0.0,0.20097656548023224,0.0002777777777777778,0.4708354996982962,0.004498500260524452,39.450750899966806,3.0665410006185994,0.20753249945119023,0.03240529971662909,42.72932290029712,44.58266282081604,10240,229.68569735630177,239.64807548890028
6,108.22584533691406,0.28353604674339294,0.7468366026878357,0.0,0.19882813096046448,0.0003333333333333333,0.4817845002980903,0.004577100044116378,39.482971999794245,3.0646153999259695,0.20880670007318258,0.03329050017055124,42.76097119983751,44.63307452201843,10240,229.42627434165203,239.4707068776518
7,109.8041763305664,0.2825964689254761,0.783101499080658,0.0,0.19921875,0.0003888888888888889,0.47554700018372387,0.00456710031721741,39.46663190005347,3.044712199480273,0.20512500044424087,0.033201199723407626,42.7210362002952,44.59437656402588,10240,229.6253651017642,239.6945605904859
8,108.4328842163086,0.2793705463409424,0.7718049883842468,0.0,0.19453124701976776,0.0004444444444444444,0.4755450999364257,0.00477199989836663,39.511684399913065,3.0714595000026748,0.2063414001604542,0.032860700390301645,42.79425729997456,44.66159796714783,10240,229.27974963037235,239.28444249471966
9,108.96526336669922,0.2792005240917206,0.783302903175354,0.0,0.20742188394069672,0.0005,0.4716276000253856,0.004566899733617902,39.48877010005526,3.0026226997142658,0.2013157996116206,0.03219790069852024,42.69727549911477,44.56262540817261,10240,229.7889746442548,239.8279487461045
10,108.9404296875,0.27579817175865173,0.7998172640800476,0.0,0.20058594644069672,0.0004942284739834819,0.4713957004714757,0.004545100382529199,39.454799599945545,3.0607398999854922,0.20476260036230087,0.03213399962987751,42.72484720067587,44.58331060409546,10240,229.6823600860934,239.67318014979378
