"period","source_root","method","dataset_or_setting","dataset_key","resolution","variant_or_run","scope","images","clip_style","content_lpips","clip_content","train_time_value","train_time_unit","train_time_label","infer_time_value","infer_time_unit","infer_time_label","params_m","hardware","status","source_path","source_kind","note"
"2026-06-04","I:\","SaMAM","distinct5_512","distinct5_512","512","step_002500_artfid_reuse","full_eval_or_summary","0","","","","","","","","","","","","summary_found","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\eval_curve\step_002500_artfid_reuse\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-03","I:\","SaMAM","distinct5_512","distinct5_512","512","step_003000_artfid_reuse","full_eval_or_summary","","","","","","","","67.58261958399908","s","67.58261958399908 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_512_mamba_b6_seg250_remote_wsl_20260601_2130_diag\eval_curve\step_003000_artfid_reuse\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","no_op_identity_5x5","full_eval_or_summary","","","","","","","","51.711705126996094","s","51.711705126996094 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\no_op_identity_5x5\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0001","full_eval_or_summary","","","","","","","","101.42849573700005","s","101.42849573700005 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\full_eval\epoch_0001\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0002","full_eval_or_summary","","","","","","","","95.40597825800069","s","95.40597825800069 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\full_eval\epoch_0002\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0003","full_eval_or_summary","","","","","","","","97.88693645900003","s","97.88693645900003 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\full_eval\epoch_0003\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0004","full_eval_or_summary","","","","","","","","95.14059642399934","s","95.14059642399934 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\full_eval\epoch_0004\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0005","full_eval_or_summary","","","","","","","","94.90749232599956","s","94.90749232599956 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\full_eval\epoch_0005\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0006","full_eval_or_summary","","","","","","","","95.09559635999994","s","95.09559635999994 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\full_eval\epoch_0006\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0007","full_eval_or_summary","","","","","","","","95.01530161799928","s","95.01530161799928 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\full_eval\epoch_0007\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0008","full_eval_or_summary","","","","","","","","94.8003261089998","s","94.8003261089998 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_baseline_direct_atom_residual_b44_remote\full_eval\epoch_0008\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0001","full_eval_or_summary","","","","","","","","95.24508640099975","s","95.24508640099975 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_a_class_prototypes_b44_remote\full_eval\epoch_0001\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0002","full_eval_or_summary","","","","","","","","95.29496694299996","s","95.29496694299996 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_a_class_prototypes_b44_remote\full_eval\epoch_0002\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0003","full_eval_or_summary","","","","","","","","97.8382688419997","s","97.8382688419997 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_a_class_prototypes_b44_remote\full_eval\epoch_0003\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0004","full_eval_or_summary","","","","","","","","95.34430218299985","s","95.34430218299985 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_a_class_prototypes_b44_remote\full_eval\epoch_0004\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0005","full_eval_or_summary","","","","","","","","95.02715564099981","s","95.02715564099981 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_a_class_prototypes_b44_remote\full_eval\epoch_0005\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-02","I:\","LANCET/LBM","distinct5_512","distinct5_512","512","epoch_0006","full_eval_or_summary","","","","","","","","94.86079137599972","s","94.86079137599972 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_a_class_prototypes_b44_remote\full_eval\epoch_0006\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
