"period","source_root","method","dataset_or_setting","dataset_key","resolution","variant_or_run","scope","images","clip_style","content_lpips","clip_content","train_time_value","train_time_unit","train_time_label","infer_time_value","infer_time_unit","infer_time_label","params_m","hardware","status","source_path","source_kind","note"
"2026-05-30","I:\","AdaIN","run511_5domain","run511_5domain","","adain_4g_bg","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\adain_4g_bg\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","AdaIN","run511_5domain","run511_5domain","","adain_4g_real","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\adain_4g_real\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","AdaIN","run511_5domain","run511_5domain","","adain_7g_full","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\adain_7g_full\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","AdaIN","run511_5domain","run511_5domain","","adain_7g_v32k","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\adain_7g_v32k\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","AdaIN","run511_5domain","run511_5domain","","adain_7g_vgg19","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\adain_7g_vgg19\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","AdaIN","run511_5domain","run511_5domain","","adain_smoke","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\adain_smoke\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","AdaIN","run511_5domain","run511_5domain","","adain_smoke2","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\adain_smoke2\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","AdaIN","run511_5domain","run511_5domain","","adain_vgg19_smoke","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\adain_vgg19_smoke\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","AesFA","run511_5domain","run511_5domain","","aesfa_smoke_now","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\aesfa_smoke_now\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","AesFA","run511_5domain","run511_5domain","","aesfa_smoke_recheck","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\run_511\outputs\aesfa_smoke_recheck\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
