"period","source_root","method","dataset_or_setting","dataset_key","resolution","variant_or_run","scope","images","clip_style","content_lpips","clip_content","train_time_value","train_time_unit","train_time_label","infer_time_value","infer_time_unit","infer_time_label","params_m","hardware","status","source_path","source_kind","note"
"2026-05-30","I:\","CUT","photo_monet_5x5","photo_monet_5x5","","infer_5x5","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\cut_5x5\cut_repo\infer_5x5\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","CUT","photo_monet_5x5","photo_monet_5x5","","infer_val_clean_5x5","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\cut_5x5\cut_repo\infer_val_clean_5x5\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","CUT","photo_monet_5x5","photo_monet_5x5","","infer_5x5","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\cut_5x5\infer_5x5\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","CUT","photo_monet_5x5","photo_monet_5x5","","infer_val_clean_5x5","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\cut_5x5\infer_val_clean_5x5\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","SDEdit","photo_monet_5x5","photo_monet_5x5","","sdedit_multi","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\sdedit_multi\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","SDEdit","photo_monet_5x5","photo_monet_5x5","","str_0.10","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\sdedit_multi\str_0.10\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","SDEdit","photo_monet_5x5","photo_monet_5x5","","str_0.20","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\sdedit_multi\str_0.20\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","SDEdit","photo_monet_5x5","photo_monet_5x5","","str_0.35","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\sdedit_multi\str_0.35\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","SDEdit","photo_monet_5x5","photo_monet_5x5","","str_0.40","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\sdedit_multi\str_0.40\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-05-30","I:\","SD-Turbo","photo_monet_5x5","photo_monet_5x5","","sdturbo_5x5","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\Related_Works\runs\sdturbo_5x5\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-03","I:\","LANCET/LBM","photo_monet_5x5","photo_monet_5x5","512","legacy512_no_op_identity_5x5","full_eval_or_summary","","","","","","","","46.0305015000049","s","46.0305015000049 s timings_sec.wall_total","","","summary_found","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\docs\experiments\metric_hacking_noop_20260602\legacy512_no_op_identity_5x5\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-01","I:\","LANCET/LBM","photo_monet_5x5","photo_monet_5x5","","split_axis_execdecoder_40b_lr2e4","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\full_eval_promoted_all5x5\split_axis_execdecoder_40b_lr2e4\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-01","I:\","LANCET/LBM","photo_monet_5x5","photo_monet_5x5","","split_axis_execdecoder_fieldbound_c045_s090_g110_120b","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\full_eval_promoted_all5x5\split_axis_execdecoder_fieldbound_c045_s090_g110_120b\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
"2026-06-01","I:\","LANCET/LBM","photo_monet_5x5","photo_monet_5x5","","split_axis_geometry_spatial_rank4_120b","full_eval_or_summary","","","","","","","","","","","","","summary_found","I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge\exp\full_eval_promoted_all5x5\split_axis_geometry_spatial_rank4_120b\summary.json","remote_summary_json_curated","Remote curated summary.json after experiment-path filter."
