epoch,loss,swd,color,identity,delta_tv,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,15.824745178222656,0.31300291419029236,0.3351548910140991,0.20025292038917542,0.06969897449016571,0.20205076038837433,0.00014,0.7043825002328958,0.011599000048590824,83.71898329994292,10.885078900086228,0.17954640003154054,10.580180299992207,94.79520760010928,106.08644413948059,10240,96.52505636381429,108.02233846247935
2,15.131512641906738,0.29859280586242676,0.26376521587371826,0.29982584714889526,0.10081219673156738,0.20400388538837433,0.00013995142928316555,0.6878748000890482,0.010592699982225895,83.98902890001773,8.717567000014242,0.13863170010154136,10.573016299837036,92.85582030011574,104.12026453018188,10240,98.3478100656542,110.27849376488936
3,14.886194229125977,0.29368945956230164,0.2582610547542572,0.3018122613430023,0.1340782791376114,0.20283202826976776,0.00013980579202518706,0.7439129999547731,0.012564800010295585,84.03163710003719,8.703099399979692,0.1464952000824269,10.600202999979956,92.8937965001096,104.24045658111572,10240,98.23441239468904,110.23341047308706
4,14.650797843933105,0.28899288177490234,0.2586633861064911,0.2998726963996887,0.15424075722694397,0.20126952230930328,0.00013956331278816035,0.7140773000137415,0.0112974000221584,83.99067210001522,8.706898899981752,0.13594280008692294,10.57726419987739,92.84481120010605,104.13902020454407,10240,98.33009740140787,110.2915700687892
5,14.45942497253418,0.28525689244270325,0.24342885613441467,0.29771605134010315,0.1753298044204712,0.20097656548023224,0.00013922436545749366,0.6916517999197822,0.010843099968042225,83.9096383000433,8.690328599972418,0.13586849995772354,10.564713100000517,92.74667849994148,104.00644326210022,10240,98.45543870964617,110.4082665343801
6,14.372444152832031,0.28356337547302246,0.23433536291122437,0.29728782176971436,0.19123400747776031,0.19882811605930328,0.0001387894726654035,0.7132452999940142,0.011021099955542013,83.93703869995079,8.707941700064112,0.13583570005721413,10.58755119991838,92.79183720002766,104.09543776512146,10240,98.37126602133418,110.35453450421551
7,14.17996883392334,0.2796967327594757,0.23568494617938995,0.29821377992630005,0.20162634551525116,0.19921875,0.0001382593049850536,0.6954941999283619,0.010669000126654282,83.91109100001631,8.718068900052458,0.1416875999129843,10.595642299886094,92.78151650010841,104.07469010353088,10240,98.39087668494142,110.36680996681096
8,14.118988037109375,0.27837276458740234,0.2355719804763794,0.30967703461647034,0.21007931232452393,0.19453123211860657,0.00013763467989657977,0.6884737000218593,0.010927600000286475,83.91054340006667,8.703478300012648,0.13535470003262162,10.596581000019796,92.76030400011223,104.04864931106567,10240,98.41550147745134,110.39204873657606
9,14.213501930236816,0.2802870571613312,0.2346019446849823,0.3075942099094391,0.20824961364269257,0.20742186903953552,0.00013691656052659468,0.6957670998817775,0.010303599876351655,83.95803279997199,8.70525969992741,0.13924499982385896,10.558871600369457,92.81284109959961,104.07065653800964,10240,98.39469011382717,110.32956085258955
10,14.152690887451172,0.27897417545318604,0.23351138830184937,0.3183486759662628,0.23495878279209137,0.20058593153953552,0.0001361060541631165,0.7000176000001375,0.010495000053197145,83.92899809998926,8.735942200000864,0.13502920002792962,10.560909199819434,92.81046450007125,104.07377767562866,10240,98.3917392901357,110.33238606398892
11,14.216312408447266,0.2802337110042572,0.24124076962471008,0.31549158692359924,0.23484498262405396,0.20185546576976776,0.00013520441054821106,0.690528099949006,0.011257799982558936,83.81718310003635,8.746723199961707,0.14031829999294132,10.566565799934324,92.71548239997355,103.97614765167236,10240,98.4841257468467,110.44541574863143
