method,cases_completed,wins_so_far,win_rate_so_far,style_wins_so_far,structure_wins_so_far,artifact_wins_so_far,mean_style_specificity,mean_structure_preservation,mean_artifact_control
AttnSA_e8,2,0,0.0,0,0,0,3.0,2.5,3.0
SaMAM_2250,2,1,0.5,0,1,1,4.0,4.5,4.5
Seedream_repaired750,2,1,0.5,2,1,1,5.0,4.0,3.5
