epoch,loss,style_swd,style_moment,structure,tv,identity,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,3411.072429224388,33.252337396759344,0.5812636690655935,0.056009216010858565,0.0,0.013246647304898492,1.0,1.0,0.8959835906004169,0.0002,3.490736900000229,144.72272439999506,148.21924591064453,62080,418.8389950211024
2,3326.6443349307347,31.466062663756695,0.5755380373640159,0.11830762021013141,0.0,0.028511327835395166,1.0,1.0,0.9054531660891071,0.00019999479108972367,3.3951562999927773,142.0618952000059,145.46354913711548,62080,426.77358257966563
3,3291.419360603254,30.78158003030364,0.5750625453044459,0.14018510170664983,0.0,0.036671991152784876,1.0,1.0,0.8999855745698988,0.00019997916493011034,3.387151299994912,141.98880450000433,145.38109612464905,62080,427.0156275804449
4,3220.5993312560404,29.816583082847988,0.5724485519620561,0.1567902903735023,0.0,0.052213876440967484,1.0,1.0,0.8993716436563078,0.0001999531232347445,3.3764647000080004,142.05160070000056,145.43430709838867,62080,426.85939266037053
5,3166.1620149907376,29.0607013014174,0.5719389715760025,0.17027078019743114,0.0,0.0708361874843381,1.0,1.0,0.9122841972665688,0.00019991666885939155,3.4056362999908742,143.17335920000096,146.58540725708008,62080,423.50736790003043
6,3133.604936422761,28.529947624993078,0.572070808140273,0.18337024003267288,0.0,0.08821335118071935,1.0,1.0,0.8950941900617069,0.00019986980580168453,3.468779300008464,142.60235979999743,146.07846426963806,62080,424.97708550255567
7,3053.6886879832473,27.442306282594032,0.5714812079041275,0.20135350886386694,0.0,0.12569644363577834,1.0,1.0,0.898680635948771,0.00019981253920068581,3.397463100006462,141.95035910000024,145.35291004180908,62080,427.0984322373966
8,2954.0182249718105,26.340319358196457,0.5726963472120541,0.20697059082923477,0.0,0.16770014881165987,1.0,1.0,0.9024241274779605,0.00019974487533632352,3.3504184000103123,138.73081270000148,142.08675169944763,62080,436.9161745024349
9,2887.0937009201834,25.728007542718316,0.5727690710234887,0.2027568294829929,0.0,0.1802433850915776,1.0,1.0,0.9030115696572766,0.00019966682162870294,3.3715189000049577,138.6859335999934,142.06259727478027,62080,436.9904618871894
10,2837.204145608489,25.23955921291076,0.5733937624189043,0.20172271946656337,0.0,0.19034673081538112,1.0,1.0,0.8997921427500617,0.0001995783866372926,3.353563999996368,138.65957979998984,142.0190360546112,62080,437.12449911382373
