epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,loss_layout,loss_mse_raw,learning_rate,epoch_time
1,14.131279,5.220329,4.646519,1.09e-05,0.00
2,9.803417,4.858942,5.088824,2.08e-05,0.00
3,9.747123,4.251661,8.972507,3.07e-05,0.00
4,9.829607,3.886725,13.181782,4.06e-05,0.00
5,9.911139,3.681133,17.618246,5.05e-05,0.00
6,10.004928,3.549436,21.691515,6.04e-05,0.00
7,9.997209,3.472128,26.221394,7.03e-05,0.00
8,10.022728,3.409641,30.623372,8.02e-05,0.00
9,10.049458,3.369021,34.515711,9.01e-05,0.00
10,10.046957,3.320745,38.790329,1.00e-04,0.00
11,10.072813,3.271183,42.218119,1.00e-04,0.00
12,10.061023,3.221445,45.543593,1.00e-04,0.00
13,10.071618,3.214803,48.962601,1.00e-04,0.00
14,10.041803,3.154817,50.901898,1.00e-04,0.00
15,10.113445,3.178666,53.686190,1.00e-04,0.00
16,10.100672,3.140403,55.538542,1.00e-04,0.00
17,10.095931,3.091236,56.982951,1.00e-04,0.00
18,10.110999,3.103659,59.122695,9.99e-05,0.00
19,10.121892,3.105885,61.836259,9.99e-05,0.00
20,10.107866,3.070538,62.771378,9.99e-05,0.00
21,10.132581,3.084272,64.802301,9.99e-05,0.00
22,10.104043,3.053066,65.578402,9.99e-05,0.00
23,10.136008,3.059365,68.083366,9.98e-05,0.00
24,10.125683,3.054498,68.288656,9.98e-05,0.00
25,10.102057,3.021904,69.703395,9.98e-05,0.00
26,10.150442,3.027085,70.114280,9.97e-05,0.00
27,10.160773,3.022999,71.983802,9.97e-05,0.00
28,10.150205,3.019620,72.786950,9.97e-05,0.00
29,10.134687,3.021233,74.046996,9.96e-05,0.00
30,10.108531,3.026896,75.250488,9.96e-05,0.00
31,10.169643,3.026404,75.701128,9.96e-05,0.00
32,10.111439,3.003580,77.687178,9.95e-05,0.00
33,10.186904,2.990153,77.474697,9.95e-05,0.00
34,10.125421,2.987292,78.893168,9.94e-05,0.00
35,10.223160,3.008971,79.145513,9.94e-05,0.00
36,10.102560,2.991946,80.244592,9.93e-05,0.00
37,10.152732,2.998107,81.008395,9.93e-05,0.00
38,10.161550,2.998010,79.644311,9.92e-05,0.00
39,10.104130,3.000515,79.298955,9.91e-05,0.00
