point_id,scope,family,variant,label,step_or_epoch,clip_style,content_lpips,one_minus_lpips,train_min,train_time_sec,trace_id,label_dx,label_dy,note,source_summary,style_minus_idt
actuation_delta_basis_r16_s030_fullboard::epoch_0002::full,full,FiberBundle,actuation_delta_basis_r16_s030,R16 e2,epoch_0002,0.703200652679,0.349966297987,0.650033702013,,,actuation_delta_basis_r16_s030,20.0,-14.0,R16 full-board closure eval from best transfer checkpoint; output-side rank expansion weak/negative.,docs\experiments\phase2_fiber_bundle\eval\actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010\fullboard_epoch_0002\summary.json,0.0230780398051
actuation_delta_basis_r16_s030::epoch_0001::transfer,transfer,FiberBundle,actuation_delta_basis_r16_s030,,epoch_0001,0.674386785428,0.3447123026,0.6552876974,,,actuation_delta_basis_r16_s030,8.0,10.0,R16 output-side style-delta basis transfer-only all-ckpt curve; best e2 but no sustained style gain.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010/full_eval/epoch_0001/summary.json,0.0344659601649
actuation_delta_basis_r16_s030::epoch_0002::transfer,transfer,FiberBundle,actuation_delta_basis_r16_s030,,epoch_0002,0.674525005122,0.352221725033,0.647778274967,,,actuation_delta_basis_r16_s030,8.0,10.0,R16 output-side style-delta basis transfer-only all-ckpt curve; best e2 but no sustained style gain.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010/full_eval/epoch_0002/summary.json,0.0346041798592
actuation_delta_basis_r16_s030_fullboard::epoch_0002::transfer,transfer,FiberBundle,actuation_delta_basis_r16_s030,R16 e2,epoch_0002,0.674395356774,0.3522228967,0.6477771033,,,actuation_delta_basis_r16_s030,20.0,-14.0,R16 full-board closure eval from best transfer checkpoint; output-side rank expansion weak/negative.,docs\experiments\phase2_fiber_bundle\eval\actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010\fullboard_epoch_0002\summary.json,0.0344745315115
actuation_delta_basis_r16_s030::epoch_0003::transfer,transfer,FiberBundle,actuation_delta_basis_r16_s030,,epoch_0003,0.673935728818,0.349550118133,0.650449881867,,,actuation_delta_basis_r16_s030,8.0,10.0,R16 output-side style-delta basis transfer-only all-ckpt curve; best e2 but no sustained style gain.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010/full_eval/epoch_0003/summary.json,0.0340149035553
actuation_delta_basis_r16_s030::epoch_0004::transfer,transfer,FiberBundle,actuation_delta_basis_r16_s030,,epoch_0004,0.674040822436,0.352357101783,0.647642898217,,,actuation_delta_basis_r16_s030,8.0,10.0,R16 output-side style-delta basis transfer-only all-ckpt curve; best e2 but no sustained style gain.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010/full_eval/epoch_0004/summary.json,0.0341199971735
actuation_delta_basis_r16_s030::epoch_0005::transfer,transfer,FiberBundle,actuation_delta_basis_r16_s030,,epoch_0005,0.674214600722,0.35364017095,0.64635982905,,,actuation_delta_basis_r16_s030,8.0,10.0,R16 output-side style-delta basis transfer-only all-ckpt curve; best e2 but no sustained style gain.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010/full_eval/epoch_0005/summary.json,0.0342937754591
actuation_delta_basis_r16_s030::epoch_0006::transfer,transfer,FiberBundle,actuation_delta_basis_r16_s030,,epoch_0006,0.674338564078,0.355673749633,0.644326250367,,,actuation_delta_basis_r16_s030,8.0,10.0,R16 output-side style-delta basis transfer-only all-ckpt curve; best e2 but no sustained style gain.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010/full_eval/epoch_0006/summary.json,0.0344177388151
actuation_delta_basis_r16_s030::epoch_0007::transfer,transfer,FiberBundle,actuation_delta_basis_r16_s030,,epoch_0007,0.674366489748,0.354956031467,0.645043968533,,,actuation_delta_basis_r16_s030,8.0,10.0,R16 output-side style-delta basis transfer-only all-ckpt curve; best e2 but no sustained style gain.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010/full_eval/epoch_0007/summary.json,0.0344456644853
actuation_delta_basis_r16_s030::epoch_0008::transfer,transfer,FiberBundle,actuation_delta_basis_r16_s030,,epoch_0008,0.674251951774,0.355417033717,0.644582966283,,,actuation_delta_basis_r16_s030,8.0,10.0,R16 output-side style-delta basis transfer-only all-ckpt curve; best e2 but no sustained style gain.,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_phase2_actuation_delta_basis_r16_s030_k070_e3_b32bf16_vlen010/full_eval/epoch_0008/summary.json,0.0343311265111
