run_label,objective_mode,rollout_mode,split,step_idx,t,count,velocity_l2_mean,velocity_l2_std,velocity_abs_mean,step_disp_l2_mean,step_disp_l2_std
H_base,omf,field,all,0,0.0625,300,77.43400461832682,28.016555287457983,0.4819599930445353,9.679250577290853,3.502069410932248
H_base,omf,field,all,1,0.1875,300,77.41890619913737,28.017500820952716,0.4818568380673726,9.677363274892171,3.5021876026190895
H_base,omf,field,all,2,0.3125,300,77.40444249471028,28.018850440368826,0.48175694306691486,9.675555311838785,3.5023563050461033
H_base,omf,field,all,3,0.4375,300,77.39079966227213,28.020612240212582,0.4816616555054983,9.673849957784016,3.5025765300265728
H_base,omf,field,all,4,0.5625,300,77.37817616780599,28.022806143245145,0.4815723514556885,9.672272020975749,3.502850767905643
H_base,omf,field,all,5,0.6875,300,77.36673578898112,28.02542024102606,0.48149019440015156,9.67084197362264,3.5031775301282577
H_base,omf,field,all,6,0.8125,300,77.3566379292806,28.028461200868712,0.4814163259665171,9.669579741160074,3.503557650108589
H_base,omf,field,all,7,0.9375,300,77.3480105082194,28.031926789090363,0.4813516716162364,9.668501313527425,3.5039908486362954
H_base,omf,field,identity,0,0.0625,60,65.8405537923177,19.027383341271868,0.4062175154685974,8.230069224039713,2.3784229176589835
H_base,omf,field,identity,1,0.1875,60,65.82934951782227,19.02801603962282,0.4061246871948242,8.228668689727783,2.3785020049528525
H_base,omf,field,identity,2,0.3125,60,65.81876627604167,19.029106664030483,0.4060351729393005,8.227345784505209,2.3786383330038103
H_base,omf,field,identity,3,0.4375,60,65.80894215901692,19.030674262903784,0.4059501051902771,8.226117769877115,2.378834282862973
H_base,omf,field,identity,4,0.5625,60,65.79999033610027,19.0327190257699,0.40587056477864586,8.224998792012533,2.3790898782212375
H_base,omf,field,identity,5,0.6875,60,65.7920644124349,19.035253220478197,0.4057977318763733,8.224008051554362,2.3794066525597746
H_base,omf,field,identity,6,0.8125,60,65.78524220784506,19.038179159995256,0.4057324012120565,8.223155275980632,2.379772394999407
H_base,omf,field,identity,7,0.9375,60,65.77960866292318,19.041549745353315,0.40567546089490253,8.222451082865398,2.3801937181691644
H_base,omf,field,transfer,0,0.0625,240,80.33236726125081,29.131535032582143,0.5008956129352252,10.041545907656351,3.641441879072768
H_base,omf,field,transfer,1,0.1875,240,80.31629549662271,29.133053185136358,0.5007898782690366,10.03953693707784,3.6416316481420448
