epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,gram,gram_w,moment,push,delta_tv,nce,idt,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,1.0834349822998046,0.30931997299194336,0.02093395948410034,0.4302523422241211,0.9849074554443359,0.0,0.0,0.0,0.017180373668670656,0.515411376953125,0.04030788421630859,0.17883569717407227,0.15091153144836425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,47.48362636566162
2,0.6451438903808594,0.48208717346191404,0.013130054473876954,0.5558653259277344,1.3776240539550781,0.0,0.0,0.0,0.0055919641256332395,0.16775894165039062,0.007009904980659485,0.15894783020019532,0.3073495674133301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019986980580168453,37.459020137786865
3,0.5412058639526367,0.473837776184082,0.011533608436584472,0.755382308959961,1.3255734252929687,0.0,0.0,0.0,0.004212672710418701,0.12638022422790526,0.004971776008605957,0.12777215003967285,0.37418067932128907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019947958005998598,37.39518427848816
4,0.45880367279052736,0.47150474548339844,0.011121621131896972,1.0198647308349609,1.36390380859375,0.0,0.0,0.0,0.00349891722202301,0.10496747970581055,0.004157930910587311,0.09018519401550293,0.412296028137207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019883039235653812,37.43352437019348
5,0.3897298049926758,0.47341571807861327,0.011406443119049071,1.3093382263183593,1.4142979431152343,0.0,0.0,0.0,0.0031114572286605833,0.0933437156677246,0.0036974188685417173,0.050896039009094236,0.4367737579345703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019792402206971158,37.369362592697144
6,0.3209832000732422,0.47388755798339843,0.01083512306213379,1.5985203552246094,1.495716552734375,0.0,0.0,0.0,0.0028499862551689147,0.08549956321716308,0.003426642715930939,0.012793961763381958,0.45247291564941405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019676295349746153,37.38889122009277
7,0.2912646484375,0.4745654678344727,0.010076606273651123,1.710192413330078,1.5467147827148438,0.0,0.0,0.0,0.002648264169692993,0.07944793224334717,0.00325238823890686,0.00010481570847332477,0.46509326934814454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019535036904803964,36.88223886489868
8,0.2833393669128418,0.47644790649414065,0.009560007452964783,1.717789764404297,1.5833042907714843,0.0,0.0,0.0,0.002482355684041977,0.07447064876556396,0.003073391318321228,3.2643184531480075e-05,0.47570907592773437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019369014051723418,37.40927529335022
9,0.2767534446716309,0.47732872009277344,0.009246523380279542,1.7205398559570313,1.616004638671875,0.0,0.0,0.0,0.002324339896440506,0.06973018646240234,0.002946235239505768,1.9648391753435134e-05,0.48470848083496093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001917868184760471,37.46633982658386
10,0.27144710540771483,0.47825782775878906,0.009016538262367249,1.7217036437988282,1.6341844177246094,0.0,0.0,0.0,0.002189097851514816,0.06567290306091308,0.0028563576936721804,1.5818887623026966e-05,0.49225238800048826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018964561979789498,37.40306043624878
11,0.26758893966674807,0.4781384658813477,0.008737389445304871,1.721273193359375,1.6977392578125,0.0,0.0,0.0,0.002121725231409073,0.0636517333984375,0.002781130075454712,1.5920459991320967e-05,0.4970193862915039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018727241335952173,37.44812345504761
12,0.26199123382568357,0.47682788848876956,0.008365887999534607,1.7243173217773438,1.7834312438964843,0.0,0.0,0.0,0.002030826210975647,0.06092477798461914,0.002648610770702362,1.195949618704617e-05,0.5015211868286132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018467370395481534,37.380783796310425
13,0.2643160629272461,0.47731834411621094,0.008459118008613587,1.7252423095703124,1.8392965698242187,0.0,0.5628781890869141,1.3881471252441406,0.0019544902443885803,0.058634676933288575,0.0025803434848785402,1.0107499547302722e-05,0.4981303024291992,0.0,0.0,0.0,0.0020833317935466766,0.0020833317935466766,0.0,0.0,1.0,0.00018185661446562006,37.439690351486206
14,0.271042594909668,0.4795240783691406,0.00915022611618042,1.727236785888672,1.937308349609375,0.0,0.5595809173583984,1.3757498168945312,0.001887001097202301,0.05661001682281494,0.0025700443983078004,1.6405389178544283e-05,0.4890841293334961,0.0,0.0,0.0,0.004166663587093353,0.004166663587093353,0.0,0.0,1.0,0.0001788288663384123,37.630608558654785
15,0.27028316497802735,0.47849193572998044,0.008699242472648621,1.7279901123046875,2.011565704345703,0.0,0.5553023529052734,1.358605194091797,0.001837935447692871,0.05513809204101563,0.0025231361389160155,2.796810586005449e-06,0.4779199600219727,0.0,0.0,0.0,0.006250012516975403,0.006250012516975403,0.0,0.0,1.0,0.00017559875842035252,37.58703541755676
16,0.2676264762878418,0.47913131713867185,0.008005179166793823,1.7275407409667969,1.9850062561035156,0.0,0.5523984527587891,1.3383338928222657,0.001761833280324936,0.05285498142242431,0.002444361299276352,1.739993575029075e-05,0.46600433349609377,0.0,0.0,0.0,0.008333327174186706,0.008333327174186706,0.0,0.0,1.0,0.00017217514421272208,37.66163992881775
17,0.32147125244140623,0.482052116394043,0.0077810722589492795,1.7288536071777343,2.0007838439941406,0.5288603973388671,0.5294121551513672,1.2752054595947266,0.001723928451538086,0.05171786785125732,0.002345564961433411,1.1656804708763957e-05,0.42762657165527346,5.913682861328125,0.0,0.006666661500930786,0.010416654348373413,0.010416654348373413,0.008333327174186706,0.0,1.0,0.0001685674076040916,53.314690351486206
