family,role,train_epoch_wall_sec,train_avg_step_sec,train_ot_cost,train_ot_target_gini,train_ot_target_max_mass,train_fiber_energy_ratio,train_low_freq_leak,train_target_base_shift,eval_clip_style,eval_lpips,eval_wall_total_sec,decision
self_affinity_gw_mix,control_reused_root,103.8,1.760,2.7054,0.0590,0.3530,0.4390,3.4645,0.0126,0.6679981134,0.7630464300,235.3951,reused_control_reference_only
encoder_hybrid_affinity_gw,candidate,106.5,1.806,2.5134,0.0640,0.3580,0.4500,3.4602,0.0130,0.6755463868,0.7406341198,242.9501,positive_non_authoritative_needs_isolated_control
