family,epoch,clip_style,lpips,eval_wall_sec,generated_rank_mean,generated_offdiag_cosine,decision
lowedge,1,0.6896210365,0.6970659258,221.1702154280,1.0256947184,0.9830360015,negative_control
lowedge,2,0.6992699211,0.6540416767,171.4120111750,1.0307191984,0.9798173753,negative_control
lowedge,3,0.6869424775,0.5291413630,170.9652397920,1.0329015652,0.9785984131,negative_control
lowedge,4,0.6993573717,0.4648723301,170.0732065690,1.0265276917,0.9826432912,negative_control
self_affinity_gw,1,0.6998497951,0.6458131282,213.8566680630,1.1150385944,0.9282846860,active_candidate
self_affinity_gw,2,0.7014647114,0.5480418065,175.3792824510,1.0378056145,0.9754764160,retained_ot_positive
