epoch,checkpoint,dino_s,dino_c,clip_s,lpips
1,epoch_0001.pt,0.48661239983141424,0.8213975939949354,0.7129042734305064,0.245937174816
2,epoch_0002.pt,0.4873122235586246,0.8025420200427373,0.7154062373240789,0.263321075704
3,epoch_0003.pt,0.4909973461702466,0.787432503439486,0.7179800443649292,0.26258700884799996
4,epoch_0004.pt,0.49082809076209866,0.7851669295256336,0.7182988744576772,0.265108245992
5,epoch_0005.pt,0.4909292821685473,0.7962577374229829,0.7161430505911509,0.2604701320253333
6,epoch_0006.pt,0.48990160804738603,0.8112540918091933,0.7136771322091421,0.256598910992
7,epoch_0007.pt,0.48928929448624453,0.8180046102603277,0.7124821162223816,0.2621257890693333
8,epoch_0008.pt,0.4884049321847657,0.8208751561194658,0.7110979917049408,0.2620634214213333
9,epoch_0009.pt,0.48714556771268447,0.8229775933523973,0.7109506324132283,0.2580844413466667
10,epoch_0010.pt,0.4868957125470042,0.8228686067859332,0.710228550195694,0.2596753017946667
11,epoch_0011.pt,0.4861728219675521,0.8245415488034487,0.7100490472316742,0.2646662650986667
12,epoch_0012.pt,0.4863067555464804,0.823626902329425,0.7097732462485631,0.262379151188
13,epoch_0013.pt,0.4864622723894815,0.8241123010218143,0.7100270116726557,0.264512704352
14,epoch_0014.pt,0.48649933279926577,0.8243277902851502,0.7095236399571101,0.2661211690826667
15,epoch_0015.pt,0.48640245658159253,0.8240118250896533,0.7094510938723882,0.26352642518933334
