batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke4\aespa\checkpoints\aespa,10.404,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke4\aespa\logs\aespa_train.log,1,0,train,ok
,,6.309,0,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke4\aespa\infer_750\images,,,,infer,failed
