name,phase,status,attempts,target_epochs,latest_ckpt_epoch,latest_train_epoch,latest_train_loss,latest_train_lr,latest_transfer_clip_style,latest_transfer_clip_dir,latest_transfer_content_lpips,last_exit_code,latest_ckpt_path,latest_train_csv,latest_eval_summary,config_path,save_dir,last_log,last_start,last_end
exp00-phase1_60e-baseline_bs600_lr2e4_bd64_sd256,phase1_60e,failed,2,60,,,,,,,,1,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp00-phase1_60e-baseline_bs600_lr2e4_bd64_sd256\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp00-phase1_60e-baseline_bs600_lr2e4_bd64_sd256\artifacts,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\logs\exp00-phase1_60e-baseline_bs600_lr2e4_bd64_sd256.try2.20260223_232120.log,2026-02-23 23:21:20,2026-02-23 23:21:20
exp01-phase1_60e-capacity_floor_bd32_lc32_sd128,phase1_60e,pending,0,60,,,,,,,,,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp01-phase1_60e-capacity_floor_bd32_lc32_sd128\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp01-phase1_60e-capacity_floor_bd32_lc32_sd128\artifacts,,,
exp02-phase1_60e-capacity_ceiling_bd128_lc128_sd256,phase1_60e,pending,0,60,,,,,,,,,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp02-phase1_60e-capacity_ceiling_bd128_lc128_sd256\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp02-phase1_60e-capacity_ceiling_bd128_lc128_sd256\artifacts,,,
exp03-phase1_60e-style_ctrl_sd512,phase1_60e,pending,0,60,,,,,,,,,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp03-phase1_60e-style_ctrl_sd512\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp03-phase1_60e-style_ctrl_sd512\artifacts,,,
exp04-phase1_60e-lr4e4_speedup,phase1_60e,pending,0,60,,,,,,,,,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp04-phase1_60e-lr4e4_speedup\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp04-phase1_60e-lr4e4_speedup\artifacts,,,
exp05-phase1_60e-lr8e4_stress,phase1_60e,pending,0,60,,,,,,,,,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp05-phase1_60e-lr8e4_stress\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp05-phase1_60e-lr8e4_stress\artifacts,,,
exp06-phase1_60e-l1_relax_wdl1_0p01,phase1_60e,pending,0,60,,,,,,,,,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp06-phase1_60e-l1_relax_wdl1_0p01\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp06-phase1_60e-l1_relax_wdl1_0p01\artifacts,,,
exp07-phase1_60e-swd_patch_1_3,phase1_60e,pending,0,60,,,,,,,,,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp07-phase1_60e-swd_patch_1_3\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp07-phase1_60e-swd_patch_1_3\artifacts,,,
exp08-phase2_150e-deep_cosine_lr5e4_min1e6,phase2_150e,pending,0,150,,,,,,,,,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp08-phase2_150e-deep_cosine_lr5e4_min1e6\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp08-phase2_150e-deep_cosine_lr5e4_min1e6\artifacts,,,
exp09-phase2_150e-flat_lr3e4,phase2_150e,pending,0,150,,,,,,,,,,,,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp09-phase2_150e-flat_lr3e4\config.json,I:\Github\Latent_Style\Cycle-NCE\experiments\20260223-micro5style-bs600\runs\exp09-phase2_150e-flat_lr3e4\artifacts,,,
