scope,root_family,experiment_name,root_path,classification,dataset_guess,paper_usable,prune_candidate,checkpoint_count,summary_count,metrics_count,artfid_count,curve_metrics_count,config_count,log_count,image_artifact_count,total_size_mb,image_artifact_size_mb,latest_summary_path,latest_summary_clip_style,latest_summary_content_lpips,best_clip_style,best_content_lpips,latest_artfid_path,latest_artfid_full,latest_artfid_transfer,latest_log_path,note
local,baseline_results,sdedit_str_0p20,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\sdedit_str_0p20,external_baseline_or_probe,legacy256_overfit50,conditional,no,0,1,1,0,0,0,0,1501,59.624,59.516,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\sdedit_str_0p20\protocol_a_800\summary.json,0.7063062548240024,0.4087478533633334,0.7063062548240024,0.4087478533633334,,,,,no aggregate_targetwise_artfid.json
local,baseline_results,sdedit_str_0p35,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\sdedit_str_0p35,external_baseline_or_probe,legacy256_overfit50,conditional,no,0,1,1,0,0,0,0,1501,62.975,62.868,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\sdedit_str_0p35\protocol_a_800\summary.json,0.696593149026235,0.49043417959,0.696593149026235,0.49043417959,,,,,no aggregate_targetwise_artfid.json
local,baseline_results,sdedit_str_0p40,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\sdedit_str_0p40,external_baseline_or_probe,legacy256_overfit50,conditional,no,0,1,1,0,0,0,0,1501,64.476,64.368,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\sdedit_str_0p40\protocol_a_800\summary.json,0.6967612946828206,0.5155083550433335,0.6967612946828206,0.5155083550433335,,,,,no aggregate_targetwise_artfid.json
local,baseline_results,sdturbo,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\sdturbo,external_baseline_or_probe,legacy256_overfit50,conditional,no,0,1,1,0,0,0,0,1501,46.12,46.012,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\sdturbo\protocol_a_800\summary.json,0.776872801621755,0.6264789979766667,0.776872801621755,0.6264789979766667,,,,,no aggregate_targetwise_artfid.json
local,baseline_results,seedream45_api,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\seedream45_api,external_baseline_or_probe,unknown,conditional,no,1,0,0,0,0,0,22,1512,138.527,138.266,,,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\seedream45_api\wikiart512_ema_test_full\run_error_windhub_rpm5_20260531_022948.log,no summary.json; no aggregate_targetwise_artfid.json
local,baseline_results,styleid,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\styleid,external_baseline_or_probe,legacy256_overfit50,conditional,no,0,2,6,0,0,0,0,3530,216.002,215.737,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\styleid\protocol_a_800\summary.json,0.7776861866315206,0.5927914844,0.7978500124812127,0.5927914844,,,,,no aggregate_targetwise_artfid.json
local,baseline_results,agnes_i2i_smoke,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\agnes_i2i_smoke,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.002,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,ark_seedream45_fallback_smoke,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\ark_seedream45_fallback_smoke,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.004,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,hf_firered_probe,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\hf_firered_probe,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,hf_pix2pix_probe,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\hf_pix2pix_probe,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,hf_qwen_image_edit_probe,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\hf_qwen_image_edit_probe,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,local_instruct_pix2pix_probe,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\local_instruct_pix2pix_probe,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,modelscope_qwen_edit_smoke,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\modelscope_qwen_edit_smoke,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,ours_pareto_probe_4_epoch_0001,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\ours_pareto_probe_4_epoch_0001,local_smoke,legacy256_overfit50,no,yes,0,1,1,0,0,0,0,0,0.108,0.0,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\ours_pareto_probe_4_epoch_0001\protocol_a_800\summary.json,0.6907943333387375,0.4183687751466666,0.6907943333387375,0.4183687751466666,,,,,no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,s2wat_train_smoke,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\s2wat_train_smoke,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samam_distinct5_smoke20,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_distinct5_smoke20,local_smoke,distinct5_512,no,yes,3,0,0,0,0,1,0,0,827.695,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samam_wsl_mamba_512_smoke_b1,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_smoke_b1,local_smoke,unknown,no,yes,0,0,0,0,0,1,0,0,0.003,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samam_wsl_mamba_512_smoke_b1_fp32,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_smoke_b1_fp32,local_smoke,unknown,no,yes,2,0,0,0,0,1,0,0,551.798,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samam_wsl_mamba_512_smoke_b1_noid,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_512_smoke_b1_noid,local_smoke,unknown,no,yes,2,0,0,0,0,1,0,0,551.798,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samam_wsl_mamba_smoke_b1_20,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_smoke_b1_20,local_smoke,unknown,no,yes,2,0,0,0,0,1,1,0,551.814,0.0,,,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_smoke_b1_20\train.log,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samam_wsl_mamba_smoke_b2_10,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_smoke_b2_10,local_smoke,unknown,no,yes,2,0,0,0,0,1,2,0,551.81,0.0,,,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_smoke_b2_10\train.log,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samam_wsl_mamba_smoke_b3_8,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_smoke_b3_8,local_smoke,unknown,no,yes,2,0,0,0,0,1,2,0,551.808,0.0,,,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_smoke_b3_8\train.log,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samam_wsl_mamba_smoke_b4_2,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_smoke_b4_2,local_smoke,unknown,no,yes,2,0,0,0,0,1,2,0,551.805,0.0,,,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samam_wsl_mamba_smoke_b4_2\train.log,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samst_distinct5_local_fullsize_smoke_20260602,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_local_fullsize_smoke_20260602,local_smoke,distinct5_512,no,yes,1,0,0,0,0,0,2,0,2.229,0.0,,,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_local_fullsize_smoke_20260602\run.log,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning; distinct5 baseline run
