scope,root_family,experiment_name,root_path,classification,dataset_guess,paper_usable,prune_candidate,checkpoint_count,summary_count,metrics_count,artfid_count,curve_metrics_count,config_count,log_count,image_artifact_count,total_size_mb,image_artifact_size_mb,latest_summary_path,latest_summary_clip_style,latest_summary_content_lpips,best_clip_style,best_content_lpips,latest_artfid_path,latest_artfid_full,latest_artfid_transfer,latest_log_path,note
local,baseline_results,samst_distinct5_local_smoke_20260602,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_local_smoke_20260602,local_smoke,distinct5_512,no,yes,1,0,0,0,0,0,2,0,2.232,0.0,,,,,,,,,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_local_smoke_20260602\run.log,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning; distinct5 baseline run
local,baseline_results,samst_train_smoke,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_train_smoke,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,samst_train_smoke_isolated,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_train_smoke_isolated,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,baseline_results,z_image_turbo_smoke,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\z_image_turbo_smoke,local_smoke,unknown,no,yes,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,sb_exp,ablation_destructive_7epoch,G:\GitHub\Latent_Style\SchrodingerBridge\exp\ablation_destructive_7epoch,active_paper_evidence,legacy256_overfit50,conditional,no,0,12,12,0,0,12,24,0,4.538,0.0,G:\GitHub\Latent_Style\SchrodingerBridge\exp\ablation_destructive_7epoch\D9_l2_ot_cost\full_eval\epoch_0007\summary.json,0.7131436527967453,0.4522946958133333,0.7225049327214559,0.29762808341999997,,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\ablation_destructive_7epoch\D9_l2_ot_cost\run_ablation_7epoch.log,no aggregate_targetwise_artfid.json
local,sb_exp,distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote,active_paper_evidence,distinct5_512,yes,no,0,1,1,0,0,0,0,751,79.091,78.917,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote\full_eval\epoch_0001\summary.json,0.696914507508278,0.31864464036,0.696914507508278,0.31864464036,,,,,no aggregate_targetwise_artfid.json
local,sb_exp,distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote,active_paper_evidence,distinct5_512,yes,no,0,2,2,0,0,0,0,1502,148.613,148.265,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote\full_eval\epoch_0002\summary.json,0.6993825696706771,0.34840661536,0.6993825696706771,0.32133288292,,,,,no aggregate_targetwise_artfid.json
local,sb_exp,distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote,active_paper_evidence,distinct5_512,yes,no,0,1,1,0,0,0,0,751,74.155,73.981,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\full_eval\epoch_0001\summary.json,0.7009949656327565,0.36229389774666665,0.7009949656327565,0.36229389774666665,,,,,no aggregate_targetwise_artfid.json
local,sb_exp,kinetic_sweep,G:\GitHub\Latent_Style\SchrodingerBridge\exp\kinetic_sweep,active_paper_evidence,legacy256_overfit50,conditional,no,0,9,9,0,0,21,11,0,4.169,0.0,G:\GitHub\Latent_Style\SchrodingerBridge\exp\kinetic_sweep\eval_results\TGK_light\epoch_0007\summary.json,0.6855216223796208,0.34013951919333335,0.6918909603357315,0.3284246148133333,,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\kinetic_sweep\TGK_light\checkpoints\logs\training_20260516_022701.csv,no aggregate_targetwise_artfid.json
local,sb_exp,legacy,G:\GitHub\Latent_Style\SchrodingerBridge\exp\legacy,active_paper_evidence,legacy256_overfit50,conditional,no,0,19,20,0,0,9,20,19,39.699,34.226,G:\GitHub\Latent_Style\SchrodingerBridge\exp\legacy\ot-exp-struct\full_eval\epoch_0080\summary.json,0.6855632545948027,0.37281865702666667,0.7176444892485937,0.2977638070986666,,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\legacy\ot-exp\logs\training_20260508_200254.csv,no aggregate_targetwise_artfid.json
local,sb_exp,orth12,G:\GitHub\Latent_Style\SchrodingerBridge\exp\orth12,active_paper_evidence,legacy256_overfit50,conditional,no,0,30,30,0,0,4,7,30,83.217,78.447,G:\GitHub\Latent_Style\SchrodingerBridge\exp\orth12\full_eval\fd20_g1_micro_only\epoch_0060\summary.json,0.7017492681741715,0.5283767360133333,0.7037303335666656,0.40251263518666663,,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\orth12\fd20_g1_micro_only\logs\training_20260510_020619.csv,no aggregate_targetwise_artfid.json
local,sb_exp,review_additional_experiments,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments,active_paper_evidence,legacy256_overfit50,conditional,no,0,78,78,0,0,9,32,0,23.138,0.0,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_16\summary.json,0.7161053728659948,0.45139242745333336,0.7166270259221394,0.35275963541333333,,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\logs\steps_16.log,no aggregate_targetwise_artfid.json
local,sb_exp,timing_20260601,G:\GitHub\Latent_Style\SchrodingerBridge\exp\timing_20260601,active_paper_evidence,unknown,conditional,no,0,15,15,0,0,0,0,751,365.001,363.199,G:\GitHub\Latent_Style\SchrodingerBridge\exp\timing_20260601\carrier_gate_e3_fulleval150\summary.json,,,,,,,,,no aggregate_targetwise_artfid.json
local,sb_exp,timing_20260602,G:\GitHub\Latent_Style\SchrodingerBridge\exp\timing_20260602,active_paper_evidence,unknown,conditional,no,8,20,3,0,0,2,14,3762,1082.693,732.676,G:\GitHub\Latent_Style\SchrodingerBridge\exp\timing_20260602\live_wsl_png750_b12_nogrid\summary.json,,,0.7739746244748433,0.3940862842533334,,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\timing_20260602\lancet_from_scratch_b32_e8_vlen020_train.log,no aggregate_targetwise_artfid.json
local,sb_exp,weight_sweep_40,G:\GitHub\Latent_Style\SchrodingerBridge\exp\weight_sweep_40,active_paper_evidence,legacy256_overfit50,conditional,no,0,320,320,0,0,40,122,0,52.136,0.0,G:\GitHub\Latent_Style\SchrodingerBridge\exp\weight_sweep_40\K2_r19_hayao_fix_prev\full_eval\epoch_0008\summary.json,0.7049074012835821,0.42196222512000003,0.7161262236833571,0.37773701265333337,,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\weight_sweep_40\logs\weight_sweep_40.master.out.log,no aggregate_targetwise_artfid.json
local,sb_exp,fisher_operator_consumer_probe,G:\GitHub\Latent_Style\SchrodingerBridge\exp\fisher_operator_consumer_probe,local_exploratory_frozen,unknown,no,yes,0,0,0,0,0,2,0,0,0.298,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,sb_exp,fisher_operator_tokenizer_probe,G:\GitHub\Latent_Style\SchrodingerBridge\exp\fisher_operator_tokenizer_probe,local_exploratory_frozen,unknown,no,yes,0,0,0,0,0,0,4,0,0.337,0.0,,,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\fisher_operator_tokenizer_probe\fo11_depthwise_filter_swd80\training_manifest.json,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,sb_exp,fisher_style_backbone_probe,G:\GitHub\Latent_Style\SchrodingerBridge\exp\fisher_style_backbone_probe,local_exploratory_frozen,unknown,no,yes,0,0,0,0,0,0,0,0,0.065,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,sb_exp,fisher_style_memory_adapter_probe,G:\GitHub\Latent_Style\SchrodingerBridge\exp\fisher_style_memory_adapter_probe,local_exploratory_frozen,unknown,no,yes,0,0,0,0,0,0,0,0,0.015,0.0,,,,,,,,,,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
local,sb_exp,local_wsl_wikiart512_carrier_gate_from_hist_e3,G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_carrier_gate_from_hist_e3,local_exploratory_frozen,wikiart512_5style,no,yes,3,0,0,0,0,1,1,0,47.463,0.0,,,,,,,,,G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_carrier_gate_from_hist_e3\logs\training_20260601_235859.csv,no summary.json; no aggregate_targetwise_artfid.json; eligible for non-data artifact pruning
